"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Drummond vs Cauley-Stein (Harris gains possession)","0","-80","0","0","0","10","1626161","1610612765","203083","0","0","202699","1610612765"
"3","7","11:41","[DET 3-0] Jackson 3pt Shot: Made (3 PTS) Assist: Drummond (1 AST)","-155","252","3","0","1","1","","1610612765","202704","3","0","203083","1610612765"
"4","9","11:18","[SAC] Cauley-Stein Layup Shot: Missed","0","44","2","0","5","2","","1610612758","1626161","3","0","","1610612758"
"5","10","11:16","[DET] Drummond Rebound (Off:0 Def:1)","0","44","0","0","0","4","","1610612765","203083","3","0","","1610612758"
"6","11","11:13","[DET] Bradley 3pt Shot: Missed","203","183","3","0","1","2","","1610612765","202340","3","0","","1610612765"
"7","12","11:09","[SAC] Bogdanovic Rebound (Off:0 Def:1)","203","183","0","0","0","4","","1610612758","203992","3","0","","1610612765"
"8","13","10:51","[SAC] Randolph Turnover : Lost Ball (1 TO) Steal:Jackson (1 ST)","14","128","1","0","2","5","202704","1610612758","2216","3","0","","1610612758"
"9","15","10:46","[DET 5-0] Bradley Layup Shot: Made (2 PTS) Assist: Jackson (1 AST)","2","45","2","1","5","1","","1610612765","202340","5","0","202704","1610612765"
"10","17","10:29","[SAC] Temple Turnover : Lost Ball (1 TO) Steal:Jackson (2 ST)","-6","51","1","0","2","5","202704","1610612758","202066","5","0","","1610612758"
"11","19","10:22","[DET 7-0] Drummond Layup Shot: Made (2 PTS) Assist: Bradley (1 AST)","18","2","2","0","5","1","","1610612765","203083","7","0","202340","1610612765"
"12","21","10:16","[SAC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612758","1610612758","7","0","","1610612758"
"13","22","10:10","[SAC] Fox Turnover : Bad Pass (1 TO) Steal:Drummond (1 ST)","94","77","1","0","1","5","203083","1610612758","1628368","7","0","","1610612758"
"14","24","10:04","[DET 10-0] Harris 3pt Shot: Made (3 PTS) Assist: Jackson (2 AST)","158","220","3","1","1","1","","1610612765","202699","10","0","202704","1610612765"
"15","26","09:47","[SAC 2-10] Randolph Jump Shot: Made (2 PTS) Assist: Cauley-Stein (1 AST)","-100","126","2","0","1","1","","1610612758","2216","10","2","1626161","1610612758"
"16","28","09:24","[DET 12-2] Drummond Dunk Shot: Made (4 PTS) Assist: Bradley (2 AST)","22","1","2","0","7","1","","1610612765","203083","12","2","202340","1610612765"
"17","30","09:18","[SAC 4-12] Fox Jump Shot: Made (2 PTS)","-2","45","2","0","1","1","","1610612758","1628368","12","4","","1610612758"
"18","31","09:18","[DET] Bradley Foul: Shooting (1 PF) (1 FTA) (L Richardson)","7","8","0","0","2","6","1628368","1610612765","202340","12","4","","1610612765"
"19","33","09:18","[SAC 5-12] Fox Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612758","1628368","12","5","","1610612758"
