"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Dedmon vs James (Babbitt gains possession)","0","-80","0","0","0","10","2544","1610612737","203473","0","0","202337","1610612737"
"3","7","11:48","[ATL] Schroder Turnover : Bad Pass (1 TO) Steal:Smith (1 ST)","-57","231","1","0","1","5","2747","1610612737","203471","0","0","","1610612737"
"4","9","11:25","[CLE 3-0] Smith 3pt Shot: Made (3 PTS)","232","39","3","0","80","1","","1610612739","2747","3","0","","1610612739"
"5","10","11:07","[ATL 2-3] Dedmon Hook Shot: Made (2 PTS) Assist: Schroder (1 AST)","-12","47","2","0","3","1","","1610612737","203473","3","2","203471","1610612737"
"6","12","10:57","[ATL] Dedmon Foul: Personal (1 PF) (S Wall)","-15","14","0","0","1","6","201567","1610612737","203473","3","2","","1610612739"
"7","14","10:49","[CLE] Love 3pt Shot: Missed","-81","238","3","0","80","2","","1610612739","201567","3","2","","1610612739"
"8","15","10:46","[ATL] Bazemore Rebound (Off:0 Def:1)","-81","238","0","0","0","4","","1610612737","203145","3","2","","1610612739"
"9","16","10:24","[ATL] Prince Turnover : Lost Ball (1 TO) Steal:Love (1 ST)","76","132","1","0","2","5","201567","1610612737","1627752","3","2","","1610612737"
"10","18","10:18","[CLE] Rose Layup Shot: Missed","1","18","2","1","5","2","","1610612739","201565","3","2","","1610612739"
"11","19","10:18","[ATL] Dedmon Rebound (Off:0 Def:1)","1","18","0","0","0","4","","1610612737","203473","3","2","","1610612739"
"12","20","10:18","[ATL] Dedmon Turnover : Step Out of Bounds Turnover (1 TO)","8","834","0","0","39","5","","1610612737","203473","3","2","","1610612737"
"13","21","10:09","[CLE] Rose Driving Floating Jump Shot: Missed","-40","68","2","0","101","2","","1610612739","201565","3","2","","1610612739"
"14","22","10:05","[CLE] Rose Rebound (Off:1 Def:0)","-40","68","1","0","0","4","","1610612739","201565","3","2","","1610612739"
"15","23","10:04","[CLE 5-2] Rose Layup Shot: Made (2 PTS)","16","2","2","0","5","1","","1610612739","201565","5","2","","1610612739"
"16","24","09:40","[ATL 5-5] Babbitt 3pt Shot: Made (3 PTS) Assist: Schroder (2 AST)","227","8","3","0","1","1","","1610612737","202337","5","5","203471","1610612737"
