"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:55","Jump Ball Turner vs Porzingis (Oladipo gains possession)","0","-80","0","0","0","10","204001","1610612754","1626167","0","0","203506","1610612754"
"3","7","11:44","[NYK] Kanter Violation:Kicked Ball","0","-80","0","0","5","7","","1610612752","202683","0","0","","1610612754"
"4","8","11:36","[NYK] Porzingis Turnover : Bad Pass (1 TO) Steal:Oladipo (1 ST)","-84","785","1","0","1","5","203506","1610612752","204001","0","0","","1610612752"
"5","10","11:27","[NYK] Lee Layup Shot: Missed","-3","19","2","0","5","2","203506","1610612752","201584","0","0","","1610612752"
"6","12","11:21","[NYK] Jack Rebound (Off:1 Def:0)","-1","817","1","0","0","4","","1610612752","101127","0","0","","1610612752"
"7","13","11:18","[NYK 3-0] Hardaway Jr. 3pt Shot: Made (3 PTS) Assist: Lee (1 AST)","-157","214","3","0","1","1","","1610612752","203501","3","0","201584","1610612752"
"8","15","10:57","[IND] Young Jump Shot: Missed","-58","122","2","0","1","2","","1610612754","201152","3","0","","1610612754"
"9","16","10:57","[NYK] Porzingis Rebound (Off:0 Def:1)","-58","122","0","0","0","4","","1610612752","204001","3","0","","1610612754"
"10","17","10:50","[NYK] Hardaway Jr. 3pt Shot: Missed","136","229","3","1","79","2","","1610612752","203501","3","0","","1610612752"
"11","18","10:47","[IND] Oladipo Rebound (Off:0 Def:1)","136","229","0","0","0","4","","1610612754","203506","3","0","","1610612752"
"12","19","10:29","[IND 2-3] Turner Pullup Jump shot: Made (2 PTS) Assist: Collison (1 AST)","-25","140","2","0","79","1","","1610612754","1626167","3","2","201954","1610612754"
"13","21","10:11","[NYK 5-2] Kanter Hook Shot: Made (2 PTS)","-5","43","2","0","3","1","","1610612752","202683","5","2","","1610612752"
"14","22","10:11","[IND] Turner Foul: Shooting (1 PF) (1 FTA) (M Smith)","-6","36","0","0","2","6","202683","1610612754","1626167","5","2","","1610612754"
"15","24","10:11","[NYK 6-2] Kanter Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612752","202683","6","2","","1610612752"
"16","25","10:01","[IND] Oladipo Floating Jump shot: Missed","-48","78","2","0","78","2","","1610612754","203506","6","2","","1610612754"
"17","26","09:58","[IND] Oladipo Rebound (Off:1 Def:1)","-48","78","1","0","0","4","","1610612754","203506","6","2","","1610612754"
"18","27","09:56","[IND 4-6] Oladipo Layup Shot: Made (2 PTS)","3","18","2","0","5","1","","1610612754","203506","6","4","","1610612754"
"19","28","09:40","[NYK] Porzingis Jump Shot: Missed","167","82","2","0","1","2","","1610612752","204001","6","4","","1610612752"
"20","29","09:37","[NYK] Kanter Rebound (Off:1 Def:0)","167","82","1","0","0","4","","1610612752","202683","6","4","","1610612752"
"21","30","09:33","[NYK] Lee Jump Shot: Missed","-174","22","2","0","1","2","","1610612752","201584","6","4","","1610612752"
"22","31","09:28","[IND] Collison Rebound (Off:0 Def:1)","-174","22","0","0","0","4","","1610612754","201954","6","4","","1610612752"
"23","32","09:26","[IND 6-6] Young Dunk Shot: Made (2 PTS) Assist: Oladipo (1 AST)","0","5","2","1","7","1","","1610612754","201152","6","6","203506","1610612754"
"24","34","09:08","[NYK] Kanter Jump Shot: Missed","-5","52","2","0","1","2","","1610612752","202683","6","6","","1610612752"
"25","35","09:05","[IND] Turner Rebound (Off:0 Def:1)","-5","52","0","0","0","4","","1610612754","1626167","6","6","","1610612752"
"26","36","09:02","[IND] Collison Pullup Jump shot: Missed","40","159","2","0","79","2","","1610612754","201954","6","6","","1610612754"
"27","37","08:59","[NYK] Kanter Rebound (Off:1 Def:1)","40","159","0","0","0","4","","1610612752","202683","6","6","","1610612754"
"28","38","08:49","[NYK] Porzingis Jump Shot: Missed","-116","73","2","0","1","2","","1610612752","204001","6","6","","1610612752"
"29","39","08:45","[NYK] Kanter Rebound (Off:2 Def:1)","-116","73","1","0","0","4","","1610612752","202683","6","6","","1610612752"
"30","40","08:43","[NYK 8-6] Porzingis Layup Shot: Made (2 PTS) Assist: Kanter (1 AST)","3","14","2","0","5","1","","1610612752","204001","8","6","202683","1610612752"
"31","42","08:38","[IND] Oladipo Turnover : Lost Ball (1 TO) Steal:Hardaway Jr. (1 ST)","107","550","1","0","2","5","203501","1610612754","203506","8","6","","1610612754"
