"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Lopez vs Gasol (Ball gains possession)","0","-80","0","0","0","10","201188","1610612747","201572","0","0","1628366","1610612747"
"3","7","11:47","[LAL 2-0] Caldwell-Pope Driving Layup Shot: Made (2 PTS) Assist: Lopez (1 AST)","5","25","2","0","6","1","","1610612747","203484","2","0","201572","1610612747"
"4","9","11:20","[MEM] Martin 3pt Shot: Missed","-130","230","3","0","1","2","","1610612763","1626185","2","0","","1610612763"
"5","10","11:17","[LAL] Caldwell-Pope Rebound (Off:0 Def:1)","-130","230","0","0","0","4","","1610612747","203484","2","0","","1610612763"
"6","11","11:07","[LAL] Lopez Hook Shot: Missed","105","129","2","0","3","2","","1610612747","201572","2","0","","1610612747"
"7","12","11:04","[MEM] Martin Rebound (Off:0 Def:1)","105","129","0","0","0","4","","1610612763","1626185","2","0","","1610612747"
"8","13","10:57","[MEM 2-2] Brooks Driving Reverse Layup Shot: Made (2 PTS) Assist: Gasol (1 AST)","-11","15","2","0","73","1","","1610612763","1628415","2","2","201188","1610612763"
"9","15","10:36","[LAL] Ingram Driving Floating Bank Jump Shot: Missed","16","36","2","0","102","2","","1610612747","1627742","2","2","","1610612747"
"10","16","10:32","[MEM] Brooks Rebound (Off:0 Def:1)","16","36","0","0","0","4","","1610612763","1628415","2","2","","1610612747"
"11","17","10:28","[MEM] Gasol 3pt Shot: Missed","-111","239","3","1","1","2","","1610612763","201188","2","2","","1610612763"
"12","18","10:23","[LAL] Ingram Rebound (Off:0 Def:1)","-111","239","0","0","0","4","","1610612747","1627742","2","2","","1610612763"
"13","19","10:16","[LAL] Ball 3pt Shot: Missed","-165","193","3","0","1","2","","1610612747","1628366","2","2","","1610612747"
"14","20","10:13","[MEM] Ennis III Rebound (Off:0 Def:1)","-165","193","0","0","0","4","","1610612763","203516","2","2","","1610612747"
"15","21","09:53","[MEM 4-2] Brooks Driving Layup Shot: Made (4 PTS) Assist: Gasol (2 AST)","4","10","2","0","6","1","","1610612763","1628415","2","4","201188","1610612763"
"16","23","09:37","[LAL] Kuzma 3pt Shot: Missed","143","220","3","0","1","2","","1610612747","1628398","2","4","","1610612747"
"17","24","09:36","[LAL] Team Rebound","143","220","1","0","0","4","","1610612747","0","2","4","","1610612747"
"18","25","09:36","[MEM] Brooks Foul: Loose Ball (1 PF) (J Capers)","0","26","0","0","3","6","1627742","1610612763","1628415","2","4","","1610612747"
"19","27","09:23","[LAL 4-4] Ingram Driving Reverse Dunk Shot: Made (2 PTS)","-8","0","2","0","109","1","","1610612747","1627742","4","4","","1610612747"
"20","28","09:12","[LAL] Ingram Foul: Personal (1 PF) (M Ayotte)","-105","143","0","0","1","6","201188","1610612747","1627742","4","4","","1610612763"
"21","30","09:03","[MEM] Gasol 3pt Shot: Missed","-23","253","3","0","1","2","","1610612763","201188","4","4","","1610612763"
"22","31","08:58","[LAL] Ball Rebound (Off:0 Def:1)","-23","253","0","0","0","4","","1610612747","1628366","4","4","","1610612763"
"23","32","08:46","[LAL 7-4] Lopez 3pt Shot: Made (3 PTS) Assist: Ball (1 AST)","230","8","3","0","1","1","","1610612747","201572","7","4","1628366","1610612747"
"24","34","08:24","[MEM] Ennis III 3pt Shot: Missed","151","215","3","0","1","2","","1610612763","203516","7","4","","1610612763"
"25","35","08:19","[MEM] Martin Rebound (Off:1 Def:1)","151","215","1","0","0","4","","1610612763","1626185","7","4","","1610612763"
"26","36","08:13","[MEM] Brooks Turnover : Bad Pass (1 TO) Steal:Lopez (1 ST)","-105","172","1","0","1","5","201572","1610612763","1628415","7","4","","1610612763"
"27","38","08:10","[LAL] Caldwell-Pope Running Layup Shot: Missed","12","23","2","0","41","2","201188","1610612747","203484","7","4","","1610612747"
"28","40","08:07","[MEM] Gasol Rebound (Off:0 Def:1)","12","23","0","0","0","4","","1610612763","201188","7","4","","1610612747"
"29","41","08:07","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","7","4","","1610612763"
"30","42","07:47","[MEM 6-7] Gasol Turnaround Hook Shot: Made (2 PTS)","64","24","2","0","58","1","","1610612763","201188","7","6","","1610612763"
"31","43","07:42","[LAL 9-6] Kuzma Running Reverse Dunk Shot: Made (2 PTS) Assist: Lopez (2 AST)","-11","21","2","1","110","1","","1610612747","1628398","9","6","201572","1610612747"
"32","45","07:31","[MEM 8-9] Gasol Pullup Jump shot: Made (4 PTS) Assist: Conley (1 AST)","-12","178","2","0","79","1","","1610612763","201188","9","8","201144","1610612763"
"33","47","07:20","[LAL 11-8] Kuzma Cutting Layup Shot: Made (4 PTS) Assist: Lopez (3 AST)","-9","12","2","0","98","1","","1610612747","1628398","11","8","201572","1610612747"
"34","49","06:57","[MEM 10-11] Conley Driving Layup Shot: Made (2 PTS) Assist: Martin (1 AST)","-9","30","2","0","6","1","","1610612763","201144","11","10","1626185","1610612763"
"35","51","06:44","[LAL] Kuzma Hook Shot: Missed","9","86","2","0","3","2","","1610612747","1628398","11","10","","1610612747"
"36","52","06:44","[MEM] Martin Rebound (Off:1 Def:2)","9","86","0","0","0","4","","1610612763","1626185","11","10","","1610612747"
"37","53","06:36","[MEM 13-11] Conley 3pt Shot: Made (5 PTS) Assist: Martin (2 AST)","150","220","3","1","103","1","","1610612763","201144","11","13","1626185","1610612763"
"38","55","06:13","[LAL] Lopez Jump Shot: Missed","28","154","2","0","1","2","1626185","1610612747","201572","11","13","","1610612747"
"39","57","06:10","[MEM] Gasol Rebound (Off:0 Def:2)","28","154","0","0","0","4","","1610612763","201188","11","13","","1610612747"
"40","58","06:04","[MEM] Conley Driving Layup Shot: Missed","-1","24","2","0","6","2","","1610612763","201144","11","13","","1610612763"
"41","59","06:02","[LAL] Kuzma Rebound (Off:0 Def:1)","-1","24","0","0","0","4","","1610612747","1628398","11","13","","1610612763"
"42","60","05:58","[LAL] Caldwell-Pope 3pt Shot: Missed","-231","-11","3","1","1","2","","1610612747","203484","11","13","","1610612747"
"43","61","05:53","[MEM] Gasol Rebound (Off:0 Def:3)","-231","-11","0","0","0","4","","1610612763","201188","11","13","","1610612747"
"44","62","05:34","[MEM 15-11] Gasol Turnaround Fadeaway shot: Made (6 PTS)","-121","82","2","0","86","1","","1610612763","201188","11","15","","1610612763"
"45","63","05:26","[LAL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612747","1610612747","11","15","","1610612747"
"46","66","05:26","[MEM] Brooks Substitution replaced by Evans","0","-80","0","0","0","8","","1610612763","1628415","11","15","201936","1610612747"
"47","67","05:26","[MEM] Conley Substitution replaced by Chalmers","0","-80","0","0","0","8","","1610612763","201144","11","15","201596","1610612747"
"48","68","05:18","[MEM] Martin Foul: Shooting (1 PF) (2 FTA) (J Capers)","-61","802","0","0","2","6","1628398","1610612763","1626185","11","15","","1610612747"
"49","70","05:18","[LAL 12-15] Kuzma Free Throw 1 of 2 (5 PTS)","0","-80","1","0","11","3","","1610612747","1628398","12","15","","1610612747"
"50","72","05:18","[LAL] Lopez Substitution replaced by Randle","0","-80","0","0","0","8","","1610612747","201572","12","15","203944","1610612747"
"51","73","05:18","[LAL 13-15] Kuzma Free Throw 2 of 2 (6 PTS)","0","-80","1","0","12","3","","1610612747","1628398","13","15","","1610612747"
"52","74","04:56","[MEM] Ennis III 3pt Shot: Missed","160","205","3","0","1","2","","1610612763","203516","13","15","","1610612763"
"53","75","04:53","[LAL] Ingram Rebound (Off:0 Def:2)","160","205","0","0","0","4","","1610612747","1627742","13","15","","1610612763"
"54","76","04:47","[LAL 15-15] Ingram Running Layup Shot: Made (4 PTS)","9","14","2","1","41","1","","1610612747","1627742","15","15","","1610612747"
"55","77","04:24","[MEM] Gasol Hook Shot: Missed","-2","25","2","0","3","2","","1610612763","201188","15","15","","1610612763"
"56","78","04:21","[LAL] Randle Rebound (Off:0 Def:1)","-2","25","0","0","0","4","","1610612747","203944","15","15","","1610612763"
"57","79","04:15","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","15","15","","1610612747"
"58","82","04:15","[LAL] Kuzma Substitution replaced by Clarkson","0","-80","0","0","0","8","","1610612747","1628398","15","15","203903","1610612747"
"59","83","04:15","[MEM] Martin Substitution replaced by Wright","0","-80","0","0","0","8","","1610612763","1626185","15","15","201148","1610612747"
"60","84","04:05","[LAL] Caldwell-Pope Jump Shot: Missed","-90","149","2","0","1","2","","1610612747","203484","15","15","","1610612747"
"61","85","04:03","[MEM] Wright Rebound (Off:0 Def:1)","-90","149","0","0","0","4","","1610612763","201148","15","15","","1610612747"
"62","86","03:51","[LAL] Ball Foul: Personal (1 PF) (J Capers)","-57","117","0","0","1","6","201188","1610612747","1628366","15","15","","1610612763"
"63","88","03:38","[MEM] Gasol Turnover : Bad Pass (1 TO) Steal:Clarkson (1 ST)","32","52","1","0","1","5","203903","1610612763","201188","15","15","","1610612763"
"64","90","03:38","[MEM] Evans Foul: Personal (1 PF) (J Sterling)","-13","784","0","0","1","6","203944","1610612763","201936","15","15","","1610612747"
"65","92","03:32","[LAL] Ball 3pt Shot: Missed","-18","282","3","0","1","2","","1610612747","1628366","15","15","","1610612747"
"66","93","03:28","[MEM] Chalmers Rebound (Off:0 Def:1)","-18","282","0","0","0","4","","1610612763","201596","15","15","","1610612747"
"67","94","03:22","[MEM] Gasol Driving Floating Jump Shot: Missed","29","89","2","0","101","2","","1610612763","201188","15","15","","1610612763"
"68","95","03:18","[LAL] Ball Rebound (Off:0 Def:2)","29","89","0","0","0","4","","1610612747","1628366","15","15","","1610612763"
"69","96","03:17","[LAL 17-15] Ball Running Layup Shot: Made (2 PTS)","6","13","2","1","41","1","","1610612747","1628366","17","15","","1610612747"
"70","97","03:17","[MEM] Evans Foul: Shooting (2 PF) (1 FTA) (M Ayotte)","13","24","0","0","2","6","1628366","1610612763","201936","17","15","","1610612763"
"71","100","03:17","[MEM] Gasol Substitution replaced by Brooks","0","-80","0","0","0","8","","1610612763","201188","17","15","1628415","1610612763"
"72","101","03:17","[LAL 18-15] Ball Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612747","1628366","18","15","","1610612747"
"73","102","03:12","[MEM 18-18] Brooks 3pt Shot: Made (7 PTS) Assist: Chalmers (1 AST)","150","198","3","0","1","1","","1610612763","1628415","18","18","201596","1610612763"
"74","104","02:57","[LAL] Clarkson Driving Floating Jump Shot: Missed","22","19","2","0","101","2","","1610612747","203903","18","18","","1610612747"
"75","105","02:54","[MEM] Wright Rebound (Off:0 Def:2)","22","19","0","0","0","4","","1610612763","201148","18","18","","1610612747"
"76","106","02:52","[MEM] Chalmers 3pt Shot: Missed","-225","100","3","1","1","2","","1610612763","201596","18","18","","1610612763"
"77","107","02:48","[LAL] Caldwell-Pope Rebound (Off:0 Def:2)","-225","100","0","0","0","4","","1610612747","203484","18","18","","1610612763"
"78","108","02:46","[LAL] Caldwell-Pope Turnover : Bad Pass (1 TO) Steal:Ennis III (1 ST)","139","35","1","0","1","5","203516","1610612747","203484","18","18","","1610612747"
"79","110","02:40","[MEM] Brooks Turnover : Traveling (2 TO)","-122","54","0","0","4","5","","1610612763","1628415","18","18","","1610612763"
"80","111","02:40","[MEM] Team Timeout : Regular","0","-80","0","0","1","9","","1610612763","1610612763","18","18","","1610612747"
"81","112","02:28","[LAL] Ball Driving Layup Shot: Missed","7","18","2","0","6","2","201148","1610612747","1628366","18","18","","1610612747"
"82","114","02:21","[LAL] Ball Rebound (Off:1 Def:2)","7","18","1","0","0","4","","1610612747","1628366","18","18","","1610612747"
"83","115","02:21","[LAL 20-18] Ball Putback Layup Shot: Made (5 PTS)","0","-5","2","0","72","1","","1610612747","1628366","20","18","","1610612747"
"84","116","02:06","[MEM 20-20] Chalmers Driving Floating Jump Shot: Made (2 PTS)","62","42","2","0","101","1","","1610612763","201596","20","20","","1610612763"
"85","117","01:49","[LAL 22-20] Randle Dunk Shot: Made (2 PTS) Assist: Ball (2 AST)","1","10","2","0","7","1","","1610612747","203944","22","20","1628366","1610612747"
"86","119","01:36","[MEM 22-22] Wright Dunk Shot: Made (2 PTS) Assist: Brooks (1 AST)","-2","20","2","0","7","1","","1610612763","201148","22","22","1628415","1610612763"
"87","121","01:24","[MEM] Brooks Foul: Shooting (2 PF) (2 FTA) (J Sterling)","5","820","0","0","2","6","1628366","1610612763","1628415","22","22","","1610612747"
"88","123","01:24","[LAL] Ball Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612747","1628366","22","22","","1610612747"
"89","124","01:24","[LAL] Team Rebound","0","-80","1","0","1","4","","1610612747","0","22","22","","1610612747"
"90","127","01:24","[LAL] Caldwell-Pope Substitution replaced by Brewer","0","-80","0","0","0","8","","1610612747","203484","22","22","201147","1610612747"
"91","128","01:24","[LAL] Ingram Substitution replaced by Hart","0","-80","0","0","0","8","","1610612747","1627742","22","22","1628404","1610612747"
"92","129","01:24","[LAL 23-22] Ball Free Throw 2 of 2 (6 PTS)","0","-80","1","0","12","3","","1610612747","1628366","23","22","","1610612747"
"93","130","01:08","[MEM 24-23] Wright Turnaround Hook Shot: Made (4 PTS)","-3","52","2","0","58","1","","1610612763","201148","23","24","","1610612763"
"94","131","00:55.1","[LAL] Randle Floating Jump shot: Missed","0","34","2","0","78","2","","1610612747","203944","23","24","","1610612747"
"95","132","00:52.0","[MEM] Chalmers Rebound (Off:0 Def:2)","0","34","0","0","0","4","","1610612763","201596","23","24","","1610612747"
"96","133","00:46.3","[MEM] Brooks 3pt Shot: Missed","-240","20","3","0","1","2","","1610612763","1628415","23","24","","1610612763"
"97","134","00:42.2","[LAL] Randle Rebound (Off:0 Def:2)","-240","20","0","0","0","4","","1610612747","203944","23","24","","1610612763"
"98","135","00:35.5","[LAL 25-24] Randle Cutting Layup Shot: Made (4 PTS) Assist: Clarkson (1 AST)","-5","5","2","0","98","1","","1610612747","203944","25","24","203903","1610612747"
"99","137","00:22.3","[MEM] Chalmers 3pt Shot: Missed","57","253","3","0","1","2","","1610612763","201596","25","24","","1610612763"
"100","138","00:18.4","[LAL] Clarkson Rebound (Off:0 Def:1)","57","253","0","0","0","4","","1610612747","203903","25","24","","1610612763"
"101","139","00:02.3","[LAL 27-24] Clarkson Floating Jump shot: Made (2 PTS) Assist: Randle (1 AST)","1","18","2","0","78","1","","1610612747","203903","27","24","203944","1610612747"
"102","141","00:00.0","End Period","0","-80","0","0","0","13","","0","0","27","24","","1610612763"
"103","146","12:00","Start Period","0","-80","0","0","0","12","","0","0","27","24","","1610612763"
"104","147","11:44","[MEM 27-27] Evans 3pt Shot: Made (3 PTS)","-170","198","3","0","1","1","","1610612763","201936","27","27","","1610612763"
"105","149","11:30","[LAL 29-27] Randle Layup Shot: Made (6 PTS) Assist: Clarkson (2 AST)","-4","19","2","0","5","1","","1610612747","203944","29","27","203903","1610612747"
"106","151","11:30","[MEM] Wright Foul: Shooting (1 PF) (1 FTA) (J Capers)","12","15","0","0","2","6","203944","1610612763","201148","29","27","","1610612763"
"107","153","11:30","[LAL] Randle Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612747","203944","29","27","","1610612747"
"108","154","11:26","[MEM] Brooks Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612763","1628415","29","27","","1610612747"
"109","156","11:18","[LAL] Kuzma Foul: Defense 3 Second (1 PF) (1 FTA) (J Sterling)","0","-80","0","0","17","6","","1610612747","1628398","29","27","","1610612763"
"110","157","11:18","[MEM 28-29] Evans Free Throw Technical (4 PTS)","0","-80","1","0","16","3","","1610612763","201936","29","28","","1610612763"
"111","158","11:09","[MEM] Chalmers Driving Layup Shot: Missed","-8","17","2","0","6","2","","1610612763","201596","29","28","","1610612763"
"112","159","11:04","[MEM] Wright Rebound (Off:1 Def:2)","-8","17","1","0","0","4","","1610612763","201148","29","28","","1610612763"
"113","160","11:04","[MEM] Wright Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612763","201148","29","28","","1610612763"
"114","161","11:04","[LAL] Brewer Rebound (Off:0 Def:1)","0","-5","0","0","0","4","","1610612747","201147","29","28","","1610612763"
"115","162","11:03","[LAL] Clarkson Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","122","41","0","0","45","5","","1610612747","203903","29","28","","1610612747"
"116","163","10:54","[MEM 30-29] Chalmers Cutting Layup Shot: Made (4 PTS) Assist: Wright (1 AST)","5","19","2","0","98","1","","1610612763","201596","29","30","201148","1610612763"
"117","165","10:39","[MEM] Chalmers Foul: Personal (1 PF) (M Ayotte)","92","204","0","0","1","6","203903","1610612763","201596","29","30","","1610612747"
