"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Whiteside vs Jordan (G Dragic gains possession)","0","-80","0","0","0","10","201599","1610612748","202355","0","0","201609","1610612748"
"3","7","11:56","Stoppage: Equipment Malfunction","0","-80","0","0","5","20","","0","0","0","0","","1610612748"
"4","8","11:44","[MIA] Richardson Jump Shot: Missed","-172","29","2","0","1","2","","1610612748","1626196","0","0","","1610612748"
"5","9","11:40","[LAC] Beverley Rebound (Off:0 Def:1)","-172","29","0","0","0","4","","1610612746","201976","0","0","","1610612748"
"6","10","11:24","[LAC] Beverley Floating Jump shot: Missed","77","71","2","0","78","2","","1610612746","201976","0","0","","1610612746"
"7","11","11:17","[LAC] Jordan Rebound (Off:1 Def:0)","77","71","1","0","0","4","","1610612746","201599","0","0","","1610612746"
"8","12","11:17","[LAC 2-0] Jordan Tip Dunk Shot: Made (2 PTS)","0","-5","2","0","107","1","","1610612746","201599","2","0","","1610612746"
"9","13","10:57","[MIA 2-2] G Dragic Floating Jump shot: Made (2 PTS)","-90","99","2","0","78","1","","1610612748","201609","2","2","","1610612748"
"10","14","10:54","[MIA] White Foul: Personal Block (1 PF) (T Ford)","150","350","0","0","27","6","201933","1610612748","1627855","2","2","","1610612746"
"11","16","10:43","[LAC] Rivers 3pt Shot: Missed","-30","249","3","0","1","2","","1610612746","203085","2","2","","1610612746"
"12","17","10:41","[MIA] Team Rebound","-30","249","0","0","0","4","","1610612748","0","2","2","","1610612746"
"13","18","10:31","[MIA 4-2] Winslow Floating Jump shot: Made (2 PTS) Assist: Richardson (1 AST)","-28","95","2","0","78","1","","1610612748","1626159","2","4","1626196","1610612748"
"14","20","10:29","[MIA] Team Violation : Delay Of Game (B Barnaky)","0","-80","0","0","1","7","","1610612748","0","2","4","","1610612746"
"15","21","10:18","[MIA] Winslow Foul: Personal (1 PF) (T Ford)","19","119","0","0","1","6","201568","1610612748","1626159","2","4","","1610612746"
"16","23","10:03","[LAC 4-4] Griffin Turnaround Fadeaway shot: Made (2 PTS)","182","15","2","0","86","1","","1610612746","201933","4","4","","1610612746"
"17","24","09:46","[MIA] Winslow Jump Shot: Missed","-8","50","2","0","1","2","203085","1610612748","1626159","4","4","","1610612748"
"18","26","09:43","[MIA] Whiteside Rebound (Off:1 Def:0)","-8","50","1","0","0","4","","1610612748","202355","4","4","","1610612748"
"19","27","09:43","[MIA] Whiteside Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612748","202355","4","4","","1610612748"
"20","28","09:42","[LAC] Team Rebound","0","-5","0","0","0","4","","1610612746","0","4","4","","1610612748"
"21","29","09:33","[LAC] Beverley Driving Floating Jump Shot: Missed","3","44","2","0","101","2","","1610612746","201976","4","4","","1610612746"
"22","59","09:33","[LAC] Jordan Tip Layup Shot: Missed","2","13","2","0","97","2","","1610612746","201599","4","4","","1610612746"
