"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Adams vs Nurkic (Roberson gains possession)","0","-80","0","0","0","10","203994","1610612760","203500","0","0","203460","1610612760"
"3","7","11:42","[OKC] George Turnover : Lost Ball (1 TO) Steal:Harkless (1 ST)","154","99","1","0","2","5","203090","1610612760","202331","0","0","","1610612760"
"4","9","11:36","[POR 2-0] Nurkic Cutting Dunk Shot: Made (2 PTS) Assist: Lillard (1 AST)","-11","-7","2","1","108","1","","1610612757","203994","2","0","203081","1610612757"
"5","11","11:24","[OKC 2-2] George Jump Shot: Made (2 PTS) Assist: Westbrook (1 AST)","170","18","2","0","1","1","","1610612760","202331","2","2","201566","1610612760"
"6","13","11:04","[POR] Harkless 3pt Shot: Missed","-115","222","3","0","1","2","","1610612757","203090","2","2","","1610612757"
"7","14","11:00","[OKC] Roberson Rebound (Off:0 Def:1)","-115","222","0","0","0","4","","1610612760","203460","2","2","","1610612757"
"8","15","10:47","[OKC] Roberson Cutting Layup Shot: Missed","-18","17","2","0","98","2","","1610612760","203460","2","2","","1610612760"
"9","16","10:45","[POR] Nurkic Rebound (Off:0 Def:1)","-18","17","0","0","0","4","","1610612757","203994","2","2","","1610612760"
"10","17","10:39","[POR] Lillard Turnover : Bad Pass (1 TO) Steal:Adams (1 ST)","151","187","1","0","1","5","203500","1610612757","203081","2","2","","1610612757"
"11","19","10:30","[OKC 4-2] Adams Cutting Layup Shot: Made (2 PTS) Assist: Westbrook (2 AST)","3","9","2","0","98","1","","1610612760","203500","2","4","201566","1610612760"
"12","21","10:12","[POR 4-4] McCollum Pullup Jump shot: Made (2 PTS) Assist: Lillard (2 AST)","-141","25","2","0","79","1","","1610612757","203468","4","4","203081","1610612757"
"13","23","09:52","[OKC 7-4] Anthony 3pt Shot: Made (3 PTS) Assist: George (1 AST)","226","29","3","0","1","1","","1610612760","2546","4","7","202331","1610612760"
"14","25","09:38","[POR 6-7] Nurkic Turnaround Hook Shot: Made (4 PTS) Assist: Lillard (3 AST)","9","29","2","0","58","1","","1610612757","203994","6","7","203081","1610612757"
"15","27","09:27","[OKC] Westbrook Turnaround Fadeaway shot: Missed","84","147","2","0","86","2","","1610612760","201566","6","7","","1610612760"
"16","28","09:24","[POR] Lillard Rebound (Off:0 Def:1)","84","147","0","0","0","4","","1610612757","203081","6","7","","1610612760"
"17","29","09:16","[POR 9-7] McCollum 3pt Shot: Made (5 PTS) Assist: Nurkic (1 AST)","68","264","3","0","1","1","","1610612757","203468","9","7","203994","1610612757"
"18","31","08:58","[POR] Lillard Foul: Personal (1 PF) (R Mott)","-73","147","0","0","1","6","2546","1610612757","203081","9","7","","1610612760"
"19","33","08:49","[OKC 9-9] Anthony Jump Shot: Made (5 PTS)","134","97","2","0","1","1","","1610612760","2546","9","9","","1610612760"
"20","34","08:34","[POR 11-9] Harkless Cutting Dunk Shot: Made (2 PTS) Assist: Lillard (4 AST)","-1","6","2","0","108","1","","1610612757","203090","11","9","203081","1610612757"
"21","36","08:17","[OKC 11-11] Anthony Jump Shot: Made (7 PTS) Assist: Westbrook (3 AST)","-59","194","2","0","1","1","","1610612760","2546","11","11","201566","1610612760"
"22","38","07:54","[POR 13-11] Nurkic Driving Layup Shot: Made (6 PTS) Assist: Lillard (5 AST)","-1","0","2","0","6","1","","1610612757","203994","13","11","203081","1610612757"
"23","40","07:36","[OKC 13-13] Anthony Turnaround Fadeaway shot: Made (9 PTS)","-65","139","2","0","86","1","","1610612760","2546","13","13","","1610612760"
"24","41","07:17","[POR 15-13] Lillard Driving Layup Shot: Made (2 PTS)","-5","-6","2","0","6","1","","1610612757","203081","15","13","","1610612757"
"25","42","07:17","[OKC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612760","1610612760","15","13","","1610612760"
"26","43","07:07","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","15","13","","1610612760"
"27","44","07:03","[OKC] Anthony Pullup Jump shot: Missed","51","156","2","0","79","2","","1610612760","2546","15","13","","1610612760"
"28","45","07:02","[OKC] Anthony Rebound (Off:1 Def:0)","51","156","1","0","0","4","","1610612760","2546","15","13","","1610612760"
"29","46","06:55","[OKC] Anthony Step Back Jump shot: Missed","204","41","2","0","80","2","","1610612760","2546","15","13","","1610612760"
"30","47","06:53","[POR] Harkless Rebound (Off:0 Def:1)","204","41","0","0","0","4","","1610612757","203090","15","13","","1610612760"
"31","48","06:48","[POR 18-13] Lillard 3pt Shot: Made (5 PTS)","-152","231","3","0","79","1","","1610612757","203081","18","13","","1610612757"
"32","49","06:34","[OKC] George Driving Floating Jump Shot: Missed","0","46","2","0","101","2","","1610612760","202331","18","13","","1610612760"
"33","50","06:32","[POR] Nurkic Rebound (Off:0 Def:2)","0","46","0","0","0","4","","1610612757","203994","18","13","","1610612760"
"34","51","06:14","[POR] McCollum Driving Floating Jump Shot: Missed","75","19","2","0","101","2","","1610612757","203468","18","13","","1610612757"
"35","52","06:11","[OKC] George Rebound (Off:0 Def:1)","75","19","0","0","0","4","","1610612760","202331","18","13","","1610612757"
"36","53","06:00","[OKC] Westbrook Pullup Jump shot: Missed","8","167","2","0","79","2","","1610612760","201566","18","13","","1610612760"
"37","54","05:58","[POR] Nurkic Rebound (Off:0 Def:3)","8","167","0","0","0","4","","1610612757","203994","18","13","","1610612760"
"38","55","05:46","[OKC] Roberson Foul: Personal (1 PF) (T Maddox)","-17","124","0","0","1","6","203994","1610612760","203460","18","13","","1610612757"
"39","58","05:46","[OKC] Anthony Substitution replaced by Grant","0","-80","0","0","0","8","","1610612760","2546","18","13","203924","1610612757"
"40","61","05:46","[POR] Harkless Substitution replaced by Turner","0","-80","0","0","0","8","","1610612757","203090","18","13","202323","1610612757"
"41","62","05:46","[POR] McCollum Substitution replaced by Connaughton","0","-80","0","0","0","8","","1610612757","203468","18","13","1626192","1610612757"
"42","63","05:33","[POR] Lillard Turnover : Bad Pass (2 TO) Steal:George (1 ST)","141","19","1","0","1","5","202331","1610612757","203081","18","13","","1610612757"
"43","65","05:29","[POR] Connaughton Foul: Shooting (1 PF) (2 FTA) (J Orr)","6","5","0","0","2","6","201566","1610612757","1626192","18","13","","1610612760"
"44","67","05:29","[OKC 14-18] Westbrook Free Throw 1 of 2 (1 PTS)","0","-80","1","1","11","3","","1610612760","201566","18","14","","1610612760"
"45","69","05:29","[OKC] Roberson Substitution replaced by Abrines","0","-80","0","0","0","8","","1610612760","203460","18","14","203518","1610612760"
"46","70","05:29","[OKC 15-18] Westbrook Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612760","201566","18","15","","1610612760"
"47","71","05:18","[POR] Nurkic Jump Shot: Missed","93","190","2","0","1","2","","1610612757","203994","18","15","","1610612757"
"48","72","05:16","[OKC] Westbrook Rebound (Off:0 Def:1)","93","190","0","0","0","4","","1610612760","201566","18","15","","1610612757"
"49","73","05:13","[OKC] Westbrook Running Layup Shot: Missed","8","19","2","1","41","2","","1610612760","201566","18","15","","1610612760"
"50","74","05:11","[POR] Turner Rebound (Off:0 Def:1)","8","19","0","0","0","4","","1610612757","202323","18","15","","1610612760"
"51","75","05:07","[OKC] Grant Foul: Personal (1 PF) (J Orr)","-1","16","0","0","1","6","203994","1610612760","203924","18","15","","1610612757"
"52","77","05:07","[OKC] Westbrook Technical (1 FTA) (T Maddox)","0","-80","0","0","11","6","","1610612760","201566","18","15","","1610612757"
"53","78","05:07","[POR 19-15] Lillard Free Throw Technical (6 PTS)","0","-80","1","1","16","3","","1610612757","203081","19","15","","1610612757"
"54","79","04:57","[POR 21-15] Nurkic Floating Jump shot: Made (8 PTS) Assist: Lillard (6 AST)","4","104","2","0","78","1","","1610612757","203994","21","15","203081","1610612757"
"55","81","04:37","[OKC] Adams Turnover : 3 Second Violation (1 TO)","9","39","0","0","8","5","","1610612760","203500","21","15","","1610612760"
"56","82","04:20","[POR 23-15] Nurkic Driving Layup Shot: Made (10 PTS) Assist: Lillard (7 AST)","-3","0","2","0","6","1","","1610612757","203994","23","15","203081","1610612757"
"57","84","04:04","[OKC] Adams Turnover : Lost Ball (2 TO) Steal:Nurkic (1 ST)","-9","67","1","0","2","5","203994","1610612760","203500","23","15","","1610612760"
"58","86","04:00","[POR] Lillard 3pt Shot: Missed","-145","248","3","0","79","2","","1610612757","203081","23","15","","1610612757"
"59","87","03:57","[OKC] Adams Rebound (Off:0 Def:1)","-145","248","0","0","0","4","","1610612760","203500","23","15","","1610612757"
"60","88","03:48","[OKC] Grant 3pt Shot: Missed","226","36","3","0","1","2","","1610612760","203924","23","15","","1610612760"
"61","89","03:48","[POR] Team Rebound","226","36","0","0","0","4","","1610612757","0","23","15","","1610612760"
"62","90","03:48","[OKC] Adams Foul: Loose Ball (1 PF) (R Mott)","6","778","0","0","3","6","203994","1610612760","203500","23","15","","1610612757"
"63","95","03:48","[POR] Vonleh Substitution replaced by Swanigan","0","-80","0","0","0","8","","1610612757","203943","23","15","1628403","1610612757"
"64","96","03:48","[POR] Nurkic Substitution replaced by Davis","0","-80","0","0","0","8","","1610612757","203994","23","15","202334","1610612757"
"65","97","03:48","[OKC] Adams Substitution replaced by Patterson","0","-80","0","0","0","8","","1610612760","203500","23","15","202335","1610612757"
"66","98","03:28","[POR] Turner Step Back Jump shot: Missed","-77","132","2","0","80","2","","1610612757","202323","23","15","","1610612757"
"67","99","03:24","[OKC] George Rebound (Off:0 Def:2)","-77","132","0","0","0","4","","1610612760","202331","23","15","","1610612757"
"68","100","03:21","[OKC 17-23] Westbrook Driving Layup Shot: Made (4 PTS) Assist: George (2 AST)","8","12","2","0","6","1","","1610612760","201566","23","17","202331","1610612760"
"69","101","03:20","[POR] Team Timeout : Regular","0","-80","0","0","1","9","","1610612757","1610612757","23","17","","1610612757"
"70","104","03:20","[OKC] Westbrook Substitution replaced by Felton","0","-80","0","0","0","8","","1610612760","201566","23","17","101109","1610612757"
"71","106","03:07","[OKC] Patterson Violation:Kicked Ball (T Maddox)","0","-80","0","0","5","7","","1610612760","202335","23","17","","1610612757"
"72","107","03:07","[POR] Swanigan Foul: Offensive (1 PF) (R Mott)","172","50","0","0","4","6","203924","1610612757","1628403","23","17","","1610612757"
"73","109","03:07","[POR] Swanigan Turnover : Offensive Foul Turnover (1 TO)","172","50","0","0","37","5","","1610612757","1628403","23","17","","1610612757"
"74","110","02:56","[OKC] Felton Driving Floating Jump Shot: Missed","-37","65","2","0","101","2","","1610612760","101109","23","17","","1610612760"
"75","111","02:53","[POR] Davis Rebound (Off:0 Def:1)","-37","65","0","0","0","4","","1610612757","202334","23","17","","1610612760"
"76","112","02:41","[POR] Davis Turnover : Lost Ball (1 TO) Steal:Patterson (1 ST)","18","12","1","0","2","5","202335","1610612757","202334","23","17","","1610612757"
"77","114","02:33","[OKC] Patterson 3pt Shot: Missed","125","225","3","0","1","2","","1610612760","202335","23","17","","1610612760"
"78","115","02:31","[POR] Swanigan Rebound (Off:0 Def:1)","125","225","0","0","0","4","","1610612757","1628403","23","17","","1610612760"
"79","116","02:15","[POR] Swanigan Jump Shot: Missed","70","216","2","0","1","2","","1610612757","1628403","23","17","","1610612757"
"80","117","02:15","[POR] Team Rebound","70","216","1","0","0","4","","1610612757","0","23","17","","1610612757"
