"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Chandler vs Gasol (Chriss gains possession)","0","-80","0","0","0","10","2200","1610612756","2199","0","0","1627737","1610612756"
"3","7","11:37","[PHX] Booker Turnover : Lost Ball (1 TO) Steal:Green (1 ST)","-77","166","1","0","2","5","201980","1610612756","1626164","0","0","","1610612756"
"4","9","11:16","[SAS] Gasol Jump Shot: Missed","152","103","2","0","1","2","","1610612759","2200","0","0","","1610612759"
"5","10","11:14","[PHX] Booker Rebound (Off:0 Def:1)","152","103","0","0","0","4","","1610612756","1626164","0","0","","1610612759"
"6","11","11:08","[PHX] Warren Pullup Jump shot: Missed","138","78","2","0","79","2","","1610612756","203933","0","0","","1610612756"
"7","12","11:05","[SAS] Mills Rebound (Off:0 Def:1)","138","78","0","0","0","4","","1610612759","201988","0","0","","1610612756"
"8","13","10:44","[SAS 2-0] Green Pullup Jump shot: Made (2 PTS) Assist: Gasol (1 AST)","155","78","2","0","79","1","","1610612759","201980","2","0","2200","1610612759"
"9","15","10:31","[PHX] James 3pt Shot: Missed","-93","250","3","0","1","2","","1610612756","1628455","2","0","","1610612756"
"10","16","10:28","[SAS] Anderson Rebound (Off:0 Def:1)","-93","250","0","0","0","4","","1610612759","203937","2","0","","1610612756"
"11","17","10:19","[SAS] Aldridge 3pt Shot: Missed","5","249","3","0","1","2","","1610612759","200746","2","0","","1610612759"
"12","18","10:19","[SAS] Team Rebound","5","249","1","0","0","4","","1610612759","0","2","0","","1610612759"
"13","97","10:19","[PHX] Warren Foul: Loose Ball (1 PF) (A Smith)","29","27","0","0","3","6","203937","1610612756","203933","2","0","","1610612759"
"14","20","10:14","[SAS 4-0] Mills Pullup Jump shot: Made (2 PTS) Assist: Anderson (1 AST)","20","92","2","0","79","1","","1610612759","201988","4","0","203937","1610612759"
"15","22","10:03","[PHX] James Driving Finger Roll Layup Shot: Missed","4","10","2","0","75","2","2200","1610612756","1628455","4","0","","1610612756"
"16","23","10:03","[SAS] Anderson Rebound (Off:0 Def:2)","4","10","0","0","0","4","","1610612759","203937","4","0","","1610612756"
"17","24","09:53","[SAS] Anderson Alley Oop Layup shot: Missed","12","0","2","0","43","2","","1610612759","203937","4","0","","1610612759"
"18","25","09:53","[PHX] Chandler Rebound (Off:0 Def:1)","12","0","0","0","0","4","","1610612756","2199","4","0","","1610612759"
"19","26","09:45","[PHX] Warren Driving Layup Shot: Missed","-36","-1","2","0","6","2","","1610612756","203933","4","0","","1610612756"
"20","27","09:45","[SAS] Mills Rebound (Off:0 Def:2)","-36","-1","0","0","0","4","","1610612759","201988","4","0","","1610612756"
"21","28","09:32","[SAS 6-0] Anderson Jump Shot: Made (2 PTS) Assist: Gasol (2 AST)","-2","17","2","0","1","1","","1610612759","203937","6","0","2200","1610612759"
"22","31","09:07","[PHX 2-6] Warren Pullup Jump shot: Made (2 PTS) Assist: Booker (1 AST)","-5","116","2","0","79","1","","1610612756","203933","6","2","1626164","1610612756"
"23","33","08:47","[SAS] Mills Reverse Layup Shot: Missed","18","12","2","0","44","2","","1610612759","201988","6","2","","1610612759"
"24","34","08:47","[PHX] Chandler Rebound (Off:0 Def:2)","18","12","0","0","0","4","","1610612756","2199","6","2","","1610612759"
"25","36","08:36","[PHX] Chriss 3pt Shot: Missed","184","161","3","0","1","2","","1610612756","1627737","6","2","","1610612756"
"26","37","08:36","[PHX] Team Rebound","184","161","1","0","0","4","","1610612756","0","6","2","","1610612756"
"27","38","08:36","[SAS] Anderson Foul: Loose Ball (1 PF) (A Smith)","-23","-9","0","0","3","6","2199","1610612759","203937","6","2","","1610612756"
"28","41","08:25","[PHX] Warren Pullup Jump shot: Missed","53","177","2","0","79","2","","1610612756","203933","6","2","","1610612756"
"29","43","08:25","[PHX 4-6] Chandler Putback Layup Shot: Made (2 PTS)","0","-5","2","0","72","1","","1610612756","2199","6","4","","1610612756"
"30","42","08:17","[PHX] Chandler Rebound (Off:1 Def:2)","53","177","1","0","0","4","","1610612756","2199","6","2","","1610612756"
"31","44","08:09","[SAS] Gasol Hook Shot: Missed","0","231","2","0","3","2","","1610612759","2200","6","4","","1610612759"
"32","45","08:09","[SAS] Aldridge Rebound (Off:1 Def:0)","0","231","1","0","0","4","","1610612759","200746","6","4","","1610612759"
"33","46","08:02","[SAS 8-4] Aldridge Putback Layup Shot: Made (2 PTS)","0","-5","2","0","72","1","","1610612759","200746","8","4","","1610612759"
"34","47","07:41","[PHX] Booker Driving Layup Shot: Missed","-93","4","2","0","6","2","","1610612756","1626164","8","4","","1610612756"
"35","48","07:41","[PHX] Chandler Rebound (Off:2 Def:2)","-93","4","1","0","0","4","","1610612756","2199","8","4","","1610612756"
"36","49","07:37","[PHX 6-8] Chandler Putback Layup Shot: Made (4 PTS)","0","-5","2","0","72","1","","1610612756","2199","8","6","","1610612756"
"37","50","07:22","[SAS 10-6] Aldridge Hook Shot: Made (4 PTS)","51","38","2","0","3","1","","1610612759","200746","10","6","","1610612759"
"38","51","07:06","[PHX 9-10] Booker 3pt Shot: Made (3 PTS) Assist: Chandler (1 AST)","-111","230","3","0","1","1","","1610612756","1626164","10","9","2199","1610612756"
"39","53","06:50","[PHX] Chandler Foul: Shooting (1 PF) (K Lane)","9","796","0","0","2","6","200746","1610612756","2199","10","9","","1610612759"
"40","55","06:50","[SAS] Team Timeout : Regular","0","-80","0","0","1","9","","1610612759","1610612759","10","9","","1610612759"
"41","57","06:50","[SAS 11-9] Aldridge Free Throw 2 of 2 (5 PTS)","0","-80","1","0","12","3","","1610612759","200746","11","9","","1610612759"
"42","56","06:50","[SAS 12-9] Aldridge Free Throw 1 of 2 (6 PTS)","0","-80","1","0","11","3","","1610612759","200746","12","9","","1610612759"
"43","58","06:34","[PHX 11-12] Chriss Jump Shot: Made (2 PTS) Assist: James (1 AST)","-5","100","2","0","1","1","","1610612756","1627737","12","11","1628455","1610612756"
"44","60","06:21","[PHX] James Foul: Personal (1 PF) (M Callahan)","104","188","0","0","1","6","200746","1610612756","1628455","12","11","","1610612759"
"45","62","06:15","[SAS 14-11] Mills Pullup Jump shot: Made (4 PTS) Assist: Anderson (2 AST)","126","159","2","0","79","1","","1610612759","201988","14","11","203937","1610612759"
"46","64","06:00","[PHX 13-14] Booker Pullup Jump shot: Made (5 PTS) Assist: Chandler (2 AST)","79","176","2","0","79","1","","1610612756","1626164","14","13","2199","1610612756"
"47","66","05:51","[SAS] Aldridge Turnover : 3 Second Violation (1 TO)","40","34","0","0","8","5","","1610612759","200746","14","13","","1610612759"
"48","68","05:51","[SAS] Gasol Substitution replaced by Gay","0","-80","0","0","0","8","","1610612759","2200","14","13","200752","1610612756"
"49","69","05:31","[PHX 15-14] James Driving Finger Roll Layup Shot: Made (2 PTS)","-6","63","2","0","75","1","","1610612756","1628455","14","15","","1610612756"
"50","70","05:05","[SAS] Aldridge Turnaround Jump Shot: Missed","6","141","2","0","47","2","","1610612759","200746","14","15","","1610612759"
"51","71","05:05","[PHX] Chriss Rebound (Off:0 Def:1)","6","141","0","0","0","4","","1610612756","1627737","14","15","","1610612759"
"52","72","04:58","[PHX] Chandler Alley Oop Layup shot: Missed","-34","8","2","0","43","2","","1610612756","2199","14","15","","1610612756"
"53","73","04:58","[PHX] Warren Rebound (Off:1 Def:0)","-34","8","1","0","0","4","","1610612756","203933","14","15","","1610612756"
"54","74","04:53","[PHX] Warren Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612756","203933","14","15","","1610612756"
"55","75","04:51","[SAS] Aldridge Rebound (Off:1 Def:1)","0","-5","0","0","0","4","","1610612759","200746","14","15","","1610612756"
"56","76","04:49","[SAS] Gay Turnaround Jump Shot: Missed","-14","4","2","0","47","2","","1610612759","200752","14","15","","1610612759"
"57","77","04:49","[SAS] Gay Rebound (Off:1 Def:0)","-14","4","1","0","0","4","","1610612759","200752","14","15","","1610612759"
"58","78","04:43","[SAS] Gay Putback Layup Shot: Missed","0","-5","2","0","72","2","1628455","1610612759","200752","14","15","","1610612759"
"59","80","04:42","[PHX] James Rebound (Off:0 Def:1)","0","-5","0","0","0","4","","1610612756","1628455","14","15","","1610612759"
"60","81","04:42","[PHX] Booker Turnover : Discontinue Dribble (2 TO)","140","263","0","0","7","5","","1610612756","1626164","14","15","","1610612756"
"61","84","04:42","[SAS] Green Substitution replaced by Forbes","0","-80","0","0","0","8","","1610612759","201980","14","15","1627854","1610612759"
