"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Chandler vs Mozgov (Chriss gains possession)","0","-80","0","0","0","10","202389","1610612756","2199","0","0","1627737","1610612756"
"3","7","11:33","[PHX] Chriss Fadeaway Jump Shot: Missed","-177","23","2","0","63","2","","1610612756","1627737","0","0","","1610612756"
"4","8","11:29","[BKN] Crabbe Rebound (Off:0 Def:1)","-177","23","0","0","0","4","","1610612751","203459","0","0","","1610612756"
"5","9","11:20","[BKN 3-0] Crabbe 3pt Shot: Made (3 PTS) Assist: Russell (1 AST)","-214","127","3","0","1","1","","1610612751","203459","0","3","1626156","1610612751"
"6","11","11:08","[PHX 3-3] James 3pt Shot: Made (3 PTS) Assist: Warren (1 AST)","-223","2","3","0","1","1","","1610612756","1628455","3","3","203933","1610612756"
"7","13","10:51","[BKN] Crabbe Jump Shot: Missed","-65","216","2","0","1","2","","1610612751","203459","3","3","","1610612751"
"8","14","10:49","[PHX] Chandler Rebound (Off:0 Def:1)","-65","216","0","0","0","4","","1610612756","2199","3","3","","1610612751"
"9","15","10:41","[BKN] Crabbe Foul: Shooting (1 PF) (3 FTA)","8","582","0","0","2","6","1626164","1610612751","203459","3","3","","1610612756"
"10","17","10:41","Instant Replay - Overturn Ruling","0","-80","0","0","1","18","","0","0","3","3","","1610612756"
"11","18","10:41","[PHX 4-3] Booker Free Throw 1 of 3 (1 PTS)","0","-80","1","0","13","3","","1610612756","1626164","4","3","","1610612756"
"12","19","10:41","[PHX 5-3] Booker Free Throw 2 of 3 (2 PTS)","0","-80","1","0","14","3","","1610612756","1626164","5","3","","1610612756"
"13","20","10:27","[BKN] Russell 3pt Shot: Missed","225","1","3","0","1","2","","1610612751","1626156","5","3","","1610612751"
"14","21","10:23","[BKN] Carroll Rebound (Off:1 Def:0)","225","1","1","0","0","4","","1610612751","201960","5","3","","1610612751"
"15","221","10:22","[BKN] Carroll Turnover : Lost Ball (1 TO) Steal:James (1 ST)","-104","15","1","0","2","5","1628455","1610612751","201960","5","3","","1610612751"
"16","22","10:13","[PHX] Chandler Turnover : Bad Pass (1 TO) Steal:Crabbe (1 ST)","-185","24","1","0","1","5","203459","1610612756","2199","5","3","","1610612756"
"17","24","09:58","[PHX] Warren Foul: Shooting Block (1 PF) (2 FTA)","-62","115","0","0","29","6","1626156","1610612756","203933","5","3","","1610612751"
"18","26","09:58","[BKN 4-5] Russell Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612751","1626156","5","4","","1610612751"
"19","27","09:58","[BKN 5-5] Russell Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612751","1626156","5","5","","1610612751"
"20","28","09:47","[PHX] Chriss Driving Layup Shot: Missed","37","48","2","0","6","2","","1610612756","1627737","5","5","","1610612756"
"21","29","09:45","[BKN] Hollis-Jefferson Rebound (Off:0 Def:1)","43","122","0","0","0","4","","1610612751","1626178","5","5","","1610612756"
"22","30","09:42","[BKN] Hollis-Jefferson Running Layup Shot: Missed","30","21","2","0","41","2","","1610612751","1626178","5","5","","1610612751"
"23","31","09:42","[PHX] Chriss Rebound (Off:0 Def:1)","30","21","0","0","0","4","","1610612756","1627737","5","5","","1610612751"
"24","32","09:33","[PHX 8-5] Booker 3pt Shot: Made (5 PTS)","2","250","3","0","79","1","","1610612756","1626164","8","5","","1610612756"
"25","33","09:12","[BKN] Crabbe 3pt Shot: Missed","54","245","3","0","1","2","","1610612751","203459","8","5","","1610612751"
"26","34","09:10","[PHX] Chandler Rebound (Off:0 Def:2)","54","245","0","0","0","4","","1610612756","2199","8","5","","1610612751"
"27","35","09:01","[PHX] James Driving Floating Bank Jump Shot: Missed","85","51","2","0","102","2","","1610612756","1628455","8","5","","1610612756"
"28","36","08:58","[BKN] Mozgov Rebound (Off:0 Def:1)","85","51","0","0","0","4","","1610612751","202389","8","5","","1610612756"
"29","37","08:49","[BKN 7-8] Russell Pullup Jump shot: Made (4 PTS)","21","106","2","0","79","1","","1610612751","1626156","8","7","","1610612751"
"30","38","08:31","[PHX] Warren Floating Jump shot: Missed","0","144","2","0","78","2","","1610612756","203933","8","7","","1610612756"
"31","39","08:30","[BKN] Team Rebound","0","144","0","0","0","4","","1610612751","0","8","7","","1610612756"
"32","40","08:22","[PHX] Booker Foul: Personal (1 PF)","-122","54","0","0","1","6","203459","1610612756","1626164","8","7","","1610612751"
"33","42","08:16","[BKN] Mozgov Turnover : Traveling (1 TO)","-88","98","0","0","4","5","","1610612751","202389","8","7","","1610612751"
"34","43","08:00","[PHX] Booker 3pt Shot: Missed","-112","218","3","0","79","2","","1610612756","1626164","8","7","","1610612756"
"35","44","07:57","[BKN] Crabbe Rebound (Off:0 Def:2)","-112","218","0","0","0","4","","1610612751","203459","8","7","","1610612756"
"36","45","07:54","[BKN] Carroll 3pt Shot: Missed","-79","240","3","0","103","2","","1610612751","201960","8","7","","1610612751"
"37","46","07:49","[PHX] James Rebound (Off:0 Def:1)","-79","240","0","0","0","4","","1610612756","1628455","8","7","","1610612751"
"38","47","07:46","[PHX 10-7] Booker Running Jump Shot: Made (7 PTS) Assist: James (1 AST)","-98","154","2","0","2","1","","1610612756","1626164","10","7","1628455","1610612756"
"39","49","07:45","[BKN] Team Timeout : Regular","0","-80","0","0","1","9","","1610612751","1610612751","10","7","","1610612751"
"40","51","07:45","[BKN] Carroll Substitution replaced by LeVert","0","-80","0","0","0","8","","1610612751","201960","10","7","1627747","1610612751"
"41","52","07:38","[BKN] Russell Pullup Jump shot: Missed","8","205","2","0","79","2","","1610612751","1626156","10","7","","1610612751"
"42","53","07:34","[PHX] Chriss Rebound (Off:0 Def:2)","8","205","0","0","0","4","","1610612756","1627737","10","7","","1610612751"
"43","54","07:19","[PHX] Warren Jump Shot: Missed","-2","178","2","0","1","2","","1610612756","203933","10","7","","1610612756"
"44","55","07:17","[BKN] Hollis-Jefferson Rebound (Off:0 Def:2)","-2","178","0","0","0","4","","1610612751","1626178","10","7","","1610612756"
