"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:55","Jump Ball Whiteside vs Pachulia (Winslow gains possession)","0","-80","0","0","0","10","2585","1610612748","202355","0","0","1626159","1610612748"
"3","7","11:48","[MIA] White 3pt Shot: Missed","-228","-18","3","0","1","2","","1610612748","1627855","0","0","","1610612748"
"4","8","11:44","[GSW] Pachulia Rebound (Off:0 Def:1)","-228","-18","0","0","0","4","","1610612744","2585","0","0","","1610612748"
"5","9","11:23","[GSW 3-0] Green 3pt Shot: Made (3 PTS) Assist: Durant (1 AST)","85","241","3","0","1","1","","1610612744","203110","3","0","201142","1610612744"
"6","11","11:02","[MIA] G Dragic Jump Shot: Missed","45","76","2","0","1","2","202691","1610612748","201609","3","0","","1610612748"
"7","13","11:02","[MIA] Team Rebound","45","76","1","0","0","4","","1610612748","0","3","0","","1610612748"
"8","14","11:02","[MIA] Richardson Turnover : Bad Pass (1 TO) Steal:Pachulia (1 ST)","103","264","1","0","1","5","2585","1610612748","1626196","3","0","","1610612748"
"9","16","10:43","[GSW 5-0] Durant Driving Floating Bank Jump Shot: Made (2 PTS)","101","47","2","0","102","1","","1610612744","201142","5","0","","1610612744"
"10","17","10:31","[GSW] Curry Foul: Personal (1 PF) (D Taylor)","229","0","0","0","1","6","1627855","1610612744","201939","5","0","","1610612748"
"11","19","10:20","[MIA] Whiteside Driving Reverse Layup Shot: Missed","14","13","2","0","73","2","","1610612748","202355","5","0","","1610612748"
"12","20","10:14","[GSW] Durant Rebound (Off:0 Def:1)","14","13","0","0","0","4","","1610612744","201142","5","0","","1610612748"
"13","21","10:11","[GSW] Curry Jump Shot: Missed","-112","111","2","0","1","2","","1610612744","201939","5","0","","1610612744"
"14","22","10:06","[MIA] White Rebound (Off:0 Def:1)","-112","111","0","0","0","4","","1610612748","1627855","5","0","","1610612744"
"15","23","10:00","[MIA] White 3pt Shot: Missed","-6","252","3","0","1","2","","1610612748","1627855","5","0","","1610612748"
"16","24","09:53","[GSW] Thompson Rebound (Off:0 Def:1)","-6","252","0","0","0","4","","1610612744","202691","5","0","","1610612748"
"17","25","09:49","[GSW] Green Jump Shot: Missed","22","99","2","0","1","2","","1610612744","203110","5","0","","1610612744"
"18","26","09:41","[MIA] Whiteside Rebound (Off:0 Def:1)","22","99","0","0","0","4","","1610612748","202355","5","0","","1610612744"
"19","27","09:40","[MIA 2-5] G Dragic Driving Layup Shot: Made (2 PTS)","0","17","2","0","6","1","","1610612748","201609","5","2","","1610612748"
"20","28","09:40","[GSW] Pachulia Foul: Shooting (1 PF) (1 FTA) (B Forte)","-6","21","0","0","2","6","201609","1610612744","2585","5","2","","1610612744"
"21","30","09:40","[MIA] G Dragic Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612748","201609","5","2","","1610612748"
"22","31","09:37","[MIA] G Dragic Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612748","201609","5","2","","1610612748"
"23","32","09:35","[MIA] G Dragic Turnover : Lost Ball (1 TO) Steal:Pachulia (2 ST)","-128","41","1","0","2","5","2585","1610612748","201609","5","2","","1610612748"
"24","34","09:28","[MIA] Richardson Foul: Personal (1 PF) (B Forte)","-112","114","0","0","1","6","201142","1610612748","1626196","5","2","","1610612744"
"25","36","09:26","[GSW] Thompson 3pt Shot: Missed","89","248","3","0","1","2","","1610612744","202691","5","2","","1610612744"
"26","37","09:20","[MIA] Winslow Rebound (Off:0 Def:1)","89","248","0","0","0","4","","1610612748","1626159","5","2","","1610612744"
"27","38","09:13","[MIA] Whiteside Turnover : Bad Pass (1 TO) Steal:Curry (1 ST)","-180","204","1","0","1","5","201939","1610612748","202355","5","2","","1610612748"
"28","40","09:08","[GSW] Pachulia Turnover : Traveling (1 TO)","-2","253","0","0","4","5","","1610612744","2585","5","2","","1610612744"
"29","41","08:50","[MIA] Whiteside Fadeaway Jump Shot: Missed","-93","38","2","0","63","2","","1610612748","202355","5","2","","1610612748"
"30","42","08:43","[GSW] Green Rebound (Off:0 Def:1)","-93","38","0","0","0","4","","1610612744","203110","5","2","","1610612748"
"31","43","08:40","[GSW 8-2] Green 3pt Shot: Made (6 PTS) Assist: Curry (1 AST)","120","236","3","1","1","1","","1610612744","203110","8","2","201939","1610612744"
"32","45","08:17","[MIA] Winslow Fadeaway Jump Shot: Missed","7","105","2","0","63","2","","1610612748","1626159","8","2","","1610612748"
"33","46","08:12","[GSW] Durant Rebound (Off:0 Def:2)","7","105","0","0","0","4","","1610612744","201142","8","2","","1610612748"
"34","47","08:11","[MIA] White Foul: Personal (1 PF) (D Taylor)","158","109","0","0","1","6","201142","1610612748","1627855","8","2","","1610612744"
"35","50","08:11","[MIA] White Substitution replaced by Johnson","0","-80","0","0","0","8","","1610612748","1627855","8","2","201949","1610612744"
"36","51","08:01","[GSW] Pachulia Hook Shot: Missed","-5","56","2","0","3","2","202355","1610612744","2585","8","2","","1610612744"
"37","53","07:56","[GSW] Green Rebound (Off:1 Def:1)","-5","56","1","0","0","4","","1610612744","203110","8","2","","1610612744"
"38","54","07:55","[GSW] Durant Pullup Jump shot: Missed","88","27","2","0","79","2","","1610612744","201142","8","2","","1610612744"
"39","55","07:51","[MIA] Whiteside Rebound (Off:0 Def:2)","-9","46","0","0","0","4","","1610612748","202355","8","2","","1610612744"
"40","56","07:36","[MIA] Johnson Jump Shot: Missed","0","113","2","0","1","2","202691","1610612748","201949","8","2","","1610612748"
"41","58","07:33","[GSW] Curry Rebound (Off:0 Def:1)","0","113","0","0","0","4","","1610612744","201939","8","2","","1610612748"
"42","75","07:31","[GSW] Curry Turnover : Bad Pass (1 TO) Steal:Johnson (1 ST)","13","810","1","0","1","5","201949","1610612744","201939","8","2","","1610612744"
"43","59","07:19","[MIA 4-8] Johnson Pullup Jump shot: Made (2 PTS)","-103","107","2","0","79","1","","1610612748","201949","8","4","","1610612748"
"44","60","07:09","[GSW] Curry 3pt Shot: Missed","-84","281","3","1","1","2","","1610612744","201939","8","4","","1610612744"
"45","61","07:06","[MIA] Whiteside Rebound (Off:0 Def:3)","-84","281","0","0","0","4","","1610612748","202355","8","4","","1610612744"
"46","62","06:48","[MIA] Winslow Fadeaway Jump Shot: Missed","133","47","2","0","63","2","","1610612748","1626159","8","4","","1610612748"
"47","63","06:42","[GSW] Green Rebound (Off:1 Def:2)","133","47","0","0","0","4","","1610612744","203110","8","4","","1610612748"
"48","64","06:40","[GSW] Thompson 3pt Shot: Missed","-193","183","3","1","1","2","","1610612744","202691","8","4","","1610612744"
"49","65","06:35","[MIA] Johnson Rebound (Off:0 Def:1)","-193","183","0","0","0","4","","1610612748","201949","8","4","","1610612744"
"50","66","06:27","[GSW] Durant Foul: Personal (1 PF) (D Taylor)","-118","50","0","0","1","6","201949","1610612744","201142","8","4","","1610612748"
"51","68","06:27","[GSW] Team Timeout : Regular","0","-80","0","0","1","9","","1610612744","1610612744","8","4","","1610612748"
"52","69","06:17","[MIA 6-8] Richardson Fadeaway Jump Shot: Made (2 PTS) Assist: Johnson (1 AST)","3","108","2","0","63","1","","1610612748","1626196","8","6","201949","1610612748"
"53","71","06:02","[GSW] Pachulia Turnover : Traveling (2 TO)","93","190","0","0","4","5","","1610612744","2585","8","6","","1610612744"
"54","72","05:48","[MIA] Whiteside Turnaround Hook Shot: Missed","104","40","2","0","58","2","","1610612748","202355","8","6","","1610612748"
"55","73","05:37","[GSW] Green Rebound (Off:1 Def:3)","104","40","0","0","0","4","","1610612744","203110","8","6","","1610612748"
"56","74","05:33","[GSW 10-6] Thompson Jump Shot: Made (2 PTS) Assist: Green (1 AST)","-90","172","2","0","1","1","","1610612744","202691","10","6","203110","1610612744"
"57","78","05:22","[MIA] G Dragic Jump Shot: Missed","-62","3","2","0","1","2","","1610612748","201609","10","6","","1610612748"
"58","79","05:21","[GSW] Team Rebound","-62","3","0","0","0","4","","1610612744","0","10","6","","1610612748"
"59","83","05:21","[GSW] Green Substitution replaced by McGee","0","-80","0","0","0","8","","1610612744","203110","10","6","201580","1610612744"
"60","84","05:21","[GSW] Pachulia Substitution replaced by Iguodala","0","-80","0","0","0","8","","1610612744","2585","10","6","2738","1610612744"
"61","85","05:21","[MIA] Richardson Substitution replaced by Johnson","0","-80","0","0","0","8","","1610612748","1626196","10","6","204020","1610612744"
"62","86","05:11","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","10","6","","1610612744"
"63","87","05:08","[GSW] Thompson Turnover : Lost Ball (1 TO) Steal:G Dragic (1 ST)","134","131","1","0","2","5","201609","1610612744","202691","10","6","","1610612744"
"64","89","05:03","[MIA 8-10] G Dragic Layup Shot: Made (4 PTS) Assist: Winslow (1 AST)","-10","20","2","1","5","1","","1610612748","201609","10","8","1626159","1610612748"
"65","91","04:52","[GSW] Curry Jump Shot: Missed","-7","79","2","0","1","2","","1610612744","201939","10","8","","1610612744"
"66","92","04:46","[GSW] McGee Rebound (Off:1 Def:0)","-7","79","1","0","0","4","","1610612744","201580","10","8","","1610612744"
"67","93","04:46","[GSW] McGee Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612744","201580","10","8","","1610612744"
"68","94","04:45","[GSW] McGee Rebound (Off:2 Def:0)","0","-5","1","0","0","4","","1610612744","201580","10","8","","1610612744"
"69","95","04:42","[GSW] Curry Jump Shot: Missed","-194","14","2","0","1","2","201949","1610612744","201939","10","8","","1610612744"
"70","97","04:38","[GSW] Iguodala Rebound (Off:1 Def:0)","-2","79","1","0","0","4","","1610612744","2738","10","8","","1610612744"
"71","98","04:37","[GSW] Durant 3pt Shot: Missed","-142","229","3","0","1","2","","1610612744","201142","10","8","","1610612744"
"72","99","04:34","[MIA] Johnson Rebound (Off:0 Def:2)","-142","229","0","0","0","4","","1610612748","201949","10","8","","1610612744"
"73","100","04:30","[MIA 10-10] Winslow Layup Shot: Made (2 PTS) Assist: Johnson (2 AST)","-10","20","2","0","5","1","","1610612748","1626159","10","10","201949","1610612748"
"74","102","04:16","[GSW] Durant 3pt Shot: Missed","156","211","3","0","79","2","","1610612744","201142","10","10","","1610612744"
"75","103","04:11","[MIA] Winslow Rebound (Off:0 Def:2)","156","211","0","0","0","4","","1610612748","1626159","10","10","","1610612744"
"76","104","03:55","[MIA] G Dragic Turnover : Bad Pass (2 TO) Steal:McGee (1 ST)","6","66","1","0","1","5","201580","1610612748","201609","10","10","","1610612748"
"77","106","03:52","[MIA] Johnson Foul: Shooting (1 PF) (2 FTA) (B Forte)","-96","17","0","0","2","6","201142","1610612748","201949","10","10","","1610612744"
"78","108","03:52","[GSW 11-10] Durant Free Throw 1 of 2 (3 PTS)","0","-80","1","1","11","3","","1610612744","201142","11","10","","1610612744"
"79","110","03:52","[GSW] Thompson Substitution replaced by Livingston","0","-80","0","0","0","8","","1610612744","202691","11","10","2733","1610612744"
"80","111","03:52","[GSW 12-10] Durant Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612744","201142","12","10","","1610612744"
"81","112","03:39","[MIA] Team Timeout : Regular","0","-80","0","0","1","9","","1610612748","1610612748","12","10","","1610612748"
"82","113","03:31","[GSW] Durant Foul: Shooting (2 PF) (2 FTA) (B Forte)","5","687","0","0","2","6","201949","1610612744","201142","12","10","","1610612748"
"83","115","03:31","[MIA 11-12] Johnson Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612748","201949","12","11","","1610612748"
"84","116","03:31","[MIA 12-12] Johnson Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612748","201949","12","12","","1610612748"
"85","117","03:20","[MIA] Johnson Foul: Shooting (1 PF) (2 FTA) (B Forte)","3","58","0","0","2","6","201939","1610612748","204020","12","12","","1610612744"
"86","119","03:20","Instant Replay - Overturn Ruling","0","-80","0","0","1","18","","0","0","12","12","","1610612744"
"87","120","03:20","[GSW] Curry Technical (1 FTA) (B Forte)","0","-80","0","0","11","6","","1610612744","201939","12","12","","1610612744"
"88","121","03:20","[MIA] Johnson Free Throw Technical Missed","0","-80","2","0","16","3","","1610612748","204020","12","12","","1610612744"
"89","122","03:20","[GSW] Team Rebound","0","-80","0","0","1","4","","1610612744","0","12","12","","1610612748"
"90","123","03:20","[GSW] Curry Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612744","201939","12","12","","1610612744"
"91","124","03:20","[GSW] Team Rebound","0","-80","1","0","1","4","","1610612744","0","12","12","","1610612744"
"92","126","03:20","[GSW] Durant Substitution replaced by Green","0","-80","0","0","0","8","","1610612744","201142","12","12","203110","1610612744"
"93","127","03:20","[GSW 13-12] Curry Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612744","201939","13","12","","1610612744"
"94","128","03:11","[MIA 15-13] Johnson 3pt Shot: Made (3 PTS) Assist: Johnson (3 AST)","197","150","3","0","1","1","","1610612748","204020","13","15","201949","1610612748"
"95","130","02:58","[MIA] G Dragic Foul: Personal (1 PF) (2 FTA) (M Ayotte)","-153","230","0","0","1","6","203110","1610612748","201609","13","15","","1610612744"
"96","132","02:58","[GSW 14-15] Green Free Throw 1 of 2 (7 PTS)","0","-80","1","0","11","3","","1610612744","203110","14","15","","1610612744"
"97","136","02:58","[MIA] G Dragic Substitution replaced by Olynyk","0","-80","0","0","0","8","","1610612748","201609","14","15","203482","1610612744"
"98","137","02:58","[MIA] Winslow Substitution replaced by Ellington","0","-80","0","0","0","8","","1610612748","1626159","14","15","201961","1610612744"
"99","138","02:58","[MIA] Whiteside Substitution replaced by Richardson","0","-80","0","0","0","8","","1610612748","202355","14","15","1626196","1610612744"
"100","139","02:58","[GSW 15-15] Green Free Throw 2 of 2 (8 PTS)","0","-80","1","0","12","3","","1610612744","203110","15","15","","1610612744"
"101","140","02:43","[GSW] Livingston Violation:Kicked Ball (B Forte)","0","-80","0","0","5","7","","1610612744","2733","15","15","","1610612748"
"102","141","02:30","[MIA 18-15] Johnson 3pt Shot: Made (7 PTS) Assist: Ellington (1 AST)","-144","209","3","0","1","1","","1610612748","201949","15","18","201961","1610612748"
"103","143","02:16","[GSW] McGee Layup Shot: Missed","-23","22","2","0","5","2","","1610612744","201580","15","18","","1610612744"
"104","144","02:10","[MIA] Olynyk Rebound (Off:0 Def:1)","-23","22","0","0","0","4","","1610612748","203482","15","18","","1610612744"
"105","145","02:10","[MIA 20-15] Olynyk Running Jump Shot: Made (2 PTS)","-25","117","2","0","2","1","","1610612748","203482","15","20","","1610612748"
"106","146","02:10","[GSW] McGee Foul: Shooting (1 PF) (1 FTA) (M Ayotte)","-25","117","0","0","2","6","203482","1610612744","201580","15","20","","1610612744"
"107","149","02:10","[GSW] McGee Substitution replaced by Bell","0","-80","0","0","0","8","","1610612744","201580","15","20","1628395","1610612744"
"108","150","02:10","[MIA 21-15] Olynyk Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612748","203482","15","21","","1610612748"
"109","151","02:00","[GSW] Curry Jump Bank Shot: Missed","-1","104","2","0","66","2","","1610612744","201939","15","21","","1610612744"
"110","152","01:55","[MIA] Ellington Rebound (Off:0 Def:1)","-1","104","0","0","0","4","","1610612748","201961","15","21","","1610612744"
"111","153","01:51","[MIA] Richardson Turnover : Step Out of Bounds Turnover (2 TO)","-234","30","0","0","39","5","","1610612748","1626196","15","21","","1610612748"
"112","154","01:33","[GSW 17-21] Bell Alley Oop Dunk Shot: Made (2 PTS) Assist: Iguodala (1 AST)","0","-1","2","0","52","1","","1610612744","1628395","17","21","2738","1610612744"
"113","156","01:27","[MIA] Johnson Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","46","252","0","0","45","5","","1610612748","201949","17","21","","1610612748"
"114","157","01:03","[GSW] Curry 3pt Shot: Missed","26","260","3","0","1","2","1626196","1610612744","201939","17","21","","1610612744"
"115","159","00:57.1","[MIA] Johnson Rebound (Off:0 Def:3)","26","260","0","0","0","4","","1610612748","201949","17","21","","1610612744"
"116","160","00:55.0","[MIA] Ellington 3pt Shot: Missed","-9","255","3","1","1","2","","1610612748","201961","17","21","","1610612748"
"117","161","00:50.9","[GSW] Curry Rebound (Off:0 Def:2)","-9","255","0","0","0","4","","1610612744","201939","17","21","","1610612748"
"118","162","00:47.2","[GSW] Green 3pt Shot: Missed","-16","268","3","0","1","2","","1610612744","203110","17","21","","1610612744"
"119","163","00:41.4","[MIA] Olynyk Rebound (Off:0 Def:2)","-16","268","0","0","0","4","","1610612748","203482","17","21","","1610612744"
"120","164","00:41.4","[MIA] Olynyk Turnover : Step Out of Bounds Turnover (1 TO)","198","348","0","0","39","5","","1610612748","203482","17","21","","1610612748"
"121","165","00:31.7","[GSW] Livingston Jump Shot: Missed","35","150","2","0","1","2","","1610612744","2733","17","21","","1610612744"
"122","166","00:30.3","[GSW] Livingston Rebound (Off:1 Def:0)","31","129","1","0","0","4","","1610612744","2733","17","21","","1610612744"
"123","167","00:30.3","[GSW 19-21] Livingston Putback Layup Shot: Made (2 PTS)","0","-5","2","0","72","1","","1610612744","2733","19","21","","1610612744"
