"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:55","Jump Ball Howard vs Porzingis (Williams gains possession)","0","-80","0","0","0","10","204001","1610612766","2730","0","0","101107","1610612766"
"3","7","11:44","[NYK] Jack Foul: Shooting (1 PF) (2 FTA)","0","-80","0","0","2","6","101107","1610612752","101127","0","0","","1610612766"
"4","9","11:44","[CHA 1-0] Williams Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612766","101107","0","1","","1610612766"
"5","10","11:44","[CHA 2-0] Williams Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612766","101107","0","2","","1610612766"
"6","11","11:32","[CHA] Bacon Foul: Personal (1 PF)","-50","100","0","0","1","6","203501","1610612766","1628407","0","2","","1610612752"
"7","13","11:19","[NYK] Lee Jump Shot: Missed","-166","15","2","0","1","2","","1610612752","201584","0","2","","1610612752"
"8","14","11:12","[NYK] Kanter Rebound (Off:1 Def:0)","-166","15","1","0","0","4","","1610612752","202683","0","2","","1610612752"
"9","15","11:12","[NYK 2-2] Kanter Putback Layup Shot: Made (2 PTS)","0","-5","2","0","72","1","","1610612752","202683","2","2","","1610612752"
"10","16","10:58","[CHA 5-2] Williams 3pt Shot: Made (5 PTS) Assist: Lamb (1 AST)","-33","266","3","0","1","1","","1610612766","101107","2","5","203087","1610612766"
"11","18","10:43","[CHA] Walker Foul: Shooting (1 PF) (2 FTA)","-33","770","0","0","2","6","203501","1610612766","202689","2","5","","1610612752"
"12","20","10:43","[NYK] Hardaway Jr. Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612752","203501","2","5","","1610612752"
"13","21","10:43","[NYK] Team Rebound","0","-80","1","0","1","4","","1610612752","0","2","5","","1610612752"
"14","22","10:43","[NYK] Hardaway Jr. Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612752","203501","2","5","","1610612752"
"15","23","10:41","[CHA] Bacon Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612766","1628407","2","5","","1610612752"
"16","24","10:30","[CHA] Lamb Driving Floating Jump Shot: Missed","1","47","2","0","101","2","","1610612766","203087","2","5","","1610612766"
"17","25","10:28","[CHA] Howard Rebound (Off:1 Def:0)","1","47","1","0","0","4","","1610612766","2730","2","5","","1610612766"
"18","26","10:26","[CHA 7-2] Howard Layup Shot: Made (2 PTS)","-3","23","2","0","5","1","","1610612766","2730","2","7","","1610612766"
"19","27","10:16","[NYK 4-7] Porzingis Jump Shot: Made (2 PTS)","-81","120","2","0","1","1","","1610612752","204001","4","7","","1610612752"
"20","28","09:58","[NYK] Hardaway Jr. Foul: Personal (1 PF)","-207","-11","0","0","1","6","203087","1610612752","203501","4","7","","1610612766"
"21","30","09:54","[CHA] Walker 3pt Shot: Missed","-127","225","3","0","79","2","","1610612766","202689","4","7","","1610612766"
"22","31","09:50","[NYK] Lee Rebound (Off:0 Def:1)","-127","225","0","0","0","4","","1610612752","201584","4","7","","1610612766"
"23","32","09:44","[NYK 7-7] Porzingis 3pt Shot: Made (5 PTS) Assist: Lee (1 AST)","81","240","3","0","1","1","","1610612752","204001","7","7","201584","1610612752"
"24","34","09:28","[CHA 10-7] Lamb 3pt Shot: Made (3 PTS) Assist: Walker (1 AST)","-79","243","3","0","1","1","","1610612766","203087","7","10","202689","1610612766"
"25","36","09:18","[CHA] Bacon Foul: Personal (2 PF)","-224","77","0","0","1","6","203501","1610612766","1628407","7","10","","1610612752"
"26","38","09:13","[NYK] Porzingis 3pt Shot: Missed","-107","231","3","0","1","2","","1610612752","204001","7","10","","1610612752"
"27","39","09:09","[NYK] Kanter Rebound (Off:2 Def:0)","-107","231","1","0","0","4","","1610612752","202683","7","10","","1610612752"
"28","40","09:08","[NYK 9-10] Kanter Layup Shot: Made (4 PTS)","-7","15","2","0","5","1","","1610612752","202683","9","10","","1610612752"
"29","41","08:56","[NYK] Porzingis Foul: Shooting (1 PF) (2 FTA)","-8","812","0","0","2","6","2730","1610612752","204001","9","10","","1610612766"
"30","43","08:56","[CHA 11-9] Howard Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612766","2730","9","11","","1610612766"
"31","45","08:56","[CHA] Bacon Substitution replaced by Graham","0","-80","0","0","0","8","","1610612766","1628407","9","11","1626203","1610612766"
"32","46","08:56","[CHA 12-9] Howard Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612766","2730","9","12","","1610612766"
"33","47","08:44","[NYK] Hardaway Jr. Jump Shot: Missed","85","208","2","0","1","2","","1610612752","203501","9","12","","1610612752"
"34","48","08:40","[CHA] Walker Rebound (Off:0 Def:1)","85","208","0","0","0","4","","1610612766","202689","9","12","","1610612752"
"35","49","08:25","[CHA 14-9] Williams Layup Shot: Made (7 PTS) Assist: Lamb (2 AST)","5","7","2","0","5","1","","1610612766","101107","9","14","203087","1610612766"
"36","51","08:16","[NYK] Porzingis Turnover : Lost Ball (1 TO) Steal:Walker (1 ST)","128","152","1","0","2","5","202689","1610612752","204001","9","14","","1610612752"
"37","53","08:16","[CHA] Walker Turnover : Step Out of Bounds Turnover (1 TO)","-233","396","0","0","39","5","","1610612766","202689","9","14","","1610612766"
"38","54","08:02","[NYK 12-14] Hardaway Jr. 3pt Shot: Made (3 PTS) Assist: Lee (2 AST)","138","222","3","0","1","1","","1610612752","203501","12","14","201584","1610612752"
"39","56","07:44","[CHA 16-12] Howard Driving Layup Shot: Made (6 PTS)","7","20","2","0","6","1","","1610612766","2730","12","16","","1610612766"
"40","57","07:44","[NYK] Kanter Foul: Shooting (1 PF) (1 FTA)","7","20","0","0","2","6","2730","1610612752","202683","12","16","","1610612752"
"41","59","07:44","[CHA 17-12] Howard Free Throw 1 of 1 (7 PTS)","0","-80","1","0","10","3","","1610612766","2730","12","17","","1610612766"
"42","60","07:23","[NYK] Lee Jump Shot: Missed","100","203","2","0","1","2","","1610612752","201584","12","17","","1610612752"
"43","61","07:20","[CHA] Graham Rebound (Off:0 Def:1)","100","203","0","0","0","4","","1610612766","1626203","12","17","","1610612752"
"44","62","07:11","[CHA] Howard Jump Bank Shot: Missed","-101","89","2","0","66","2","","1610612766","2730","12","17","","1610612766"
"45","63","07:09","[NYK] Porzingis Rebound (Off:0 Def:1)","-101","89","0","0","0","4","","1610612752","204001","12","17","","1610612766"
"46","64","07:03","[CHA] Williams Foul: Loose Ball (1 PF)","177","171","0","0","3","6","204001","1610612766","101107","12","17","","1610612752"
"47","66","06:59","[NYK 15-17] Porzingis 3pt Shot: Made (8 PTS) Assist: Jack (1 AST)","139","214","3","0","1","1","","1610612752","204001","15","17","101127","1610612752"
"48","68","06:39","[CHA] Walker Turnover : Bad Pass (2 TO) Steal:Hardaway Jr. (1 ST)","36","25","1","0","1","5","203501","1610612766","202689","15","17","","1610612766"
"49","70","06:33","[NYK] Jack 3pt Shot: Missed","-192","168","3","0","1","2","","1610612752","101127","15","17","","1610612752"
"50","71","06:28","[CHA] Williams Rebound (Off:0 Def:1)","-192","168","0","0","0","4","","1610612766","101107","15","17","","1610612752"
"51","72","06:25","[CHA 19-15] Howard Alley Oop Dunk Shot: Made (9 PTS) Assist: Lamb (3 AST)","-4","14","2","0","52","1","","1610612766","2730","15","19","203087","1610612766"
"52","74","06:14","[NYK 18-19] Porzingis 3pt Shot: Made (11 PTS) Assist: Lee (3 AST)","-84","258","3","0","1","1","","1610612752","204001","18","19","201584","1610612752"
"53","76","05:58","[CHA] Walker 3pt Shot: Missed","81","243","3","0","78","2","","1610612766","202689","18","19","","1610612766"
"54","77","05:56","[NYK] Hardaway Jr. Rebound (Off:0 Def:1)","81","243","0","0","0","4","","1610612752","203501","18","19","","1610612766"
"55","78","05:51","[NYK 20-19] Porzingis Alley Oop Dunk Shot: Made (13 PTS) Assist: Jack (2 AST)","8","8","2","0","52","1","","1610612752","204001","20","19","101127","1610612752"
"56","80","05:43","[CHA] Team Timeout : Regular","0","-80","0","0","1","9","","1610612766","1610612766","20","19","","1610612766"
"57","82","05:43","[CHA] Lamb Substitution replaced by Carter-Williams","0","-80","0","0","0","8","","1610612766","203087","20","19","203487","1610612766"
"58","83","05:35","[CHA 21-20] Howard Alley Oop Dunk Shot: Made (11 PTS) Assist: Walker (2 AST)","5","9","2","0","52","1","","1610612766","2730","20","21","202689","1610612766"
"59","85","05:14","[NYK 22-21] Kanter Jump Shot: Made (6 PTS) Assist: Lee (4 AST)","-134","135","2","0","1","1","","1610612752","202683","22","21","201584","1610612752"
"60","87","05:01","[CHA 24-22] Walker 3pt Shot: Made (3 PTS) Assist: Williams (1 AST)","-103","231","3","0","1","1","","1610612766","202689","22","24","101107","1610612766"
"61","91","04:48","[CHA] Graham Foul: Personal (1 PF) (2 FTA)","-82","106","0","0","1","6","204001","1610612766","1626203","22","24","","1610612752"
"62","97","04:48","[NYK] Jack Substitution replaced by McDermott","0","-80","0","0","0","8","","1610612752","101127","22","24","203926","1610612752"
"63","98","04:48","[NYK] Lee Substitution replaced by Ntilikina","0","-80","0","0","0","8","","1610612752","201584","22","24","1628373","1610612752"
"64","99","04:48","[CHA] Williams Substitution replaced by Kaminsky","0","-80","0","0","0","8","","1610612766","101107","22","24","1626163","1610612752"
"65","93","04:48","[NYK 23-24] Porzingis Free Throw 1 of 2 (14 PTS)","0","-80","1","0","11","3","","1610612752","204001","23","24","","1610612752"
"66","100","04:48","[NYK 24-24] Porzingis Free Throw 2 of 2 (15 PTS)","0","-80","1","0","12","3","","1610612752","204001","24","24","","1610612752"
"67","101","04:28","[CHA 26-24] Walker Jump Shot: Made (5 PTS)","-166","54","2","0","1","1","","1610612766","202689","24","26","","1610612766"
"68","102","04:14","[NYK] Porzingis Turnover : Traveling (2 TO)","-16","266","0","0","4","5","","1610612752","204001","24","26","","1610612752"
"69","103","04:04","[CHA 29-24] Kaminsky 3pt Shot: Made (3 PTS) Assist: Walker (3 AST)","-55","247","3","0","1","1","","1610612766","1626163","24","29","202689","1610612766"
