"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:55","Jump Ball Lopez vs Valanciunas (Grant gains possession)","0","-80","0","0","0","10","202685","1610612741","201577","0","0","1626170","1610612741"
"3","7","11:45","[CHI] Markkanen 3pt Shot: Missed","231","60","3","0","1","2","","1610612741","1628374","0","0","","1610612741"
"4","8","11:43","[TOR] Lowry Rebound (Off:0 Def:1)","231","60","0","0","0","4","","1610612761","200768","0","0","","1610612741"
"5","9","11:38","[TOR 2-0] Lowry Running Layup Shot: Made (2 PTS)","-12","1","2","1","41","1","","1610612761","200768","2","0","","1610612761"
"6","10","11:25","[CHI] Grant Driving Layup Shot: Missed","-14","7","2","0","6","2","","1610612741","1626170","2","0","","1610612741"
"7","11","11:23","[TOR] Ibaka Rebound (Off:0 Def:1)","-14","7","0","0","0","4","","1610612761","201586","2","0","","1610612741"
"8","12","11:12","[TOR 4-0] Valanciunas Turnaround Fadeaway shot: Made (2 PTS)","-101","11","2","0","86","1","","1610612761","202685","4","0","","1610612761"
"9","13","10:54","[CHI] Grant Pullup Jump shot: Missed","-15","150","2","0","79","2","","1610612741","1626170","4","0","","1610612741"
"10","14","10:51","[TOR] Valanciunas Rebound (Off:0 Def:1)","-15","150","0","0","0","4","","1610612761","202685","4","0","","1610612741"
"11","15","10:44","[TOR] Valanciunas Turnaround Fadeaway shot: Missed","-45","75","2","0","86","2","","1610612761","202685","4","0","","1610612761"
"12","16","10:41","[CHI] Markkanen Rebound (Off:0 Def:1)","-45","75","0","0","0","4","","1610612741","1628374","4","0","","1610612761"
"13","17","10:22","[CHI 3-4] Markkanen 3pt Shot: Made (3 PTS) Assist: Holiday (1 AST)","11","244","3","0","1","1","","1610612741","1628374","4","3","203200","1610612741"
"14","19","10:02","[TOR] Lowry 3pt Shot: Missed","-20","257","3","0","1","2","","1610612761","200768","4","3","","1610612761"
"15","20","10:00","[CHI] Holiday Rebound (Off:0 Def:1)","-20","257","0","0","0","4","","1610612741","203200","4","3","","1610612761"
"16","21","09:41","[CHI] Holiday Driving Floating Jump Shot: Missed","-90","3","2","0","101","2","","1610612741","203200","4","3","","1610612741"
"17","22","09:38","[TOR] Valanciunas Rebound (Off:0 Def:2)","-90","3","0","0","0","4","","1610612761","202685","4","3","","1610612741"
"18","23","09:34","[TOR] Ibaka 3pt Shot: Missed","-170","216","3","0","1","2","","1610612761","201586","4","3","","1610612761"
"19","24","09:31","[CHI] Zipser Rebound (Off:0 Def:1)","-170","216","0","0","0","4","","1610612741","1627835","4","3","","1610612761"
"20","25","09:20","[CHI] Holiday Pullup Jump shot: Missed","23","129","2","0","79","2","","1610612741","203200","4","3","","1610612741"
"21","26","09:18","[TOR] Valanciunas Rebound (Off:0 Def:3)","23","129","0","0","0","4","","1610612761","202685","4","3","","1610612741"
"22","28","09:07","[CHI] Markkanen Foul: Shooting (1 PF) (2 FTA)","-25","838","0","0","2","6","202685","1610612741","1628374","4","3","","1610612761"
"23","30","09:07","[TOR 5-3] Valanciunas Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612761","202685","5","3","","1610612761"
"24","31","09:07","[TOR 6-3] Valanciunas Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612761","202685","6","3","","1610612761"
"25","32","08:56","[CHI 5-6] Lopez Cutting Dunk Shot: Made (2 PTS) Assist: Holiday (2 AST)","-2","2","2","0","108","1","","1610612741","201577","6","5","203200","1610612741"
"26","34","08:35","[TOR 8-5] DeRozan Turnaround Fadeaway shot: Made (2 PTS)","-138","21","2","0","86","1","","1610612761","201942","8","5","","1610612761"
"27","35","08:21","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","8","5","","1610612741"
"28","36","08:19","[CHI] Holiday Floating Jump shot: Missed","126","29","2","0","78","2","","1610612741","203200","8","5","","1610612741"
"29","37","08:15","[TOR] Ibaka Rebound (Off:0 Def:2)","126","29","0","0","0","4","","1610612761","201586","8","5","","1610612741"
"30","38","08:03","[TOR] Powell Driving Layup Shot: Missed","-16","12","2","0","6","2","","1610612761","1626181","8","5","","1610612761"
"31","39","08:01","[CHI] Markkanen Rebound (Off:0 Def:2)","-16","12","0","0","0","4","","1610612741","1628374","8","5","","1610612761"
"32","40","07:46","[CHI 8-8] Markkanen 3pt Shot: Made (6 PTS) Assist: Holiday (3 AST)","-46","265","3","0","1","1","","1610612741","1628374","8","8","203200","1610612741"
"33","42","07:30","[TOR 10-8] DeRozan Driving Floating Bank Jump Shot: Made (4 PTS) Assist: Lowry (1 AST)","97","30","2","0","102","1","","1610612761","201942","10","8","200768","1610612761"
"34","44","07:13","[CHI] Markkanen Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-47","25","0","0","45","5","","1610612741","1628374","10","8","","1610612741"
"35","45","06:58","[TOR] DeRozan Turnover : Bad Pass (1 TO) Steal:Lopez (1 ST)","74","21","1","0","1","5","201577","1610612761","201942","10","8","","1610612761"
"36","47","06:47","[CHI] Markkanen 3pt Shot: Missed","-74","246","3","0","1","2","","1610612741","1628374","10","8","","1610612741"
"37","48","06:44","[TOR] Lowry Rebound (Off:0 Def:2)","-74","246","0","0","0","4","","1610612761","200768","10","8","","1610612741"
"38","49","06:34","[TOR] Ibaka Driving Layup Shot: Missed","38","9","2","0","6","2","1628374","1610612761","201586","10","8","","1610612761"
"39","51","06:32","[CHI] Grant Rebound (Off:0 Def:1)","38","9","0","0","0","4","","1610612741","1626170","10","8","","1610612761"
"40","52","06:27","[CHI] Grant Running Layup Shot: Missed","24","4","2","0","41","2","","1610612741","1626170","10","8","","1610612741"
"41","53","06:26","[CHI] Grant Rebound (Off:1 Def:1)","24","4","1","0","0","4","","1610612741","1626170","10","8","","1610612741"
"42","54","06:26","[TOR] Ibaka Foul: Shooting (1 PF) (2 FTA)","30","10","0","0","2","6","1626170","1610612761","201586","10","8","","1610612741"
"43","56","06:26","[TOR] Team Timeout : Regular","0","-80","0","0","1","9","","1610612761","1610612761","10","8","","1610612741"
"44","57","06:26","[CHI 9-10] Grant Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612741","1626170","10","9","","1610612741"
"45","58","06:26","[CHI 10-10] Grant Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612741","1626170","10","10","","1610612741"
"46","59","06:14","[TOR 12-10] Valanciunas Cutting Dunk Shot: Made (6 PTS) Assist: DeRozan (1 AST)","5","20","2","0","108","1","","1610612761","202685","12","10","201942","1610612761"
"47","61","06:14","[CHI] Markkanen Foul: Shooting (2 PF) (1 FTA)","5","20","0","0","2","6","202685","1610612741","1628374","12","10","","1610612741"
"48","64","06:14","[CHI] Markkanen Substitution replaced by Portis","0","-80","0","0","0","8","","1610612741","1628374","12","10","1626171","1610612741"
"49","65","06:14","[TOR] Valanciunas Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612761","202685","12","10","","1610612761"
"50","66","06:12","[CHI] Zipser Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612741","1627835","12","10","","1610612761"
"51","67","06:02","[CHI 12-12] Lopez Jump Shot: Made (4 PTS) Assist: Grant (1 AST)","0","214","2","0","1","1","","1610612741","201577","12","12","1626170","1610612741"
"52","69","05:45","[TOR] DeRozan Driving Floating Jump Shot: Missed","-43","11","2","0","101","2","","1610612761","201942","12","12","","1610612761"
"53","70","05:42","[TOR] Valanciunas Rebound (Off:1 Def:3)","-43","11","1","0","0","4","","1610612761","202685","12","12","","1610612761"
"54","71","05:41","[TOR 14-12] Valanciunas Putback Layup Shot: Made (8 PTS)","-2","12","2","0","72","1","","1610612761","202685","14","12","","1610612761"
"55","72","05:22","[CHI 14-14] Lopez Pullup Jump shot: Made (6 PTS)","-124","104","2","0","79","1","","1610612741","201577","14","14","","1610612741"
"56","73","05:10","[TOR 16-14] Lowry Driving Floating Bank Jump Shot: Made (4 PTS)","38","33","2","0","102","1","","1610612761","200768","16","14","","1610612761"
