"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:58","Jump Ball Gasol vs Nurkic (Martin gains possession)","0","-80","0","0","0","10","203994","1610612763","201188","0","0","1626185","1610612763"
"3","7","11:37","[MEM] Gasol Jump Shot: Missed","77","175","2","0","1","2","","1610612763","201188","0","0","","1610612763"
"4","8","11:34","[POR] Vonleh Rebound (Off:0 Def:1)","77","175","0","0","0","4","","1610612757","203943","0","0","","1610612763"
"5","9","11:20","[POR] Nurkic Driving Hook Shot: Missed","22","11","2","0","57","2","","1610612757","203994","0","0","","1610612757"
"6","10","11:18","[POR] Vonleh Rebound (Off:1 Def:1)","22","11","1","0","0","4","","1610612757","203943","0","0","","1610612757"
"7","11","11:17","[POR 2-0] Vonleh Layup Shot: Made (2 PTS)","-14","-11","2","0","5","1","","1610612757","203943","2","0","","1610612757"
"8","12","11:08","[POR] Lillard Foul: Personal (1 PF)","-4","220","0","0","1","6","203516","1610612757","203081","2","0","","1610612763"
"9","14","10:53","[POR] Nurkic Foul: Shooting (1 PF) (2 FTA)","2","744","0","0","2","6","201188","1610612757","203994","2","0","","1610612763"
"10","16","10:53","[MEM 1-2] Gasol Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612763","201188","2","1","","1610612763"
"11","17","10:53","[MEM 2-2] Gasol Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612763","201188","2","2","","1610612763"
"12","18","10:38","[POR] Nurkic Turnover : Bad Pass (1 TO) Steal:Brooks (1 ST)","-79","164","1","0","1","5","1628415","1610612757","203994","2","2","","1610612757"
"13","20","10:36","[POR] Nurkic Foul: Shooting (2 PF) (2 FTA)","-7","840","0","0","2","6","203516","1610612757","203994","2","2","","1610612763"
"14","22","10:36","[MEM] Ennis III Free Throw 1 of 2 Missed","0","-80","2","1","11","3","","1610612763","203516","2","2","","1610612763"
"15","23","10:36","[MEM] Team Rebound","0","-80","1","0","1","4","","1610612763","0","2","2","","1610612763"
"16","25","10:36","[POR] Nurkic Substitution replaced by Davis","0","-80","0","0","0","8","","1610612757","203994","2","2","202334","1610612763"
"17","26","10:36","[MEM 3-2] Ennis III Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612763","203516","2","3","","1610612763"
"18","27","10:20","[POR] McCollum 3pt Shot: Missed","-88","234","3","0","80","2","","1610612757","203468","2","3","","1610612757"
"19","28","10:16","[MEM] Ennis III Rebound (Off:0 Def:1)","-88","234","0","0","0","4","","1610612763","203516","2","3","","1610612757"
"20","29","10:11","[MEM] Brooks 3pt Shot: Missed","231","10","3","0","1","2","","1610612763","1628415","2","3","","1610612763"
"21","30","10:08","[POR] Lillard Rebound (Off:0 Def:1)","231","10","0","0","0","4","","1610612757","203081","2","3","","1610612763"
"22","31","09:58","[POR] Lillard Driving Layup Shot: Missed","-11","3","2","0","6","2","","1610612757","203081","2","3","","1610612757"
"23","32","09:57","[MEM] Martin Rebound (Off:0 Def:1)","-11","3","0","0","0","4","","1610612763","1626185","2","3","","1610612757"
"24","33","09:48","[MEM] Conley 3pt Shot: Missed","132","215","3","0","79","2","","1610612763","201144","2","3","","1610612763"
"25","34","09:45","[POR] Vonleh Rebound (Off:1 Def:2)","132","215","0","0","0","4","","1610612757","203943","2","3","","1610612763"
"26","38","09:27","[POR] Davis Driving Layup Shot: Missed","18","20","2","0","6","2","1626185","1610612757","202334","2","3","","1610612757"
"27","40","09:27","[POR] Team Rebound","18","20","1","0","0","4","","1610612757","0","2","3","","1610612757"
"28","41","09:22","[POR] Vonleh Turnaround Hook Shot: Missed","-72","45","2","0","58","2","","1610612757","203943","2","3","","1610612757"
"29","45","09:20","[POR] Davis Layup Shot: Missed","-39","0","2","0","5","2","203516","1610612757","202334","2","3","","1610612757"
