"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Henson vs James (Antetokounmpo gains possession)","0","-80","0","0","0","10","2544","1610612749","203089","0","0","203507","1610612749"
"3","7","11:46","[MIL 2-0] Antetokounmpo Driving Dunk Shot: Made (2 PTS)","-9","4","2","0","9","1","","1610612749","203507","0","2","","1610612749"
"4","8","11:34","[CLE 2-2] Love Cutting Layup Shot: Made (2 PTS) Assist: James (1 AST)","-3","69","2","0","98","1","","1610612739","201567","2","2","2544","1610612739"
"5","10","11:34","[MIL] Henson Violation:Defensive Goaltending (S Twardoski)","0","-80","0","0","2","7","","1610612749","203089","2","2","","1610612749"
"6","11","11:21","[MIL] Antetokounmpo Turnover : Lost Ball (1 TO) Steal:James (1 ST)","104","209","1","0","2","5","2544","1610612749","203507","2","2","","1610612749"
"7","13","11:20","[MIL] Brogdon Foul: Shooting (1 PF) (2 FTA) (M Callahan)","-7","35","0","0","2","6","2544","1610612749","1627763","2","2","","1610612739"
"8","15","11:20","[CLE 3-2] James Free Throw 1 of 1 (1 PTS)","0","-80","1","1","10","3","","1610612739","2544","3","2","","1610612739"
"9","16","11:20","[CLE 4-2] James Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612739","2544","4","2","","1610612739"
"10","17","11:13","[MIL] Henson Foul: Offensive Charge (1 PF)","-85","204","0","0","26","6","201567","1610612749","203089","4","2","","1610612749"
"11","19","11:13","[MIL] Henson Turnover : Offensive Foul Turnover (1 TO)","-85","204","0","0","37","5","","1610612749","203089","4","2","","1610612749"
"12","20","11:08","[MIL] Antetokounmpo Foul: Personal (1 PF) (G Zielinski)","6","26","0","0","1","6","2544","1610612749","203507","4","2","","1610612739"
"13","22","11:08","[MIL] Antetokounmpo Turnover : No Turnover (2 TO)","6","26","0","0","0","5","","1610612749","203507","4","2","","1610612749"
"14","23","11:02","[CLE 6-2] Smith Pullup Jump shot: Made (2 PTS)","105","150","2","0","79","1","","1610612739","2747","6","2","","1610612739"
"15","24","10:49","[MIL] Henson Turnover : Traveling (2 TO)","-73","61","0","0","4","5","","1610612749","203089","6","2","","1610612749"
"16","25","10:39","[CLE 9-2] Smith 3pt Shot: Made (5 PTS) Assist: Crowder (1 AST)","-237","74","3","0","1","1","","1610612739","2747","9","2","203109","1610612739"
"17","27","10:21","[MIL] Middleton 3pt Shot: Missed","55","235","3","0","1","2","","1610612749","203114","9","2","","1610612749"
