"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Adams vs Cauley-Stein (Westbrook gains possession)","0","-80","0","0","0","10","1626161","1610612760","203500","0","0","201566","1610612760"
"3","7","11:43","[OKC] Anthony 3pt Shot: Missed","-181","169","3","0","1","2","","1610612760","2546","0","0","","1610612760"
"4","8","11:39","[SAC] Cauley-Stein Rebound (Off:0 Def:1)","-181","169","0","0","0","4","","1610612758","1626161","0","0","","1610612760"
"5","9","11:25","[SAC] Bogdanovic Pullup Jump shot: Missed","-8","182","2","0","79","2","203460","1610612758","203992","0","0","","1610612758"
"6","11","11:20","[OKC] Westbrook Rebound (Off:0 Def:1)","-8","182","0","0","0","4","","1610612760","201566","0","0","","1610612758"
"7","12","11:16","[OKC 2-0] Adams Cutting Dunk Shot: Made (2 PTS) Assist: Westbrook (1 AST)","3","0","2","1","108","1","","1610612760","203500","0","2","201566","1610612760"
"8","14","10:53","[SAC] Randolph Jump Shot: Missed","130","176","2","0","1","2","","1610612758","2216","0","2","","1610612758"
"9","15","10:50","[OKC] Westbrook Rebound (Off:0 Def:2)","130","176","0","0","0","4","","1610612760","201566","0","2","","1610612758"
"10","16","10:47","[OKC 4-0] Adams Running Dunk Shot: Made (4 PTS) Assist: Westbrook (2 AST)","-9","9","2","1","50","1","","1610612760","203500","0","4","201566","1610612760"
"11","18","10:28","[SAC] Randolph 3pt Shot: Missed","2","254","3","0","1","2","","1610612758","2216","0","4","","1610612758"
"12","19","10:24","[OKC] Westbrook Rebound (Off:0 Def:3)","2","254","0","0","0","4","","1610612760","201566","0","4","","1610612758"
"13","20","10:21","[OKC 6-0] Adams Running Layup Shot: Made (6 PTS) Assist: Westbrook (3 AST)","-1","11","2","0","41","1","","1610612760","203500","0","6","201566","1610612760"
"14","22","09:55","[SAC] Bogdanovic Driving Floating Jump Shot: Missed","-5","65","2","0","101","2","","1610612758","203992","0","6","","1610612758"
"15","23","09:53","[OKC] George Rebound (Off:0 Def:1)","-5","65","0","0","0","4","","1610612760","202331","0","6","","1610612758"
"16","24","09:48","[OKC] Westbrook Turnover : Traveling (1 TO)","0","169","0","0","4","5","","1610612760","201566","0","6","","1610612760"
"17","25","09:40","[SAC] G Hill Turnover : Lost Ball (1 TO) Steal:Adams (1 ST)","22","150","1","0","2","5","203500","1610612758","201588","0","6","","1610612758"
"18","27","09:36","[OKC 8-0] Roberson Dunk Shot: Made (2 PTS) Assist: Westbrook (4 AST)","10","6","2","1","7","1","","1610612760","203460","0","8","201566","1610612760"
"19","77","09:35","[SAC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612758","1610612758","0","8","","1610612758"
"20","29","09:20","[SAC] G Hill 3pt Shot: Missed","228","23","3","0","1","2","","1610612758","201588","0","8","","1610612758"
"21","30","09:16","[SAC] Cauley-Stein Rebound (Off:1 Def:1)","228","23","1","0","0","4","","1610612758","1626161","0","8","","1610612758"
"22","31","09:15","[SAC] Cauley-Stein Layup Shot: Missed","-8","17","2","0","5","2","","1610612758","1626161","0","8","","1610612758"
"23","32","09:13","[OKC] Westbrook Rebound (Off:0 Def:4)","-8","17","0","0","0","4","","1610612760","201566","0","8","","1610612758"
"24","33","09:01","[OKC] Adams Turnover : Lost Ball (1 TO) Steal:Cauley-Stein (1 ST)","13","88","1","0","2","5","1626161","1610612760","203500","0","8","","1610612760"
"25","35","08:48","[SAC] Randolph Turnover : Lost Ball (1 TO) Steal:Westbrook (1 ST)","-13","73","1","0","2","5","201566","1610612758","2216","0","8","","1610612758"
"26","37","08:43","[OKC] Westbrook Jump Shot: Missed","140","155","2","0","1","2","","1610612760","201566","0","8","","1610612760"
"27","38","08:43","[SAC] Randolph Rebound (Off:0 Def:1)","140","155","0","0","0","4","","1610612758","2216","0","8","","1610612760"
"28","39","08:35","[SAC] Temple Jump Shot: Missed","165","140","2","0","1","2","","1610612758","202066","0","8","","1610612758"
