"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Drummond vs Turner (Harris gains possession)","0","-80","0","0","0","10","1626167","1610612765","203083","0","0","202699","1610612765"
"3","7","11:43","[DET] Harris Driving Layup Shot: Missed","63","17","2","0","6","2","","1610612765","202699","0","0","","1610612765"
"4","8","11:41","[IND] Collison Rebound (Off:0 Def:1)","63","17","0","0","0","4","","1610612754","201954","0","0","","1610612765"
"5","9","11:29","[IND 2-0] Turner Pullup Jump shot: Made (2 PTS) Assist: Young (1 AST)","39","151","2","0","79","1","","1610612754","1626167","0","2","201152","1610612754"
"6","11","11:16","[DET] Drummond Turnover : Bad Pass (1 TO) Steal:Turner (1 ST)","29","182","1","0","1","5","1626167","1610612765","203083","0","2","","1610612765"
"7","13","10:59","[IND 4-0] Young Turnaround Hook Shot: Made (2 PTS)","-86","2","2","0","58","1","","1610612754","201152","0","4","","1610612754"
"8","14","10:41","[DET] Jackson 3pt Shot: Missed","192","168","3","0","1","2","","1610612765","202704","0","4","","1610612765"
"9","15","10:38","[IND] Turner Rebound (Off:0 Def:1)","192","168","0","0","0","4","","1610612754","1626167","0","4","","1610612765"
"10","16","10:34","[DET] Bradley Foul: Shooting (1 PF) (2 FTA) (S Corbin)","3","786","0","0","2","6","203506","1610612765","202340","0","4","","1610612754"
"11","18","10:34","[IND] Oladipo Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612754","203506","0","4","","1610612754"
"12","19","10:34","[IND] Team Rebound","0","-80","1","0","1","4","","1610612754","0","0","4","","1610612754"
"13","20","10:34","[IND 5-0] Oladipo Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612754","203506","0","5","","1610612754"
"14","21","10:26","[IND] Bogdanovic Foul: Personal (1 PF) (S Corbin)","40","90","0","0","1","6","203493","1610612754","202711","0","5","","1610612765"
"15","23","10:16","[DET] Harris Jump Shot: Missed","-20","108","2","0","1","2","","1610612765","202699","0","5","","1610612765"
"16","24","10:08","[DET] Drummond Rebound (Off:1 Def:0)","-20","108","1","0","0","4","","1610612765","203083","0","5","","1610612765"
"17","25","10:08","[DET] Drummond Putback Layup Shot: Missed","0","-5","2","0","72","2","","1610612765","203083","0","5","","1610612765"
"18","26","10:08","[IND] Turner Rebound (Off:0 Def:2)","0","-5","0","0","0","4","","1610612754","1626167","0","5","","1610612765"
"19","27","10:09","[IND] Young Layup Shot: Missed","-76","54","2","0","5","2","","1610612754","201152","0","5","","1610612754"
"20","28","10:02","[DET] Harris Rebound (Off:0 Def:1)","19","41","0","0","0","4","","1610612765","202699","0","5","","1610612754"
"21","29","10:01","[DET 2-5] Drummond Alley Oop Dunk Shot: Made (2 PTS) Assist: Jackson (1 AST)","-5","8","2","1","52","1","","1610612765","203083","2","5","202704","1610612765"
