"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Lopez vs Baynes (Ball gains possession)","0","-80","0","0","0","10","203382","1610612747","201572","0","0","1628366","1610612747"
"3","7","11:41","[LAL 2-0] Lopez Cutting Layup Shot: Made (2 PTS) Assist: Caldwell-Pope (1 AST)","2","26","2","0","98","1","","1610612747","201572","0","2","203484","1610612747"
"4","9","11:24","[BOS 2-2] Brown Driving Layup Shot: Made (2 PTS)","0","11","2","0","6","1","","1610612738","1627759","2","2","","1610612738"
"5","11","11:14","[BOS] Tatum Foul: Personal (1 PF) (K Scott)","61","122","0","0","1","6","1627742","1610612738","1628369","2","2","","1610612747"
"6","13","11:02","[LAL] Kuzma 3pt Shot: Missed","-130","239","3","0","1","2","","1610612747","1628398","2","2","","1610612747"
"7","14","10:59","[BOS] Brown Rebound (Off:0 Def:1)","-130","239","0","0","0","4","","1610612738","1627759","2","2","","1610612747"
"8","15","10:46","[BOS 4-2] Irving Driving Floating Jump Shot: Made (2 PTS) Assist: Baynes (1 AST)","52","37","2","0","101","1","","1610612738","202681","4","2","203382","1610612738"
"9","16","10:34","[LAL] Lopez 3pt Shot: Missed","126","239","3","0","1","2","","1610612747","201572","4","2","","1610612747"
"10","17","10:30","[BOS] Brown Rebound (Off:0 Def:2)","126","239","0","0","0","4","","1610612738","1627759","4","2","","1610612747"
"11","18","10:24","[LAL] Ball Foul: Personal (1 PF) (E Lewis)","134","22","0","0","1","6","202681","1610612747","1628366","4","2","","1610612738"
"12","21","10:13","[BOS] Marc Morris Jump Shot: Missed","85","42","2","0","1","2","","1610612738","202694","4","2","","1610612738"
"13","22","10:11","[BOS] Baynes Rebound (Off:1 Def:0)","85","42","1","0","0","4","","1610612738","203382","4","2","","1610612738"
"14","23","10:08","[BOS 7-2] Marc Morris 3pt Shot: Made (3 PTS) Assist: Baynes (2 AST)","225","-6","3","0","63","1","","1610612738","202694","7","2","203382","1610612738"
"15","26","09:45","[BOS] Marc Morris Foul: Shooting (1 PF) (2 FTA) (K Scott)","-63","783","0","0","2","6","1627742","1610612738","202694","7","2","","1610612747"
"16","28","09:45","[LAL 3-7] Ingram Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612747","1627742","7","3","","1610612747"
"17","29","09:45","[LAL 4-7] Ingram Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612747","1627742","7","4","","1610612747"
"18","30","09:30","[BOS] Marc Morris 3pt Shot: Missed","183","163","3","0","1","2","","1610612738","202694","7","4","","1610612738"
"19","31","09:29","[BOS] Team Rebound","183","163","1","0","0","4","","1610612738","0","7","4","","1610612738"
"20","32","09:29","[LAL] Lopez Foul: Loose Ball (1 PF) (K Scott)","8","8","0","0","3","6","203382","1610612747","201572","7","4","","1610612738"
"21","34","09:23","[BOS] Irving Pullup Jump shot: Missed","35","145","2","0","79","2","","1610612738","202681","7","4","","1610612738"
"22","35","09:20","[LAL] Lopez Rebound (Off:0 Def:1)","35","145","0","0","0","4","","1610612747","201572","7","4","","1610612738"
"23","36","09:16","[LAL] Caldwell-Pope 3pt Shot: Missed","-221","9","3","1","1","2","","1610612747","203484","7","4","","1610612747"
"24","37","09:12","[LAL] Team Rebound","-221","9","1","0","0","4","","1610612747","0","7","4","","1610612747"
"25","38","08:58","[LAL] Ball 3pt Shot: Missed","-114","250","3","0","1","2","","1610612747","1628366","7","4","","1610612747"
"26","39","08:54","[BOS] Baynes Rebound (Off:1 Def:1)","-114","250","0","0","0","4","","1610612738","203382","7","4","","1610612747"
"27","40","08:46","[BOS 9-4] Baynes Jump Shot: Made (2 PTS) Assist: Tatum (1 AST)","-19","157","2","0","1","1","","1610612738","203382","9","4","1628369","1610612738"
"28","42","08:33","[LAL] Lopez 3pt Shot: Missed","68","273","3","0","1","2","","1610612747","201572","9","4","","1610612747"
"29","43","08:30","[BOS] Tatum Rebound (Off:0 Def:1)","68","273","0","0","0","4","","1610612738","1628369","9","4","","1610612747"
"30","44","08:17","[BOS] Baynes Driving Floating Jump Shot: Missed","-5","100","2","0","101","2","","1610612738","203382","9","4","","1610612738"
"31","45","08:14","[LAL] Ball Rebound (Off:0 Def:1)","-5","100","0","0","0","4","","1610612747","1628366","9","4","","1610612738"
"32","46","08:08","[BOS] Baynes Foul: Shooting (1 PF) (2 FTA) (E Lewis)","10","818","0","0","2","6","203484","1610612738","203382","9","4","","1610612747"
"33","48","08:08","[LAL] Caldwell-Pope Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612747","203484","9","4","","1610612747"
