"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Capela vs Love (Anderson gains possession)","0","-80","0","0","0","10","201567","1610612745","203991","0","0","201583","1610612745"
"3","7","11:37","[HOU] Anderson 3pt Shot: Missed","-218","130","3","0","1","2","","1610612745","201583","0","0","","1610612745"
"4","8","11:33","[HOU] Anderson Rebound (Off:1 Def:0)","-218","130","1","0","0","4","","1610612745","201583","0","0","","1610612745"
"5","9","11:28","[HOU 3-0] Ariza 3pt Shot: Made (3 PTS) Assist: Harden (1 AST)","226","46","3","0","1","1","","1610612745","2772","3","0","201935","1610612745"
"6","11","11:09","[CLE] Love Driving Layup Shot: Missed","28","33","2","0","6","2","203991","1610612739","201567","3","0","","1610612739"
"7","13","11:09","[CLE] Team Rebound","28","33","1","0","0","4","","1610612739","0","3","0","","1610612739"
"8","14","11:06","[CLE 3-3] Love 3pt Shot: Made (3 PTS) Assist: Crowder (1 AST)","-140","217","3","0","1","1","","1610612739","201567","3","3","203109","1610612739"
"9","16","10:45","[HOU 5-3] Harden Driving Finger Roll Layup Shot: Made (2 PTS)","-17","9","2","0","75","1","","1610612745","201935","5","3","","1610612745"
"10","17","10:28","[CLE 5-5] James Alley Oop Dunk Shot: Made (2 PTS) Assist: Love (1 AST)","0","3","2","0","52","1","","1610612739","2544","5","5","201567","1610612739"
"11","19","10:25","Stoppage: Blood Rule","0","-80","0","0","1","20","","0","0","5","5","","1610612745"
"12","20","10:12","[CLE] Love Violation:Kicked Ball","0","-80","0","0","5","7","","1610612739","201567","5","5","","1610612745"
"13","21","10:08","[CLE] James Foul: Personal (1 PF)","117","-28","0","0","1","6","2772","1610612739","2544","5","5","","1610612745"
"14","23","10:02","[HOU] Capela Hook Shot: Missed","0","88","2","0","3","2","","1610612745","203991","5","5","","1610612745"
"15","24","09:59","[HOU] Capela Rebound (Off:1 Def:0)","0","88","1","0","0","4","","1610612745","203991","5","5","","1610612745"
"16","25","09:56","[HOU] Gordon 3pt Shot: Missed","-5","284","3","0","1","2","","1610612745","201569","5","5","","1610612745"
"17","26","09:52","[CLE] Love Rebound (Off:0 Def:1)","-5","284","0","0","0","4","","1610612739","201567","5","5","","1610612745"
"18","27","09:45","[CLE 8-5] Love 3pt Shot: Made (6 PTS) Assist: James (1 AST)","-52","278","3","0","1","1","","1610612739","201567","5","8","2544","1610612739"
"19","29","09:37","[CLE] Crowder Foul: Shooting (1 PF)","56","649","0","0","2","6","201935","1610612739","203109","5","8","","1610612745"
"20","32","09:37","[HOU 6-8] Harden Free Throw 2 of 2 (3 PTS)","0","-80","1","0","12","3","","1610612745","201935","6","8","","1610612745"
"21","31","09:37","[HOU 7-8] Harden Free Throw 1 of 2 (4 PTS)","0","-80","1","0","11","3","","1610612745","201935","7","8","","1610612745"
"22","33","09:26","[CLE] Love Turnover : Out of Bounds Lost Ball Turnover (1 TO)","61","118","0","0","40","5","","1610612739","201567","7","8","","1610612739"
"23","34","09:14","[HOU 10-8] Ariza 3pt Shot: Made (6 PTS) Assist: Anderson (1 AST)","231","40","3","0","1","1","","1610612745","2772","10","8","201583","1610612745"
"24","36","09:01","[CLE 10-10] James Driving Dunk Shot: Made (4 PTS) Assist: Love (2 AST)","-2","13","2","0","9","1","","1610612739","2544","10","10","201567","1610612739"
"25","38","08:46","[HOU] Anderson 3pt Shot: Missed","-231","11","3","0","1","2","","1610612745","201583","10","10","","1610612745"
"26","39","08:42","[CLE] Crowder Rebound (Off:0 Def:1)","-231","11","0","0","0","4","","1610612739","203109","10","10","","1610612745"
"27","40","08:39","[CLE] James Turnover : Bad Pass (1 TO) Steal:Harden (1 ST)","6","155","1","0","1","5","201935","1610612739","2544","10","10","","1610612739"
"28","42","08:32","[HOU] Gordon 3pt Shot: Missed","185","189","3","0","1","2","","1610612745","201569","10","10","","1610612745"
"29","43","08:27","[HOU] Harden Rebound (Off:1 Def:0)","185","189","1","0","0","4","","1610612745","201935","10","10","","1610612745"
"30","44","08:23","[CLE] Shumpert Foul: Personal (1 PF)","-163","-34","0","0","1","6","201935","1610612739","202697","10","10","","1610612745"
"31","46","08:17","[HOU] Capela Turnover : Traveling (1 TO)","-115","30","0","0","4","5","","1610612745","203991","10","10","","1610612745"
"32","47","08:08","[CLE 13-10] Smith 3pt Shot: Made (3 PTS) Assist: Shumpert (1 AST)","180","184","3","0","1","1","","1610612739","2747","10","13","202697","1610612739"
"33","49","08:00","[HOU 12-13] Gordon Running Layup Shot: Made (2 PTS) Assist: Harden (2 AST)","3","12","2","1","41","1","","1610612745","201569","12","13","201935","1610612745"
"34","51","07:34","[CLE 15-12] Love Fadeaway Jump Shot: Made (8 PTS)","-131","23","2","0","63","1","","1610612739","201567","12","15","","1610612739"
"35","52","07:18","[HOU] Ariza 3pt Shot: Missed","234","8","3","0","1","2","","1610612745","2772","12","15","","1610612745"
"36","53","07:13","[HOU] Gordon Rebound (Off:1 Def:0)","234","8","1","0","0","4","","1610612745","201569","12","15","","1610612745"
"37","54","07:11","[HOU] Gordon Driving Dunk Shot: Missed","0","1","2","0","9","2","","1610612745","201569","12","15","","1610612745"
