"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Gortat vs Lopez (Mark Morris gains possession)","0","-80","0","0","0","10","201572","1610612764","101162","0","0","202693","1610612764"
"3","7","11:53","[WAS 2-0] Porter Jr. Layup Shot: Made (2 PTS) Assist: Mark Morris (1 AST)","-9","16","2","1","5","1","","1610612764","203490","2","0","202693","1610612764"
"4","9","11:37","[LAL 2-2] Ball Reverse Layup Shot: Made (2 PTS) Assist: Ingram (1 AST)","-2","4","2","0","44","1","","1610612747","1628366","2","2","1627742","1610612747"
"5","11","11:16","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","2","","1610612764"
"6","12","11:10","[WAS 4-2] Mark Morris Turnaround Fadeaway shot: Made (2 PTS)","-9","45","2","0","86","1","","1610612764","202693","4","2","","1610612764"
"7","13","10:57","[LAL] Lopez 3pt Shot: Missed","148","223","3","0","47","2","","1610612747","201572","4","2","","1610612747"
"8","14","10:57","[LAL] Kuzma Rebound (Off:1 Def:0)","148","223","1","0","0","4","","1610612747","1628398","4","2","","1610612747"
"9","15","10:52","[LAL 4-4] Kuzma Tip Layup Shot: Made (2 PTS)","9","7","2","0","97","1","","1610612747","1628398","4","4","","1610612747"
"10","16","10:35","[WAS] Beal Turnover : Out of Bounds Lost Ball Turnover (1 TO)","-144","-15","0","0","40","5","","1610612764","203078","4","4","","1610612764"
"11","17","10:25","[LAL] Kuzma Jump Shot: Missed","-124","14","2","0","1","2","","1610612747","1628398","4","4","","1610612747"
"12","18","10:21","[WAS] Mark Morris Rebound (Off:0 Def:1)","-124","14","0","0","0","4","","1610612764","202693","4","4","","1610612747"
"13","19","10:13","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","4","4","","1610612764"
"14","20","10:11","[WAS 6-4] Beal Pullup Jump shot: Made (2 PTS) Assist: Porter Jr. (1 AST)","133","31","2","0","79","1","","1610612764","203078","6","4","203490","1610612764"
"15","22","10:03","[LAL] Ball Jump Shot: Missed","114","156","2","0","1","2","","1610612747","1628366","6","4","","1610612747"
"16","23","09:59","[WAS] Mark Morris Rebound (Off:0 Def:2)","114","156","0","0","0","4","","1610612764","202693","6","4","","1610612747"
"17","24","09:50","[WAS] Porter Jr. Pullup Jump shot: Missed","62","152","2","0","79","2","","1610612764","203490","6","4","","1610612764"
"18","25","09:42","[WAS] Gortat Rebound (Off:1 Def:0)","62","152","1","0","0","4","","1610612764","101162","6","4","","1610612764"
"19","26","09:42","[WAS 8-4] Gortat Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612764","101162","8","4","","1610612764"
"20","27","09:35","[LAL] Lopez Layup Shot: Missed","68","114","2","0","5","2","","1610612747","201572","8","4","","1610612747"
"21","28","09:35","[WAS] Team Rebound","68","114","0","0","0","4","","1610612764","0","8","4","","1610612747"
"22","254","09:35","[LAL] Kuzma Turnover : Offensive Goaltending (1 TO)","-4","836","0","0","15","5","","1610612747","1628398","8","4","","1610612747"
"23","30","09:25","[WAS 11-4] Porter Jr. 3pt Shot: Made (5 PTS) Assist: Wall (1 AST)","-17","262","3","0","1","1","","1610612764","203490","11","4","202322","1610612764"
"24","32","09:21","[LAL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612747","1610612747","11","4","","1610612747"
"25","33","09:21","Instant Replay - Support Ruling","0","-80","0","0","0","18","","0","0","11","4","","1610612747"
"26","34","09:10","[LAL 6-11] Caldwell-Pope Pullup Jump shot: Made (2 PTS) Assist: Ball (1 AST)","-95","144","2","0","79","1","","1610612747","203484","11","6","1628366","1610612747"
"27","36","08:56","[WAS] Gortat Turnover : Bad Pass (1 TO) Steal:Ball (1 ST)","-62","125","1","0","1","5","1628366","1610612764","101162","11","6","","1610612764"
"28","38","08:53","[WAS] Mark Morris Foul: Personal (1 PF)","3","276","0","0","1","6","1628366","1610612764","202693","11","6","","1610612747"
"29","41","08:53","[WAS] Mark Morris Substitution replaced by Oubre Jr.","0","-80","0","0","0","8","","1610612764","202693","11","6","1626162","1610612747"
"30","42","08:48","[LAL 8-11] Lopez Driving Layup Shot: Made (2 PTS) Assist: Ball (2 AST)","14","14","2","0","6","1","","1610612747","201572","11","8","1628366","1610612747"
"31","45","08:48","[WAS] Porter Jr. Foul: Shooting (1 PF) (1 FTA)","14","14","0","0","2","6","201572","1610612764","203490","11","8","","1610612764"
"32","47","08:48","[LAL 9-11] Lopez Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612747","201572","11","9","","1610612747"
"33","48","08:38","[WAS] Oubre Jr. 3pt Shot: Missed","-239","25","3","0","1","2","","1610612764","1626162","11","9","","1610612764"
"34","49","08:33","[LAL] Lopez Rebound (Off:0 Def:1)","-239","25","0","0","0","4","","1610612747","201572","11","9","","1610612764"
"35","50","08:30","[LAL 11-11] Caldwell-Pope Driving Layup Shot: Made (4 PTS)","-2","7","2","0","6","1","","1610612747","203484","11","11","","1610612747"
