"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Valanciunas vs Davis (Ibaka gains possession)","0","-80","0","0","0","10","203076","1610612761","202685","0","0","201586","1610612761"
"3","7","11:44","[TOR 2-0] Valanciunas Driving Dunk Shot: Made (2 PTS)","-12","16","2","0","9","1","","1610612761","202685","2","0","","1610612761"
"4","8","11:35","[NOP] Cousins Driving Layup Shot: Missed","3","3","2","0","6","2","","1610612740","202326","2","0","","1610612740"
"5","9","11:30","[NOP] Cousins Rebound (Off:1 Def:0)","3","3","1","0","0","4","","1610612740","202326","2","0","","1610612740"
"6","10","11:30","[NOP] Cousins Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612740","202326","2","0","","1610612740"
"7","11","11:30","[TOR] Valanciunas Rebound (Off:0 Def:1)","0","-5","0","0","0","4","","1610612761","202685","2","0","","1610612740"
"8","12","11:24","[TOR] Valanciunas Jump Shot: Missed","-133","-4","2","0","1","2","","1610612761","202685","2","0","","1610612761"
"9","13","11:24","[NOP] Davis Rebound (Off:0 Def:1)","-133","-4","0","0","0","4","","1610612740","203076","2","0","","1610612761"
"10","14","11:14","[TOR] Powell Foul: Shooting (1 PF) (2 FTA)","11","840","0","0","2","6","202734","1610612761","1626181","2","0","","1610612740"
"11","16","11:14","[NOP 1-2] Moore Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612740","202734","2","1","","1610612740"
"12","17","11:14","[NOP 2-2] Moore Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612740","202734","2","2","","1610612740"
"13","18","10:56","[TOR 5-2] Powell 3pt Shot: Made (3 PTS) Assist: Ibaka (1 AST)","-152","224","3","0","1","1","","1610612761","1626181","5","2","201586","1610612761"
"14","20","10:38","[NOP] Cousins Turnover : Bad Pass (1 TO) Steal:Valanciunas (1 ST)","40","146","1","0","1","5","202685","1610612740","202326","5","2","","1610612740"
"15","22","10:23","[TOR] Valanciunas Driving Layup Shot: Missed","-2","52","2","0","6","2","203076","1610612761","202685","5","2","","1610612761"
"16","23","10:23","[TOR] Team Rebound","-2","52","1","0","0","4","","1610612761","0","5","2","","1610612761"
"17","24","10:19","[TOR] Ibaka 3pt Shot: Missed","133","235","3","0","1","2","","1610612761","201586","5","2","","1610612761"
"18","25","10:16","[NOP] Cousins Rebound (Off:1 Def:1)","133","235","0","0","0","4","","1610612740","202326","5","2","","1610612761"
"19","26","10:05","[TOR] Ibaka Foul: Shooting (1 PF) (2 FTA)","108","778","0","0","2","6","203076","1610612761","201586","5","2","","1610612740"
"20","28","10:05","[NOP 3-5] Davis Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612740","203076","5","3","","1610612740"
"21","29","10:05","[NOP 4-5] Davis Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612740","203076","5","4","","1610612740"
"22","31","09:56","[TOR 7-4] Ibaka Pullup Jump shot: Made (2 PTS)","49","24","2","0","79","1","","1610612761","201586","7","4","","1610612761"
"23","32","09:47","[TOR] DeRozan Foul: Personal (1 PF)","1","46","0","0","1","6","201950","1610612761","201942","7","4","","1610612740"
"24","34","09:39","[NOP] Davis Driving Layup Shot: Missed","28","19","2","0","6","2","","1610612740","203076","7","4","","1610612740"
"25","35","09:38","[TOR] Valanciunas Rebound (Off:0 Def:2)","28","19","0","0","0","4","","1610612761","202685","7","4","","1610612740"
"26","36","09:33","[TOR 10-4] DeRozan 3pt Shot: Made (3 PTS) Assist: Lowry (1 AST)","-235","51","3","1","1","1","","1610612761","201942","10","4","200768","1610612761"
