"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Drummond vs Dedmon (Harris gains possession)","0","-80","0","0","0","10","203473","1610612765","203083","0","0","202699","1610612765"
"3","7","11:41","[DET] Jackson Driving Floating Jump Shot: Missed","-5","76","2","0","101","2","","1610612765","202704","0","0","","1610612765"
"4","8","11:40","[DET] Jackson Rebound (Off:1 Def:0)","-5","76","1","0","0","4","","1610612765","202704","0","0","","1610612765"
"5","9","11:38","[ATL] Dedmon Foul: Shooting (1 PF) (2 FTA) (J Williams)","-30","10","0","0","2","6","203083","1610612737","203473","0","0","","1610612765"
"6","11","11:38","[DET 1-0] Drummond Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612765","203083","1","0","","1610612765"
"7","12","11:38","[DET] Drummond Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612765","203083","1","0","","1610612765"
"8","13","11:36","[ATL] Dedmon Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","203473","1","0","","1610612765"
"9","14","11:20","[ATL 2-1] Bazemore Driving Layup Shot: Made (2 PTS) Assist: Babbitt (1 AST)","9","25","2","0","6","1","","1610612737","203145","1","2","202337","1610612737"
"10","15","11:20","[DET] Drummond Foul: Shooting (1 PF) (1 FTA) (J Williams)","0","22","0","0","2","6","203145","1610612765","203083","1","2","","1610612765"
"11","17","11:20","[ATL 3-1] Bazemore Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612737","203145","1","3","","1610612737"
"12","18","11:05","[DET 3-3] Bradley Floating Jump shot: Made (2 PTS) Assist: Drummond (1 AST)","65","40","2","0","78","1","","1610612765","202340","3","3","203083","1610612765"
"13","21","10:49","[ATL 5-3] Schroder Driving Layup Shot: Made (2 PTS)","8","40","2","0","6","1","","1610612737","203471","3","5","","1610612737"
"14","22","10:32","[DET 6-5] Bradley 3pt Shot: Made (5 PTS) Assist: Drummond (2 AST)","-176","189","3","0","1","1","","1610612765","202340","6","5","203083","1610612765"
"15","24","10:19","[ATL] Bazemore Turnover : Bad Pass (1 TO)","-3","239","0","0","1","5","","1610612737","203145","6","5","","1610612737"
"16","25","10:05","[DET] Bradley Turnover : Bad Pass (1 TO) Steal:Dedmon (1 ST)","-26","94","1","0","1","5","203473","1610612765","202340","6","5","","1610612765"
"17","27","09:56","[ATL 7-6] Prince Driving Layup Shot: Made (2 PTS)","-65","38","2","0","6","1","","1610612737","1627752","6","7","","1610612737"
"18","28","09:43","[DET] Bullock 3pt Shot: Missed","231","40","3","0","1","2","","1610612765","203493","6","7","","1610612765"
"19","29","09:41","[ATL] Dedmon Rebound (Off:0 Def:2)","231","40","0","0","0","4","","1610612737","203473","6","7","","1610612765"
"20","30","09:24","[DET] Jackson Foul: Personal (1 PF) (L Holtkamp)","-105","157","0","0","1","6","1627752","1610612765","202704","6","7","","1610612737"
"21","32","09:17","[ATL] Bazemore Pullup Jump shot: Missed","58","114","2","0","79","2","","1610612737","203145","6","7","","1610612737"
"22","33","09:13","[ATL] Prince Rebound (Off:1 Def:0)","58","114","1","0","0","4","","1610612737","1627752","6","7","","1610612737"
"23","34","08:59","[ATL] Bazemore 3pt Shot: Missed","230","15","3","0","1","2","","1610612737","203145","6","7","","1610612737"
"24","35","08:55","[ATL] Babbitt Rebound (Off:1 Def:0)","230","15","1","0","0","4","","1610612737","202337","6","7","","1610612737"
"25","36","08:53","[ATL] Schroder 3pt Shot: Missed","-6","258","3","0","1","2","","1610612737","203471","6","7","","1610612737"
"26","37","08:51","[DET] Jackson Rebound (Off:1 Def:1)","-6","258","0","0","0","4","","1610612765","202704","6","7","","1610612737"
"27","38","08:40","[ATL] Babbitt Foul: Shooting (1 PF) (2 FTA) (J Tiven)","78","848","0","0","2","6","203083","1610612737","202337","6","7","","1610612765"
"28","40","08:40","[DET 7-7] Drummond Free Throw 1 of 2 (2 PTS)","0","-80","1","0","11","3","","1610612765","203083","7","7","","1610612765"
"29","41","08:40","[DET] Drummond Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612765","203083","7","7","","1610612765"
"30","42","08:38","[ATL] Dedmon Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612737","203473","7","7","","1610612765"
"31","43","08:27","[DET] Bradley Foul: Personal (1 PF) (L Holtkamp)","37","350","0","0","1","6","203471","1610612765","202340","7","7","","1610612737"
"32","45","08:19","[ATL 9-7] Bazemore Driving Layup Shot: Made (5 PTS) Assist: Prince (1 AST)","44","14","2","0","6","1","","1610612737","203145","7","9","1627752","1610612737"
"33","47","08:19","[DET] Team Timeout : Regular","0","-80","0","0","1","9","","1610612765","1610612765","7","9","","1610612765"
"34","48","08:07","[DET 9-9] Harris Turnaround Jump Shot: Made (2 PTS) Assist: Jackson (1 AST)","54","114","2","0","47","1","","1610612765","202699","9","9","202704","1610612765"
"35","50","07:43","[ATL] Prince Turnover : Bad Pass (1 TO)","10","135","0","0","1","5","","1610612737","1627752","9","9","","1610612737"
"36","51","07:34","[DET 12-9] Jackson 3pt Shot: Made (3 PTS) Assist: Drummond (3 AST)","228","57","3","0","1","1","","1610612765","202704","12","9","203083","1610612765"
"37","53","07:23","[ATL 12-12] Babbitt 3pt Shot: Made (3 PTS) Assist: Schroder (1 AST)","4","264","3","0","1","1","","1610612737","202337","12","12","203471","1610612737"
"38","55","07:08","[DET] Bullock 3pt Shot: Missed","142","203","3","0","1","2","","1610612765","203493","12","12","","1610612765"
"39","56","07:05","[ATL] Bazemore Rebound (Off:0 Def:1)","142","203","0","0","0","4","","1610612737","203145","12","12","","1610612765"
"40","57","07:00","[ATL] Bazemore 3pt Shot: Missed","-174","190","3","0","1","2","","1610612737","203145","12","12","","1610612737"
"41","58","06:58","[DET] Team Rebound","-174","190","0","0","0","4","","1610612765","0","12","12","","1610612737"
"42","59","06:58","[ATL] Dedmon Foul: Loose Ball (2 PF) (J Williams)","1","821","0","0","3","6","202340","1610612737","203473","12","12","","1610612765"
"43","63","06:58","[ATL] Babbitt Substitution replaced by Collins","0","-80","0","0","0","8","","1610612737","202337","12","12","1628381","1610612765"
"44","64","06:58","[ATL] Dedmon Substitution replaced by Belinelli","0","-80","0","0","0","8","","1610612737","203473","12","12","201158","1610612765"
"45","66","06:44","[DET] Jackson Floating Jump shot: Missed","2","56","2","0","78","2","","1610612765","202704","12","12","","1610612765"
"46","67","06:40","[DET] Drummond Rebound (Off:1 Def:0)","2","56","1","0","0","4","","1610612765","203083","12","12","","1610612765"
"47","68","06:40","[DET 14-12] Drummond Putback Layup Shot: Made (4 PTS)","0","-5","2","0","72","1","","1610612765","203083","14","12","","1610612765"
"48","69","06:29","[ATL] Prince Pullup Jump shot: Missed","-78","58","2","0","79","2","","1610612737","1627752","14","12","","1610612737"
"49","70","06:27","[DET] Drummond Rebound (Off:1 Def:1)","-78","58","0","0","0","4","","1610612765","203083","14","12","","1610612737"
"50","71","06:12","[DET] Harris Turnover : Bad Pass (1 TO)","-98","84","0","0","1","5","","1610612765","202699","14","12","","1610612765"
"51","72","06:00","[ATL] Collins Turnover : Traveling (1 TO)","5","45","0","0","4","5","","1610612737","1628381","14","12","","1610612737"
"52","85","05:45","[DET] Bradley Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612765","202340","14","12","","1610612765"
"53","86","05:45","[DET] Drummond Rebound (Off:2 Def:1)","0","-80","1","0","0","4","","1610612765","203083","14","12","","1610612765"
"54","83","05:45","[DET] Bradley Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612765","202340","14","12","","1610612765"
"55","84","05:45","[DET] Team Rebound","0","-80","1","0","1","4","","1610612765","0","14","12","","1610612765"
"56","73","05:45","[ATL] Bazemore Foul: Shooting (1 PF) (L Holtkamp)","-1","781","0","0","2","6","202699","1610612737","203145","14","12","","1610612765"
