"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Nurkic vs Mozgov (Lillard gains possession)","0","-80","0","0","0","10","202389","1610612757","203994","0","0","203081","1610612757"
"3","7","11:43","[POR 2-0] Harkless Driving Floating Bank Jump Shot: Made (2 PTS) Assist: Nurkic (1 AST)","24","18","2","0","102","1","","1610612757","203090","2","0","203994","1610612757"
"4","9","11:21","[BKN 2-2] Mozgov Cutting Layup Shot: Made (2 PTS) Assist: Russell (1 AST)","-1","3","2","0","98","1","","1610612751","202389","2","2","1626156","1610612751"
"5","11","11:06","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","2","","1610612757"
"6","12","11:01","[POR] McCollum Pullup Jump shot: Missed","-112","198","2","0","79","2","","1610612757","203468","2","2","","1610612757"
"7","13","10:59","[POR] Nurkic Rebound (Off:1 Def:0)","-112","198","1","0","0","4","","1610612757","203994","2","2","","1610612757"
"8","15","10:57","[POR] Nurkic Layup Shot: Missed","19","23","2","0","5","2","201960","1610612757","203994","2","2","","1610612757"
"9","17","10:52","[BKN] Russell Rebound (Off:0 Def:1)","92","65","0","0","0","4","","1610612751","1626156","2","2","","1610612757"
"10","18","10:47","[BKN] Hollis-Jefferson Fadeaway Jump Shot: Missed","-116","157","2","0","63","2","","1610612751","1626178","2","2","","1610612751"
"11","19","10:47","[BKN] Mozgov Rebound (Off:1 Def:0)","-116","157","1","0","0","4","","1610612751","202389","2","2","","1610612751"
"12","20","10:46","[BKN] Mozgov Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612751","202389","2","2","","1610612751"
"13","21","10:46","[POR] Team Rebound","0","-5","0","0","0","4","","1610612757","0","2","2","","1610612751"
"14","22","10:35","[POR 4-2] Lillard Jump Shot: Made (2 PTS) Assist: McCollum (1 AST)","171","60","2","0","1","1","","1610612757","203081","4","2","203468","1610612757"
"15","24","10:24","[POR] Harkless Foul: Shooting (1 PF) (3 FTA) (B Nansel)","-2","586","0","0","2","6","201960","1610612757","203090","4","2","","1610612751"
"16","26","10:24","[BKN 3-4] Carroll Free Throw 1 of 3 (1 PTS)","0","-80","1","0","13","3","","1610612751","201960","4","3","","1610612751"
"17","27","10:24","[BKN 4-4] Carroll Free Throw 2 of 3 (2 PTS)","0","-80","1","0","14","3","","1610612751","201960","4","4","","1610612751"
"18","28","10:24","[BKN 5-4] Carroll Free Throw 3 of 3 (3 PTS)","0","-80","1","0","15","3","","1610612751","201960","4","5","","1610612751"
"19","29","10:09","[POR 6-5] Nurkic Cutting Layup Shot: Made (2 PTS) Assist: Lillard (1 AST)","-6","17","2","0","98","1","","1610612757","203994","6","5","203081","1610612757"
"20","31","09:55","[BKN 8-6] Carroll 3pt Shot: Made (6 PTS) Assist: Hollis-Jefferson (1 AST)","-127","211","3","0","1","1","","1610612751","201960","6","8","1626178","1610612751"
"21","33","09:39","[POR 8-8] Nurkic Jump Shot: Made (4 PTS) Assist: McCollum (2 AST)","-147","5","2","0","1","1","","1610612757","203994","8","8","203468","1610612757"
"22","35","09:30","[BKN] Russell Turnover : Palming Turnover (1 TO)","5","194","0","0","21","5","","1610612751","1626156","8","8","","1610612751"
"23","36","09:19","[POR] Lillard 3pt Shot: Missed","145","212","3","0","79","2","","1610612757","203081","8","8","","1610612757"
"24","37","09:18","[BKN] Mozgov Rebound (Off:1 Def:1)","145","212","0","0","0","4","","1610612751","202389","8","8","","1610612757"
"25","38","09:10","[BKN] Crabbe Pullup Jump shot: Missed","68","142","2","0","79","2","203468","1610612751","203459","8","8","","1610612751"
"26","40","09:07","[POR] Vonleh Rebound (Off:0 Def:1)","68","142","0","0","0","4","","1610612757","203943","8","8","","1610612751"
"27","41","08:57","[POR] McCollum Driving Layup Shot: Missed","-3","18","2","0","6","2","1626178","1610612757","203468","8","8","","1610612757"
"28","43","08:51","[POR] Vonleh Rebound (Off:1 Def:1)","-3","18","1","0","0","4","","1610612757","203943","8","8","","1610612757"
"29","44","08:51","[POR 10-8] Vonleh Putback Layup Shot: Made (2 PTS)","0","-5","2","0","72","1","","1610612757","203943","10","8","","1610612757"
"30","45","08:47","[BKN] Crabbe 3pt Shot: Missed","-136","206","3","1","1","2","","1610612751","203459","10","8","","1610612751"
"31","46","08:45","[POR] Nurkic Rebound (Off:1 Def:1)","-136","206","0","0","0","4","","1610612757","203994","10","8","","1610612751"
"32","47","08:37","[POR] Nurkic Jump Shot: Missed","57","199","2","0","1","2","","1610612757","203994","10","8","","1610612757"
"33","48","08:35","[BKN] Hollis-Jefferson Rebound (Off:0 Def:1)","57","199","0","0","0","4","","1610612751","1626178","10","8","","1610612757"
"34","49","08:26","[BKN] Russell 3pt Shot: Missed","168","178","3","0","79","2","","1610612751","1626156","10","8","","1610612751"
"35","50","08:25","[POR] Team Rebound","168","178","0","0","0","4","","1610612757","0","10","8","","1610612751"
"36","51","08:17","[BKN] Hollis-Jefferson Foul: Shooting (1 PF) (2 FTA) (L Wood)","11","836","0","0","2","6","203081","1610612751","1626178","10","8","","1610612757"
"37","53","08:17","[POR 11-8] Lillard Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612757","203081","11","8","","1610612757"
"38","54","08:17","[POR 12-8] Lillard Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612757","203081","12","8","","1610612757"
"39","55","08:08","[BKN 11-12] Crabbe 3pt Shot: Made (3 PTS) Assist: Hollis-Jefferson (2 AST)","135","203","3","0","1","1","","1610612751","203459","12","11","1626178","1610612751"
"40","57","07:55","[POR 14-11] Nurkic Turnaround Fadeaway Bank Jump Shot: Made (6 PTS) Assist: Lillard (2 AST)","-26","21","2","0","105","1","","1610612757","203994","14","11","203081","1610612757"
"41","59","07:40","[BKN 14-14] Carroll 3pt Shot: Made (9 PTS) Assist: Russell (2 AST)","-130","214","3","0","1","1","","1610612751","201960","14","14","1626156","1610612751"
"42","61","07:21","[POR] Vonleh Jump Shot: Missed","-162","157","2","0","1","2","","1610612757","203943","14","14","","1610612757"
"43","62","07:18","[BKN] Crabbe Rebound (Off:0 Def:1)","-162","157","0","0","0","4","","1610612751","203459","14","14","","1610612757"
"44","63","07:13","[BKN] Russell 3pt Shot: Missed","-153","205","3","0","1","2","","1610612751","1626156","14","14","","1610612751"
"45","64","07:11","[POR] Nurkic Rebound (Off:1 Def:2)","-153","205","0","0","0","4","","1610612757","203994","14","14","","1610612751"
"46","65","06:51","[POR] Harkless Turnover : Bad Pass (1 TO) Steal:Crabbe (1 ST)","16","29","1","0","1","5","203459","1610612757","203090","14","14","","1610612757"
"47","67","06:46","[BKN 16-14] Crabbe Running Pull-Up Jump Shot: Made (5 PTS) Assist: Russell (3 AST)","-164","159","2","1","103","1","","1610612751","203459","14","16","1626156","1610612751"
"48","68","06:46","[POR] Team Timeout : Regular","0","-80","0","0","1","9","","1610612757","1610612757","14","16","","1610612757"
"49","69","06:46","Instant Replay - Support Ruling","0","-80","0","0","0","18","","0","0","14","16","","1610612757"
"50","71","06:36","[POR 16-16] Harkless Cutting Layup Shot: Made (4 PTS) Assist: Lillard (3 AST)","6","17","2","0","98","1","","1610612757","203090","16","16","203081","1610612757"
"51","73","06:18","[BKN] Russell Pullup Jump shot: Missed","-103","177","2","0","79","2","","1610612751","1626156","16","16","","1610612751"
"52","74","06:14","[POR] Vonleh Rebound (Off:1 Def:2)","-103","177","0","0","0","4","","1610612757","203943","16","16","","1610612751"
"53","75","05:57","[POR 18-16] Nurkic Turnaround Jump Shot: Made (8 PTS)","33","210","2","0","47","1","","1610612757","203994","18","16","","1610612757"
"54","76","05:44","[BKN] Mozgov Foul: Offensive (1 PF) (B Kennedy)","14","108","0","0","4","6","203081","1610612751","202389","18","16","","1610612751"
"55","78","05:44","[BKN] Mozgov Turnover : Offensive Foul Turnover (1 TO)","14","108","0","0","37","5","","1610612751","202389","18","16","","1610612751"
"56","83","05:44","[POR] Harkless Substitution replaced by Turner","0","-80","0","0","0","8","","1610612757","203090","18","16","202323","1610612757"
"57","84","05:44","[POR] McCollum Substitution replaced by Connaughton","0","-80","0","0","0","8","","1610612757","203468","18","16","1626192","1610612757"
"58","85","05:44","[BKN] Mozgov Substitution replaced by Acy","0","-80","0","0","0","8","","1610612751","202389","18","16","203112","1610612757"
"59","86","05:44","[BKN] Russell Substitution replaced by Dinwiddie","0","-80","0","0","0","8","","1610612751","1626156","18","16","203915","1610612757"
"60","87","05:30","[BKN] Crabbe Foul: Defense 3 Second (1 PF) (1 FTA) (B Nansel)","0","-80","0","0","17","6","","1610612751","203459","18","16","","1610612757"
"61","88","05:30","[POR] Lillard Free Throw Technical Missed","0","-80","2","0","16","3","","1610612757","203081","18","16","","1610612757"
"62","89","05:30","[POR] Team Rebound","0","-80","1","0","1","4","","1610612757","0","18","16","","1610612757"
"63","90","05:25","[BKN] Acy Foul: Shooting (1 PF) (2 FTA) (B Nansel)","-4","29","0","0","2","6","203994","1610612751","203112","18","16","","1610612757"
"64","92","05:25","[POR] Nurkic Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612757","203994","18","16","","1610612757"
"65","93","05:25","[POR] Team Rebound","0","-80","1","0","1","4","","1610612757","0","18","16","","1610612757"
"66","94","05:25","[POR 19-16] Nurkic Free Throw 2 of 2 (9 PTS)","0","-80","1","0","12","3","","1610612757","203994","19","16","","1610612757"
"67","95","05:18","[BKN 19-19] Crabbe 3pt Shot: Made (8 PTS) Assist: Dinwiddie (1 AST)","-34","246","3","0","1","1","","1610612751","203459","19","19","203915","1610612751"
"68","97","05:04","[POR 21-19] Turner Turnaround Fadeaway shot: Made (2 PTS)","-100","18","2","0","86","1","","1610612757","202323","21","19","","1610612757"
"69","98","04:56","[BKN] Carroll Jump Shot: Missed","-114","10","2","0","1","2","","1610612751","201960","21","19","","1610612751"
"70","99","04:54","[POR] Lillard Rebound (Off:0 Def:1)","-114","10","0","0","0","4","","1610612757","203081","21","19","","1610612751"
"71","100","04:51","[POR] Connaughton 3pt Shot: Missed","210","131","3","0","1","2","","1610612757","1626192","21","19","","1610612757"
"72","101","04:48","[BKN] Dinwiddie Rebound (Off:0 Def:1)","210","131","0","0","0","4","","1610612751","203915","21","19","","1610612757"
"73","102","04:28","[POR] Turner Foul: Personal (1 PF) (L Wood)","31","189","0","0","1","6","201960","1610612757","202323","21","19","","1610612751"
"74","106","04:28","[POR] Vonleh Substitution replaced by Swanigan","0","-80","0","0","0","8","","1610612757","203943","21","19","1628403","1610612751"
"75","107","04:28","[BKN] Hollis-Jefferson Substitution replaced by Harris","0","-80","0","0","0","8","","1610612751","1626178","21","19","203925","1610612751"
"76","108","04:13","[BKN] Dinwiddie Driving Finger Roll Layup Shot: Missed","-3","4","2","0","75","2","","1610612751","203915","21","19","","1610612751"
"77","109","04:11","[POR] Swanigan Rebound (Off:0 Def:1)","-3","4","0","0","0","4","","1610612757","1628403","21","19","","1610612751"
"78","110","03:53","[POR] Swanigan Turnaround Fadeaway shot: Missed","58","59","2","0","86","2","","1610612757","1628403","21","19","","1610612757"
"79","111","03:52","[BKN] Carroll Rebound (Off:0 Def:1)","58","59","0","0","0","4","","1610612751","201960","21","19","","1610612757"
"80","112","03:36","[BKN] Crabbe 3pt Shot: Missed","5","269","3","0","1","2","","1610612751","203459","21","19","","1610612751"
