"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Baynes vs Howard (Irving gains possession)","0","-80","0","0","0","10","2730","1610612738","203382","0","0","202681","1610612738"
"3","7","11:38","[BOS] Irving Driving Floating Jump Shot: Missed","43","26","2","0","101","2","","1610612738","202681","0","0","","1610612738"
"4","8","11:35","[CHA] Howard Rebound (Off:0 Def:1)","43","26","0","0","0","4","","1610612766","2730","0","0","","1610612738"
"5","9","11:24","[CHA 2-0] Lamb Driving Floating Jump Shot: Made (2 PTS)","-76","52","2","0","101","1","","1610612766","203087","0","2","","1610612766"
"6","10","11:06","[BOS] Brown Pullup Jump shot: Missed","-45","178","2","0","79","2","","1610612738","1627759","0","2","","1610612738"
"7","11","11:03","[CHA] Howard Rebound (Off:0 Def:2)","-45","178","0","0","0","4","","1610612766","2730","0","2","","1610612738"
"8","12","10:54","[CHA 4-0] Kidd-Gilchrist Jump Shot: Made (2 PTS) Assist: Walker (1 AST)","99","167","2","0","1","1","","1610612766","203077","0","4","202689","1610612766"
"9","14","10:23","[BOS] Marc Morris Step Back Jump shot: Missed","-101","185","2","0","80","2","","1610612738","202694","0","4","","1610612738"
"10","15","10:21","[CHA] Howard Rebound (Off:0 Def:3)","-101","185","0","0","0","4","","1610612766","2730","0","4","","1610612738"
"11","16","10:15","[CHA] Howard Driving Layup Shot: Missed","1","47","2","0","6","2","203382","1610612766","2730","0","4","","1610612766"
"12","18","10:15","[CHA] Team Rebound","1","47","1","0","0","4","","1610612766","0","0","4","","1610612766"
"13","19","10:10","[BOS] Baynes Foul: Shooting (1 PF) (2 FTA) (C Blair)","-70","76","0","0","2","6","202689","1610612738","203382","0","4","","1610612766"
"14","21","10:10","[BOS] Team Timeout : Regular","0","-80","0","0","1","9","","1610612738","1610612738","0","4","","1610612766"
"15","23","10:10","Instant Replay - Support Ruling","0","-80","0","0","0","18","","0","0","0","4","","1610612766"
"16","25","10:10","[BOS] Irving Substitution replaced by Smart","0","-80","0","0","0","8","","1610612738","202681","0","4","203935","1610612766"
"17","26","10:10","[CHA 5-0] Walker Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612766","202689","0","5","","1610612766"
"18","27","10:10","[CHA 6-0] Walker Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612766","202689","0","6","","1610612766"
"19","28","09:52","[BOS] Tatum 3pt Shot: Missed","-161","203","3","0","1","2","","1610612738","1628369","0","6","","1610612738"
"20","29","09:49","[CHA] Howard Rebound (Off:0 Def:4)","-161","203","0","0","0","4","","1610612766","2730","0","6","","1610612738"
"21","30","09:43","[BOS] Tatum Foul: Shooting (1 PF) (2 FTA) (S Wright)","-36","804","0","0","2","6","2730","1610612738","1628369","0","6","","1610612766"
"22","32","09:43","[CHA] Howard Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612766","2730","0","6","","1610612766"
"23","33","09:43","[CHA] Team Rebound","0","-80","1","0","1","4","","1610612766","0","0","6","","1610612766"
"24","34","09:43","[CHA 7-0] Howard Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612766","2730","0","7","","1610612766"
"25","35","09:34","[BOS] Tatum 3pt Shot: Missed","-163","200","3","0","1","2","","1610612738","1628369","0","7","","1610612738"
"26","36","09:30","[CHA] Kidd-Gilchrist Rebound (Off:0 Def:1)","-163","200","0","0","0","4","","1610612766","203077","0","7","","1610612738"
"27","37","09:20","[CHA 9-0] Howard Dunk Shot: Made (3 PTS)","9","7","2","0","7","1","","1610612766","2730","0","9","","1610612766"
"28","39","08:58","[CHA] Howard Violation:Defensive Goaltending","0","-80","0","0","2","7","","1610612766","2730","0","9","","1610612738"
"29","40","08:54","[BOS 2-9] Brown Driving Hook Shot: Made (2 PTS)","-76","56","2","0","57","1","","1610612738","1627759","2","9","","1610612738"
"30","41","08:37","[CHA] Lamb Pullup Jump shot: Missed","3","165","2","0","79","2","","1610612766","203087","2","9","","1610612766"
"31","42","08:37","[BOS] Brown Rebound (Off:0 Def:1)","3","165","0","0","0","4","","1610612738","1627759","2","9","","1610612766"
"32","43","08:26","[BOS] Baynes Turnaround Hook Shot: Missed","-28","75","2","0","58","2","","1610612738","203382","2","9","","1610612738"
"33","44","08:24","[CHA] Lamb Rebound (Off:0 Def:1)","-28","75","0","0","0","4","","1610612766","203087","2","9","","1610612738"
"34","45","08:20","[CHA] Walker 3pt Shot: Missed","171","223","3","1","79","2","","1610612766","202689","2","9","","1610612766"
"35","46","08:17","[BOS] Brown Rebound (Off:0 Def:2)","171","223","0","0","0","4","","1610612738","1627759","2","9","","1610612766"
"36","47","08:07","[BOS] Brown 3pt Shot: Missed","157","182","3","0","1","2","","1610612738","1627759","2","9","","1610612738"
"37","48","08:04","[CHA] Williams Rebound (Off:0 Def:1)","157","182","0","0","0","4","","1610612766","101107","2","9","","1610612738"
"38","49","07:47","[CHA] Howard Turnover : Step Out of Bounds Turnover (1 TO)","-27","-38","0","0","39","5","","1610612766","2730","2","9","","1610612766"
"39","50","07:29","[BOS] Smart Driving Floating Jump Shot: Missed","35","53","2","0","101","2","","1610612738","203935","2","9","","1610612738"
"40","51","07:26","[CHA] Howard Rebound (Off:0 Def:5)","35","53","0","0","0","4","","1610612766","2730","2","9","","1610612738"
"41","52","07:13","[CHA] Howard Turnaround Bank Hook Shot: Missed","38","68","2","0","96","2","","1610612766","2730","2","9","","1610612766"
"42","53","07:10","[BOS] Baynes Rebound (Off:0 Def:1)","38","68","0","0","0","4","","1610612738","203382","2","9","","1610612766"
"43","54","07:03","[CHA] Lamb Foul: Personal (1 PF) (C Blair)","-77","187","0","0","1","6","202694","1610612766","203087","2","9","","1610612738"
"44","57","07:03","[CHA] Williams Substitution replaced by Kaminsky","0","-80","0","0","0","8","","1610612766","101107","2","9","1626163","1610612738"
"45","58","06:49","[BOS] Smart 3pt Shot: Missed","36","256","3","0","1","2","","1610612738","203935","2","9","","1610612738"
"46","59","06:45","[CHA] Howard Rebound (Off:0 Def:6)","36","256","0","0","0","4","","1610612766","2730","2","9","","1610612738"
"47","60","06:32","[CHA 11-2] Kidd-Gilchrist Jump Shot: Made (4 PTS) Assist: Walker (2 AST)","-44","201","2","0","1","1","","1610612766","203077","2","11","202689","1610612766"
"48","62","06:20","[CHA] Walker Foul: Shooting (1 PF) (2 FTA) (S Wright)","62","793","0","0","2","6","203935","1610612766","202689","2","11","","1610612738"
"49","64","06:20","[BOS 3-11] Smart Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612738","203935","3","11","","1610612738"
"50","65","06:20","[BOS] Smart Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612738","203935","3","11","","1610612738"
"51","66","06:18","[CHA] Kaminsky Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612766","1626163","3","11","","1610612738"
"52","67","06:02","[CHA] Kidd-Gilchrist Jump Shot: Missed","40","207","2","0","1","2","","1610612766","203077","3","11","","1610612766"
"53","68","05:59","[BOS] Marc Morris Rebound (Off:0 Def:1)","40","207","0","0","0","4","","1610612738","202694","3","11","","1610612766"
"54","69","05:47","[BOS] Smart 3pt Shot: Missed","152","205","3","0","1","2","","1610612738","203935","3","11","","1610612738"
"55","70","05:43","[CHA] Kidd-Gilchrist Rebound (Off:0 Def:2)","152","205","0","0","0","4","","1610612766","203077","3","11","","1610612738"
"56","71","05:25","[CHA] Howard Turnaround Fadeaway Bank Jump Shot: Missed","-93","52","2","0","105","2","","1610612766","2730","3","11","","1610612766"
"57","72","05:22","[BOS] Brown Rebound (Off:0 Def:3)","-93","52","0","0","0","4","","1610612738","1627759","3","11","","1610612766"
"58","73","05:13","[BOS 5-11] Marc Morris Pullup Jump shot: Made (2 PTS) Assist: Baynes (1 AST)","-43","122","2","0","79","1","","1610612738","202694","5","11","203382","1610612738"
"59","75","05:06","[CHA] Team Timeout : Regular","0","-80","0","0","1","9","","1610612766","1610612766","5","11","","1610612766"
"60","80","05:06","[BOS] Tatum Substitution replaced by Rozier","0","-80","0","0","0","8","","1610612738","1628369","5","11","1626179","1610612766"
"61","81","05:06","[BOS] Marc Morris Substitution replaced by Ojeleye","0","-80","0","0","0","8","","1610612738","202694","5","11","1628400","1610612766"
"62","82","05:06","[BOS] Baynes Substitution replaced by Theis","0","-80","0","0","0","8","","1610612738","203382","5","11","1628464","1610612766"
"63","83","05:06","[CHA] Howard Substitution replaced by Zeller","0","-80","0","0","0","8","","1610612766","2730","5","11","203469","1610612766"
"64","84","04:56","[BOS] Brown Foul: Defense 3 Second (1 PF) (1 FTA) (L Richardson)","0","-80","0","0","17","6","","1610612738","1627759","5","11","","1610612766"
"65","85","04:56","[CHA 12-5] Walker Free Throw Technical (3 PTS)","0","-80","1","0","16","3","","1610612766","202689","5","12","","1610612766"
"66","86","04:48","[CHA] Lamb Driving Floating Jump Shot: Missed","-60","47","2","0","101","2","1627759","1610612766","203087","5","12","","1610612766"
"67","87","04:47","[CHA] Team Rebound","-60","47","1","0","0","4","","1610612766","0","5","12","","1610612766"
"68","88","04:43","[CHA] Kaminsky 3pt Shot: Missed","165","223","3","0","1","2","","1610612766","1626163","5","12","","1610612766"
"69","89","04:41","[BOS] Brown Rebound (Off:0 Def:4)","165","223","0","0","0","4","","1610612738","1627759","5","12","","1610612766"
"70","90","04:27","[BOS] Smart Turnover : Bad Pass (1 TO) Steal:Walker (1 ST)","-88","268","1","0","1","5","202689","1610612738","203935","5","12","","1610612738"
"71","92","04:25","[CHA] Walker Turnover : Traveling (1 TO)","137","34","0","0","4","5","","1610612766","202689","5","12","","1610612766"
"72","94","04:09","[BOS 7-12] Theis Cutting Dunk Shot: Made (2 PTS) Assist: Smart (1 AST)","-13","11","2","0","108","1","","1610612738","1628464","7","12","203935","1610612738"
