"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:58","Jump Ball Gasol vs Lopez (Mills gains possession)","0","-80","0","0","0","10","201577","1610612759","2200","0","0","201988","1610612759"
"3","7","11:50","[SAS 2-0] Anderson Driving Layup Shot: Made (2 PTS)","15","8","2","0","6","1","","1610612759","203937","2","0","","1610612759"
"4","8","11:50","[CHI] Zipser Foul: Shooting (1 PF) (1 FTA) (B Forte)","25","1","0","0","2","6","203937","1610612741","1627835","2","0","","1610612741"
"5","10","11:50","[SAS 3-0] Anderson Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612759","203937","3","0","","1610612759"
"6","11","11:35","[CHI 2-3] Lopez Jump Shot: Made (2 PTS) Assist: Markkanen (1 AST)","36","86","2","0","1","1","","1610612741","201577","3","2","1628374","1610612741"
"7","13","11:14","[SAS] Aldridge Turnaround Fadeaway shot: Missed","64","74","2","0","86","2","","1610612759","200746","3","2","","1610612759"
"8","14","11:09","[SAS] Gasol Rebound (Off:1 Def:0)","64","74","1","0","0","4","","1610612759","2200","3","2","","1610612759"
"9","15","11:09","[SAS 5-2] Gasol Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612759","2200","5","2","","1610612759"
"10","16","11:00","[SAS] Anderson Foul: Personal (1 PF) (S Foster)","101","76","0","0","1","6","203200","1610612759","203937","5","2","","1610612741"
"11","18","10:52","[CHI 4-5] Grant Step Back Jump shot: Made (2 PTS)","-76","115","2","0","80","1","","1610612741","1626170","5","4","","1610612741"
"12","19","10:38","[SAS] Aldridge Layup Shot: Missed","-49","46","2","0","5","2","1628374","1610612759","200746","5","4","","1610612759"
"13","21","10:34","[CHI] Holiday Rebound (Off:0 Def:1)","-49","46","0","0","0","4","","1610612741","203200","5","4","","1610612759"
"14","22","10:30","[CHI] Holiday Pullup Jump shot: Missed","99","40","2","0","79","2","","1610612741","203200","5","4","","1610612741"
"15","23","10:27","[SAS] Mills Rebound (Off:0 Def:1)","99","40","0","0","0","4","","1610612759","201988","5","4","","1610612741"
"16","24","10:06","[SAS 8-4] Mills 3pt Shot: Made (3 PTS)","84","230","3","0","80","1","","1610612759","201988","8","4","","1610612759"
"17","25","09:59","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","8","4","","1610612741"
"18","26","09:43","[CHI] Zipser Layup Shot: Missed","-8","23","2","0","5","2","","1610612741","1627835","8","4","","1610612741"
"19","27","09:41","[SAS] Aldridge Rebound (Off:0 Def:1)","-8","23","0","0","0","4","","1610612759","200746","8","4","","1610612741"
"20","28","09:33","[SAS] Anderson Turnover : Bad Pass (1 TO) Steal:Zipser (1 ST)","98","84","1","0","1","5","1627835","1610612759","203937","8","4","","1610612759"
"21","30","09:24","[CHI 6-8] Zipser Floating Jump shot: Made (2 PTS)","-4","96","2","0","78","1","","1610612741","1627835","8","6","","1610612741"
"22","31","09:04","[CHI] Zipser Foul: Personal (2 PF) (S Foster)","71","114","0","0","1","6","1627854","1610612741","1627835","8","6","","1610612759"
"23","34","09:04","[CHI] Zipser Substitution replaced by Valentine","0","-80","0","0","0","8","","1610612741","1627835","8","6","1627756","1610612759"
