"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:55","Jump Ball Lopez vs Henson (Ball gains possession)","0","-80","0","0","0","10","203089","1610612747","201572","0","0","1628366","1610612747"
"3","7","11:47","[LAL] Caldwell-Pope Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","107","66","0","0","45","5","","1610612747","203484","0","0","","1610612747"
"4","8","11:32","[MIL] Middleton Jump Shot: Missed","-83","161","2","0","1","2","","1610612749","203114","0","0","","1610612749"
"5","9","11:29","[LAL] Ball Rebound (Off:0 Def:1)","-83","161","0","0","0","4","","1610612747","1628366","0","0","","1610612749"
"6","10","11:24","[MIL] Antetokounmpo Foul: Personal (1 PF) (R Acosta)","-131","4","0","0","1","6","1627742","1610612749","203507","0","0","","1610612747"
"7","12","11:10","[LAL] Lopez Hook Shot: Missed","13","91","2","0","3","2","","1610612747","201572","0","0","","1610612747"
"8","13","11:07","[MIL] Middleton Rebound (Off:0 Def:1)","13","91","0","0","0","4","","1610612749","203114","0","0","","1610612747"
"9","14","10:57","[MIL 2-0] Henson Hook Shot: Made (2 PTS) Assist: Antetokounmpo (1 AST)","-16","31","2","0","3","1","","1610612749","203089","2","0","203507","1610612749"
"10","16","10:49","[LAL 3-2] Ball 3pt Shot: Made (3 PTS)","-8","266","3","0","1","1","","1610612747","1628366","2","3","","1610612747"
"11","17","10:31","[MIL] Bledsoe Layup Shot: Missed","-79","36","2","0","5","2","1628366","1610612749","202339","2","3","","1610612749"
"12","19","10:31","[LAL] Ingram Rebound (Off:0 Def:1)","-79","36","0","0","0","4","","1610612747","1627742","2","3","","1610612749"
"13","20","10:31","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","3","","1610612747"
"14","21","10:26","[LAL] Lopez Jump Shot: Missed","6","88","2","0","1","2","","1610612747","201572","2","3","","1610612747"
"15","22","10:26","[MIL] Team Rebound","6","88","0","0","0","4","","1610612749","0","2","3","","1610612747"
"16","23","10:26","[LAL] Lopez Foul: Loose Ball (1 PF) (J Capers)","25","726","0","0","3","6","203507","1610612747","201572","2","3","","1610612749"
"17","25","10:17","[LAL] Ingram Foul: Personal (1 PF) (J Capers)","55","57","0","0","1","6","203507","1610612747","1627742","2","3","","1610612749"
"18","27","10:08","[MIL] Henson Turnover : Lost Ball (1 TO) Steal:Ball (1 ST)","-106","24","1","0","2","5","1628366","1610612749","203089","2","3","","1610612749"
"19","29","10:02","[LAL] Ingram Jump Shot: Missed","3","31","2","0","1","2","","1610612747","1627742","2","3","","1610612747"
"20","30","09:58","[MIL] Bledsoe Rebound (Off:0 Def:1)","3","31","0","0","0","4","","1610612749","202339","2","3","","1610612747"
"21","31","09:51","[MIL 4-3] Henson Turnaround Hook Shot: Made (4 PTS)","-51","3","2","0","58","1","","1610612749","203089","4","3","","1610612749"
"22","32","09:40","[LAL] Caldwell-Pope Pullup Jump shot: Missed","-130","-12","2","0","79","2","","1610612747","203484","4","3","","1610612747"
"23","33","09:36","[MIL] Henson Rebound (Off:0 Def:1)","-130","-12","0","0","0","4","","1610612749","203089","4","3","","1610612747"
"24","34","09:33","[LAL] Kuzma Foul: Shooting (1 PF) (2 FTA) (R Acosta)","32","807","0","0","2","6","203507","1610612747","1628398","4","3","","1610612749"
"25","36","09:33","[MIL 5-3] Antetokounmpo Free Throw 1 of 2 (1 PTS)","0","-80","1","1","11","3","","1610612749","203507","5","3","","1610612749"
"26","37","09:33","[MIL] Antetokounmpo Free Throw 2 of 2 Missed","0","-80","2","1","12","3","","1610612749","203507","5","3","","1610612749"
"27","38","09:29","[LAL] Kuzma Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612747","1628398","5","3","","1610612749"
"28","39","09:26","[LAL 5-5] Ingram Driving Dunk Shot: Made (2 PTS) Assist: Ball (1 AST)","0","5","2","0","9","1","","1610612747","1627742","5","5","1628366","1610612747"
"29","41","09:14","[MIL] Bledsoe Driving Reverse Layup Shot: Missed","-3","22","2","0","73","2","201572","1610612749","202339","5","5","","1610612749"
"30","43","09:14","[MIL] Team Rebound","-3","22","1","0","0","4","","1610612749","0","5","5","","1610612749"
"31","44","08:56","[MIL] Bledsoe 3pt Shot: Missed","157","210","3","0","1","2","","1610612749","202339","5","5","","1610612749"
"32","45","08:53","[MIL] Snell Rebound (Off:1 Def:0)","157","210","1","0","0","4","","1610612749","203503","5","5","","1610612749"
"33","46","08:50","[MIL 7-5] Henson Alley Oop Dunk Shot: Made (6 PTS) Assist: Middleton (1 AST)","-3","29","2","0","52","1","","1610612749","203089","7","5","203114","1610612749"
"34","71","08:38","[LAL] Kuzma Alley Oop Layup shot: Missed","-3","21","2","0","43","2","","1610612747","1628398","7","5","","1610612747"
