"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:52","Jump Ball Porzingis vs Cauley-Stein (Kanter gains possession)","0","-80","0","0","0","10","1626161","1610612752","204001","0","0","202683","1610612752"
"3","7","11:47","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","0","","1610612752"
"4","8","11:42","[NYK] Hardaway Jr. Hook Shot: Missed","5","63","2","0","3","2","","1610612752","203501","0","0","","1610612752"
"5","9","11:36","[SAC] G Hill Rebound (Off:0 Def:1)","5","63","0","0","0","4","","1610612758","201588","0","0","","1610612752"
"6","10","11:24","[SAC] Cauley-Stein Dunk Shot: Missed","-14","5","2","0","7","2","204001","1610612758","1626161","0","0","","1610612758"
"7","12","11:21","[NYK] Jack Rebound (Off:0 Def:1)","-14","5","0","0","0","4","","1610612752","101127","0","0","","1610612758"
"8","13","11:18","[NYK] Kanter Driving Layup Shot: Missed","3","10","2","0","6","2","203992","1610612752","202683","0","0","","1610612752"
"9","15","11:16","[SAC] Cauley-Stein Rebound (Off:0 Def:1)","3","10","0","0","0","4","","1610612758","1626161","0","0","","1610612752"
"10","16","11:05","[SAC 2-0] Cauley-Stein Hook Shot: Made (2 PTS)","5","33","2","0","3","1","","1610612758","1626161","0","2","","1610612758"
"11","17","10:49","[NYK] Kanter Reverse Layup Shot: Missed","13","6","2","0","44","2","","1610612752","202683","0","2","","1610612752"
"12","18","10:46","[SAC] Randolph Rebound (Off:0 Def:1)","13","6","0","0","0","4","","1610612758","2216","0","2","","1610612752"
"13","19","10:42","[SAC] Temple 3pt Shot: Missed","-225","-12","3","0","1","2","","1610612758","202066","0","2","","1610612758"
"14","20","10:39","[SAC] Cauley-Stein Rebound (Off:1 Def:1)","-225","-12","1","0","0","4","","1610612758","1626161","0","2","","1610612758"
"15","21","10:37","[SAC 4-0] Bogdanovic Jump Shot: Made (2 PTS) Assist: Cauley-Stein (1 AST)","-16","159","2","0","1","1","","1610612758","203992","0","4","1626161","1610612758"
"16","23","10:25","[NYK] Kanter Turnover : Out of Bounds Lost Ball Turnover (1 TO)","2","59","0","0","40","5","","1610612752","202683","0","4","","1610612752"
"17","24","10:10","[SAC 7-0] Temple 3pt Shot: Made (3 PTS) Assist: Cauley-Stein (2 AST)","-93","234","3","0","1","1","","1610612758","202066","0","7","1626161","1610612758"
"18","26","09:54","[SAC] Temple Foul: Personal (1 PF) (R Garretson)","118","158","0","0","1","6","203501","1610612758","202066","0","7","","1610612752"
"19","28","09:49","[NYK] Porzingis 3pt Shot: Missed","47","274","3","0","1","2","","1610612752","204001","0","7","","1610612752"
"20","29","09:46","[SAC] Temple Rebound (Off:0 Def:1)","47","274","0","0","0","4","","1610612758","202066","0","7","","1610612752"
"21","30","09:27","[SAC] Cauley-Stein Reverse Layup Shot: Missed","-6","12","2","0","44","2","","1610612758","1626161","0","7","","1610612758"
"22","31","09:25","[NYK] Kanter Rebound (Off:0 Def:1)","-6","12","0","0","0","4","","1610612752","202683","0","7","","1610612758"
"23","32","09:21","[NYK] Jack Turnover : Bad Pass (1 TO) Steal:Bogdanovic (1 ST)","-76","156","1","0","1","5","203992","1610612752","101127","0","7","","1610612752"
"24","34","09:11","[NYK] Kanter Foul: Personal (1 PF) (R Garretson)","112","145","0","0","1","6","2216","1610612752","202683","0","7","","1610612758"
"25","36","09:00","[SAC 10-0] G Hill 3pt Shot: Made (3 PTS) Assist: Cauley-Stein (3 AST)","54","249","3","0","1","1","","1610612758","201588","0","10","1626161","1610612758"
"26","38","08:38","[NYK] Porzingis Jump Shot: Missed","-63","147","2","0","1","2","","1610612752","204001","0","10","","1610612752"
"27","39","08:33","[NYK] Kanter Rebound (Off:1 Def:1)","-63","147","1","0","0","4","","1610612752","202683","0","10","","1610612752"
"28","40","08:33","[NYK 2-10] Kanter Putback Layup Shot: Made (2 PTS)","0","-5","2","0","72","1","","1610612752","202683","2","10","","1610612752"
"29","41","08:19","[SAC 12-2] Bogdanovic Turnaround Jump Shot: Made (4 PTS) Assist: Temple (1 AST)","35","31","2","0","47","1","","1610612758","203992","2","12","202066","1610612758"
"30","43","08:01","[NYK] Hardaway Jr. 3pt Shot: Missed","-11","247","3","0","1","2","","1610612752","203501","2","12","","1610612752"
"31","44","07:57","[SAC] Randolph Rebound (Off:0 Def:2)","-11","247","0","0","0","4","","1610612758","2216","2","12","","1610612752"
"32","45","07:54","[NYK] Jack Foul: Shooting (1 PF) (2 FTA) (J Goldenberg)","-11","792","0","0","2","6","201588","1610612752","101127","2","12","","1610612758"
"33","47","07:54","[SAC] G Hill Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612758","201588","2","12","","1610612758"
"34","48","07:54","[SAC] Team Rebound","0","-80","1","0","1","4","","1610612758","0","2","12","","1610612758"
"35","49","07:54","[SAC 13-2] G Hill Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612758","201588","2","13","","1610612758"
"36","50","07:43","[NYK] Porzingis Jump Shot: Missed","-12","199","2","0","1","2","","1610612752","204001","2","13","","1610612752"
"37","51","07:41","[NYK] Team Rebound","-12","199","1","0","0","4","","1610612752","0","2","13","","1610612752"
"38","52","07:39","[NYK 4-13] Jack Jump Shot: Made (2 PTS) Assist: Hardaway Jr. (1 AST)","108","136","2","0","1","1","","1610612752","101127","4","13","203501","1610612752"
"39","54","07:18","[SAC] Bogdanovic 3pt Shot: Missed","92","255","3","0","1","2","","1610612758","203992","4","13","","1610612758"
"40","55","07:15","[NYK] Jack Rebound (Off:0 Def:2)","92","255","0","0","0","4","","1610612752","101127","4","13","","1610612758"
"41","56","07:07","[NYK 7-13] Porzingis 3pt Shot: Made (3 PTS) Assist: Lee (1 AST)","-104","231","3","0","1","1","","1610612752","204001","7","13","201584","1610612752"
"42","58","06:38","[SAC] Cauley-Stein Turnover : Lost Ball (1 TO) Steal:Hardaway Jr. (1 ST)","94","128","1","0","2","5","203501","1610612758","1626161","7","13","","1610612758"
"43","60","06:32","[NYK 10-13] Lee 3pt Shot: Made (3 PTS) Assist: Hardaway Jr. (2 AST)","145","215","3","1","1","1","","1610612752","201584","10","13","203501","1610612752"
"44","62","06:15","[SAC] G Hill 3pt Shot: Missed","175","191","3","0","1","2","","1610612758","201588","10","13","","1610612758"
"45","63","06:13","[NYK] Team Rebound","175","191","0","0","0","4","","1610612752","0","10","13","","1610612758"
"46","64","06:13","[NYK] Team Timeout : Regular","0","-80","0","0","1","9","","1610612752","1610612752","10","13","","1610612752"
"47","65","05:50","[NYK 13-13] Jack 3pt Shot: Made (5 PTS)","154","229","3","0","1","1","","1610612752","101127","13","13","","1610612752"
"48","66","05:26","[SAC] Randolph Turnover : Lost Ball (1 TO) Steal:Kanter (1 ST)","121","101","1","0","2","5","202683","1610612758","2216","13","13","","1610612758"
"49","68","05:21","[NYK] Hardaway Jr. 3pt Shot: Missed","149","213","3","0","1","2","","1610612752","203501","13","13","","1610612752"
"50","69","05:18","[SAC] G Hill Rebound (Off:0 Def:2)","149","213","0","0","0","4","","1610612758","201588","13","13","","1610612752"
"51","70","05:05","[SAC 15-13] Randolph Jump Shot: Made (2 PTS) Assist: G Hill (1 AST)","-91","119","2","0","1","1","","1610612758","2216","13","15","201588","1610612758"
"52","72","04:42","[NYK 15-15] Porzingis Layup Shot: Made (5 PTS)","10","12","2","0","5","1","","1610612752","204001","15","15","","1610612752"
"53","73","04:17","[SAC] Bogdanovic Turnover : Traveling (1 TO)","-37","255","0","0","4","5","","1610612758","203992","15","15","","1610612758"
"54","75","04:17","[SAC] Bogdanovic Substitution replaced by Hield","0","-80","0","0","0","8","","1610612758","203992","15","15","1627741","1610612752"
"55","76","04:11","[SAC] Cauley-Stein Foul: Personal (1 PF) (R Garretson)","-30","29","0","0","1","6","204001","1610612758","1626161","15","15","","1610612752"
"56","80","04:11","[NYK] Lee Substitution replaced by McDermott","0","-80","0","0","0","8","","1610612752","201584","15","15","203926","1610612752"
"57","81","04:11","[SAC] Cauley-Stein Substitution replaced by Koufos","0","-80","0","0","0","8","","1610612758","1626161","15","15","201585","1610612752"
"58","82","04:05","[NYK 18-15] Porzingis 3pt Shot: Made (8 PTS) Assist: Jack (1 AST)","-115","237","3","0","1","1","","1610612752","204001","18","15","101127","1610612752"
"59","84","03:47","[SAC 17-18] Randolph Jump Shot: Made (4 PTS) Assist: G Hill (2 AST)","-52","165","2","0","1","1","","1610612758","2216","18","17","201588","1610612758"
"60","86","03:34","[NYK] Hardaway Jr. 3pt Shot: Missed","35","258","3","0","1","2","","1610612752","203501","18","17","","1610612752"
"61","87","03:33","[NYK] Team Rebound","35","258","1","0","0","4","","1610612752","0","18","17","","1610612752"
"62","88","03:33","[SAC] Hield Foul: Loose Ball (1 PF) (B Taylor)","15","30","0","0","3","6","202683","1610612758","1627741","18","17","","1610612752"
"63","93","03:33","[NYK] Jack Substitution replaced by Ntilikina","0","-80","0","0","0","8","","1610612752","101127","18","17","1628373","1610612752"
"64","94","03:33","[SAC] G Hill Substitution replaced by Jackson","0","-80","0","0","0","8","","1610612758","201588","18","17","1628382","1610612752"
"65","95","03:33","[SAC] Temple Substitution replaced by Fox","0","-80","0","0","0","8","","1610612758","202066","18","17","1628368","1610612752"
"66","96","03:24","[NYK 20-17] Kanter Layup Shot: Made (4 PTS)","-11","45","2","0","5","1","","1610612752","202683","20","17","","1610612752"
"67","97","03:04","[SAC] Hield 3pt Shot: Missed","-55","250","3","0","1","2","","1610612758","1627741","20","17","","1610612758"
"68","98","03:01","[NYK] Kanter Rebound (Off:1 Def:2)","-55","250","0","0","0","4","","1610612752","202683","20","17","","1610612758"
"69","99","02:56","[SAC] Randolph Violation:Kicked Ball (R Garretson)","0","-80","0","0","5","7","","1610612758","2216","20","17","","1610612752"
"70","100","02:56","[SAC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612758","1610612758","20","17","","1610612752"
"71","103","02:56","[NYK] Kanter Substitution replaced by O'Quinn","0","-80","0","0","0","8","","1610612752","202683","20","17","203124","1610612752"
"72","104","02:56","[SAC] Randolph Substitution replaced by Labissiere","0","-80","0","0","0","8","","1610612758","2216","20","17","1627746","1610612752"
"73","105","02:48","[NYK 22-17] Hardaway Jr. Driving Layup Shot: Made (2 PTS)","3","3","2","0","6","1","","1610612752","203501","22","17","","1610612752"
"74","106","02:34","[SAC] Labissiere Turnover : Bad Pass (1 TO) Steal:O'Quinn (1 ST)","-32","257","1","0","1","5","203124","1610612758","1627746","22","17","","1610612758"
"75","108","02:20","[NYK] Porzingis Reverse Layup Shot: Missed","4","5","2","0","44","2","","1610612752","204001","22","17","","1610612752"
"76","109","02:18","[SAC] Fox Rebound (Off:0 Def:1)","4","5","0","0","0","4","","1610612758","1628368","22","17","","1610612752"
