"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:58","Jump Ball Capela vs Turner (Anderson gains possession)","0","-80","0","0","0","10","1626167","1610612745","203991","0","0","201583","1610612745"
"3","7","11:48","[HOU 2-0] Capela Alley Oop Dunk Shot: Made (2 PTS) Assist: Harden (1 AST)","0","2","2","0","52","1","","1610612745","203991","0","2","201935","1610612745"
"4","9","11:25","[IND] Young 3pt Shot: Missed","-230","0","3","0","1","2","","1610612754","201152","0","2","","1610612754"
"5","10","11:22","[HOU] Capela Rebound (Off:0 Def:1)","-230","0","0","0","0","4","","1610612745","203991","0","2","","1610612754"
"6","11","11:19","[HOU 4-0] Gordon Cutting Layup Shot: Made (2 PTS) Assist: Harden (2 AST)","0","8","2","1","98","1","","1610612745","201569","0","4","201935","1610612745"
"7","13","11:03","[IND] Young Hook Shot: Missed","-17","48","2","0","3","2","","1610612754","201152","0","4","","1610612754"
"8","14","11:00","[HOU] Capela Rebound (Off:0 Def:2)","-17","48","0","0","0","4","","1610612745","203991","0","4","","1610612754"
"9","15","10:57","[HOU] Gordon 3pt Shot: Missed","-103","243","3","0","1","2","","1610612745","201569","0","4","","1610612745"
"10","16","10:53","[IND] Oladipo Rebound (Off:0 Def:1)","-103","243","0","0","0","4","","1610612754","203506","0","4","","1610612745"
"11","17","10:47","[IND 2-4] Oladipo Pullup Jump shot: Made (2 PTS)","139","41","2","1","79","1","","1610612754","203506","2","4","","1610612754"
"12","18","10:36","[HOU 6-2] Gordon Driving Finger Roll Layup Shot: Made (4 PTS)","1","9","2","0","75","1","","1610612745","201569","2","6","","1610612745"
"13","19","10:13","[IND] Oladipo 3pt Shot: Missed","-7","268","3","0","1","2","","1610612754","203506","2","6","","1610612754"
"14","20","10:09","[HOU] Capela Rebound (Off:0 Def:3)","-7","268","0","0","0","4","","1610612745","203991","2","6","","1610612754"
"15","21","10:02","[HOU] Capela Layup Shot: Missed","-5","15","2","0","5","2","","1610612745","203991","2","6","","1610612745"
"16","22","10:00","[IND] Young Rebound (Off:0 Def:1)","-5","15","0","0","0","4","","1610612754","201152","2","6","","1610612745"
"17","23","09:56","[IND] Collison Turnover : Lost Ball (1 TO) Steal:Harden (1 ST)","76","356","1","0","2","5","201935","1610612754","201954","2","6","","1610612754"
"18","25","09:52","[HOU 8-2] Harden Running Finger Roll Layup Shot: Made (2 PTS)","-3","10","2","1","76","1","","1610612745","201935","2","8","","1610612745"
"19","26","09:29","[IND] Bogdanovic Hook Shot: Missed","-39","33","2","0","3","2","","1610612754","202711","2","8","","1610612754"
"20","27","09:25","[HOU] Anderson Rebound (Off:0 Def:1)","-39","33","0","0","0","4","","1610612745","201583","2","8","","1610612754"
"21","28","09:24","[HOU] Harden Turnover : Bad Pass (1 TO) Steal:Young (1 ST)","115","775","1","0","1","5","201152","1610612745","201935","2","8","","1610612745"
"22","30","09:21","[IND] Bogdanovic 3pt Shot: Missed","-209","153","3","0","1","2","","1610612754","202711","2","8","","1610612754"
"23","31","09:17","[HOU] Anderson Rebound (Off:0 Def:2)","-209","153","0","0","0","4","","1610612745","201583","2","8","","1610612754"
"24","32","09:09","[HOU 11-2] Anderson 3pt Shot: Made (3 PTS) Assist: Harden (3 AST)","-18","265","3","0","1","1","","1610612745","201583","2","11","201935","1610612745"
"25","34","08:49","[IND] Collison Pullup Jump shot: Missed","10","167","2","0","79","2","201569","1610612754","201954","2","11","","1610612754"
"26","36","08:46","[HOU] Gordon Rebound (Off:0 Def:1)","10","167","0","0","0","4","","1610612745","201569","2","11","","1610612754"
"27","37","08:43","[IND] Oladipo Foul: Shooting (1 PF) (2 FTA) (S Wall)","-6","822","0","0","2","6","201569","1610612754","203506","2","11","","1610612745"
"28","39","08:43","[HOU 12-2] Gordon Free Throw 1 of 2 (5 PTS)","0","-80","1","1","11","3","","1610612745","201569","2","12","","1610612745"
"29","40","08:43","[HOU 13-2] Gordon Free Throw 2 of 2 (6 PTS)","0","-80","1","1","12","3","","1610612745","201569","2","13","","1610612745"
"30","41","08:40","[IND] Team Timeout : Regular","0","-80","0","0","1","9","","1610612754","1610612754","2","13","","1610612754"
"31","42","08:22","[IND 4-13] Turner Jump Shot: Made (2 PTS) Assist: Oladipo (1 AST)","187","8","2","0","1","1","","1610612754","1626167","4","13","203506","1610612754"
"32","44","08:07","[HOU 15-4] Capela Cutting Dunk Shot: Made (4 PTS) Assist: Harden (4 AST)","-2","9","2","0","108","1","","1610612745","203991","4","15","201935","1610612745"
"33","46","07:49","[IND] Turner Hook Shot: Missed","-18","62","2","0","3","2","","1610612754","1626167","4","15","","1610612754"
"34","47","07:47","[HOU] Capela Rebound (Off:0 Def:4)","-18","62","0","0","0","4","","1610612745","203991","4","15","","1610612754"
"35","48","07:37","[HOU 18-4] Ariza 3pt Shot: Made (3 PTS) Assist: Harden (5 AST)","-233","-8","3","0","1","1","","1610612745","2772","4","18","201935","1610612745"
"36","50","07:22","[IND] Bogdanovic Turnover : Traveling (1 TO)","-229","14","0","0","4","5","","1610612754","202711","4","18","","1610612754"
"37","51","07:04","[HOU] Capela Foul: Offensive (1 PF) (K Fitzgerald)","-31","45","0","0","4","6","203506","1610612745","203991","4","18","","1610612745"
"38","53","07:04","[HOU] Capela Turnover : Offensive Foul Turnover (1 TO)","-31","45","0","0","37","5","","1610612745","203991","4","18","","1610612745"
"39","54","06:52","[IND 6-18] Oladipo Jump Shot: Made (4 PTS) Assist: Turner (1 AST)","14","194","2","0","1","1","","1610612754","203506","6","18","1626167","1610612754"
"40","56","06:39","[HOU 21-6] Ariza 3pt Shot: Made (6 PTS) Assist: Gordon (1 AST)","-223","-2","3","0","1","1","","1610612745","2772","6","21","201569","1610612745"
"41","58","06:31","[IND] Oladipo Jump Shot: Missed","62","166","2","0","1","2","","1610612754","203506","6","21","","1610612754"
"42","59","06:29","[HOU] Harden Rebound (Off:0 Def:1)","62","166","0","0","0","4","","1610612745","201935","6","21","","1610612754"
"43","60","06:25","[HOU] Harden Turnover : Bad Pass (2 TO) Steal:Bogdanovic (1 ST)","-4","272","1","0","1","5","202711","1610612745","201935","6","21","","1610612745"
"44","62","06:21","[IND 9-21] Collison 3pt Shot: Made (3 PTS) Assist: Bogdanovic (1 AST)","-204","171","3","1","1","1","","1610612754","201954","9","21","202711","1610612754"
"45","64","06:11","[HOU 24-9] Gordon 3pt Shot: Made (9 PTS) Assist: Harden (6 AST)","130","272","3","0","1","1","","1610612745","201569","9","24","201935","1610612745"
"46","66","05:49","[IND] Young Hook Bank Shot: Missed","-96","51","2","0","67","2","","1610612754","201152","9","24","","1610612754"
"47","67","05:47","[HOU] Capela Rebound (Off:0 Def:5)","-96","51","0","0","0","4","","1610612745","203991","9","24","","1610612754"
"48","68","05:42","[HOU] Ariza 3pt Shot: Missed","-108","238","3","0","1","2","","1610612745","2772","9","24","","1610612745"
"49","69","05:37","[HOU] Anderson Rebound (Off:1 Def:2)","-108","238","1","0","0","4","","1610612745","201583","9","24","","1610612745"
"50","70","05:37","[HOU] Anderson Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612745","201583","9","24","","1610612745"
"51","71","05:37","[IND] Young Rebound (Off:0 Def:2)","0","-5","0","0","0","4","","1610612754","201152","9","24","","1610612745"
"52","72","05:32","[IND] Bogdanovic Reverse Layup Shot: Missed","-5","10","2","0","44","2","","1610612754","202711","9","24","","1610612754"
"53","73","05:28","[IND] Turner Rebound (Off:1 Def:0)","-5","10","1","0","0","4","","1610612754","1626167","9","24","","1610612754"
"54","74","05:28","[IND 11-24] Turner Tip Layup Shot: Made (4 PTS)","0","-5","2","0","97","1","","1610612754","1626167","11","24","","1610612754"
"55","75","05:19","[HOU] Ariza 3pt Shot: Missed","226","65","3","0","1","2","","1610612745","2772","11","24","","1610612745"
"56","76","05:15","[IND] Young Rebound (Off:0 Def:3)","226","65","0","0","0","4","","1610612754","201152","11","24","","1610612745"
"57","77","05:01","[IND 14-24] Bogdanovic 3pt Shot: Made (3 PTS) Assist: Turner (2 AST)","226","15","3","0","1","1","","1610612754","202711","14","24","1626167","1610612754"
"58","79","04:57","[HOU] Team Timeout : Regular","0","-80","0","0","1","9","","1610612745","1610612745","14","24","","1610612745"
"59","83","04:57","[HOU] Gordon Substitution replaced by Mbah a Moute","0","-80","0","0","0","8","","1610612745","201569","14","24","201601","1610612745"
"60","84","04:57","[HOU] Capela Substitution replaced by Black","0","-80","0","0","0","8","","1610612745","203991","14","24","204028","1610612745"
"61","85","04:57","[HOU] Anderson Substitution replaced by Tucker","0","-80","0","0","0","8","","1610612745","201583","14","24","200782","1610612745"
"62","86","04:44","[HOU 26-14] Black Alley Oop Dunk Shot: Made (2 PTS) Assist: Harden (7 AST)","12","17","2","0","52","1","","1610612745","204028","14","26","201935","1610612745"
"63","88","04:23","[IND 16-26] Turner Turnaround Jump Shot: Made (6 PTS)","-148","-7","2","0","47","1","","1610612754","1626167","16","26","","1610612754"
"64","89","04:04","[HOU] Ariza Turnover : Bad Pass (1 TO) Steal:Collison (1 ST)","77","-4","1","0","1","5","201954","1610612745","2772","16","26","","1610612745"
"65","91","04:00","[IND] Bogdanovic 3pt Shot: Missed","228","21","3","0","1","2","","1610612754","202711","16","26","","1610612754"
"66","92","03:58","[IND] Team Rebound","228","21","1","0","0","4","","1610612754","0","16","26","","1610612754"
"67","93","03:58","[HOU] Black Foul: Loose Ball (1 PF) (B Taylor)","-66","19","0","0","3","6","201152","1610612745","204028","16","26","","1610612754"
"68","97","03:58","[IND] Young Substitution replaced by Joseph","0","-80","0","0","0","8","","1610612754","201152","16","26","202709","1610612754"
"69","98","03:58","[IND] Bogdanovic Substitution replaced by Sabonis","0","-80","0","0","0","8","","1610612754","202711","16","26","1627734","1610612754"
"70","99","03:44","[IND] Sabonis Layup Shot: Missed","-25","24","2","0","5","2","204028","1610612754","1627734","16","26","","1610612754"
"71","101","03:41","[HOU] Ariza Rebound (Off:0 Def:1)","-3","32","0","0","0","4","","1610612745","2772","16","26","","1610612754"
"72","102","03:37","[HOU 29-16] Mbah a Moute 3pt Shot: Made (3 PTS) Assist: Ariza (1 AST)","224","42","3","1","1","1","","1610612745","201601","16","29","2772","1610612745"
"73","104","03:18","[HOU] Mbah a Moute Foul: Personal (1 PF) (K Fitzgerald)","57","166","0","0","1","6","1626167","1610612745","201601","16","29","","1610612754"
"74","107","03:18","[IND] Collison Substitution replaced by Stephenson","0","-80","0","0","0","8","","1610612754","201954","16","29","202362","1610612754"
"75","108","03:04","[IND] Turner Turnaround Jump Shot: Missed","-5","131","2","0","47","2","","1610612754","1626167","16","29","","1610612754"
"76","109","03:00","[HOU] Black Rebound (Off:0 Def:1)","-5","131","0","0","0","4","","1610612745","204028","16","29","","1610612754"
"77","110","02:55","[IND] Sabonis Foul: Loose Ball (1 PF) (S Wall)","51","12","0","0","3","6","204028","1610612754","1627734","16","29","","1610612745"
"78","112","02:53","[HOU] Black Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","96","203","0","0","45","5","","1610612745","204028","16","29","","1610612745"
"79","113","02:32","[IND] Stephenson Pullup Jump shot: Missed","136","135","2","0","79","2","","1610612754","202362","16","29","","1610612754"
"80","114","02:30","[HOU] Harden Rebound (Off:0 Def:2)","136","135","0","0","0","4","","1610612745","201935","16","29","","1610612754"
"81","115","02:25","[HOU] Harden Layup Shot: Missed","1","14","2","0","5","2","202709","1610612745","201935","16","29","","1610612745"
"82","117","02:25","[HOU] Team Rebound","1","14","1","0","0","4","","1610612745","0","16","29","","1610612745"
"83","118","02:17","[HOU] Harden 3pt Shot: Missed","-222","-9","3","0","80","2","","1610612745","201935","16","29","","1610612745"
"84","119","02:14","[HOU] Black Rebound (Off:1 Def:1)","-222","-9","1","0","0","4","","1610612745","204028","16","29","","1610612745"
"85","120","02:10","[IND] Stephenson Foul: Personal (1 PF) (B Taylor)","-3","134","0","0","1","6","201935","1610612754","202362","16","29","","1610612745"
"86","123","02:10","[IND] Turner Substitution replaced by Leaf","0","-80","0","0","0","8","","1610612754","1626167","16","29","1628388","1610612745"
"87","124","01:59","[HOU] Harden Driving Layup Shot: Missed","1","24","2","0","6","2","","1610612745","201935","16","29","","1610612745"
"88","125","01:58","[HOU] Team Rebound","1","24","1","0","0","4","","1610612745","0","16","29","","1610612745"
"89","126","01:55","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","16","29","","1610612745"
"90","127","01:44","[HOU 31-16] Harden Driving Layup Shot: Made (4 PTS)","-2","13","2","0","6","1","","1610612745","201935","16","31","","1610612745"
"91","128","01:24","[IND] Leaf Jump Shot: Missed","-175","14","2","0","1","2","","1610612754","1628388","16","31","","1610612754"
"92","129","01:22","[IND] Sabonis Rebound (Off:1 Def:0)","-175","14","1","0","0","4","","1610612754","1627734","16","31","","1610612754"
"93","130","01:22","[IND 18-31] Sabonis Putback Layup Shot: Made (2 PTS)","0","1","2","0","72","1","","1610612754","1627734","18","31","","1610612754"
"94","131","01:08","[HOU 33-18] Black Cutting Layup Shot: Made (4 PTS) Assist: Harden (8 AST)","1","15","2","0","98","1","","1610612745","204028","18","33","201935","1610612745"
"95","133","00:52.5","[IND] Leaf Turnover : Bad Pass (1 TO) Steal:Ariza (1 ST)","-212","26","1","0","1","5","2772","1610612754","1628388","18","33","","1610612754"
"96","135","00:48.4","[HOU] Ariza 3pt Shot: Missed","141","215","3","0","1","2","","1610612745","2772","18","33","","1610612745"
"97","136","00:44.8","[IND] Leaf Rebound (Off:0 Def:1)","141","215","0","0","0","4","","1610612754","1628388","18","33","","1610612745"
"98","137","00:33.2","[IND] Stephenson Turnover : Bad Pass (1 TO) Steal:Black (1 ST)","49","171","1","0","1","5","204028","1610612754","202362","18","33","","1610612754"
"99","139","00:33.2","[HOU] Team Timeout : Regular","0","-80","0","0","1","9","","1610612745","1610612745","18","33","","1610612745"
"100","142","00:33.2","[IND] Oladipo Substitution replaced by Bogdanovic","0","-80","0","0","0","8","","1610612754","203506","18","33","202711","1610612745"
"101","143","00:33.2","[HOU] Ariza Substitution replaced by Anderson","0","-80","0","0","0","8","","1610612745","2772","18","33","201583","1610612745"
"102","144","00:28.4","[HOU] Harden 3pt Shot: Missed","81","260","3","0","1","2","","1610612745","201935","18","33","","1610612745"
"103","145","00:25.1","[HOU] Anderson Rebound (Off:2 Def:2)","81","260","1","0","0","4","","1610612745","201583","18","33","","1610612745"
"104","146","00:08.1","[HOU 35-18] Black Cutting Dunk Shot: Made (6 PTS) Assist: Harden (9 AST)","11","18","2","0","108","1","","1610612745","204028","18","35","201935","1610612745"
"105","148","00:02.3","[IND] Joseph Step Back Jump shot: Missed","161","21","2","0","80","2","","1610612754","202709","18","35","","1610612754"
"106","149","00:02.3","[IND] Team Rebound","161","21","1","0","0","4","","1610612754","0","18","35","","1610612754"
"107","150","00:00.0","End Period","0","-80","0","0","0","13","","0","0","18","35","","1610612754"
