"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Drummond vs Whiteside (Harris gains possession)","0","-80","0","0","0","10","202355","1610612765","203083","0","0","202699","1610612765"
"3","7","11:35","[DET] Bradley Floating Jump shot: Missed","22","43","2","0","78","2","","1610612765","202340","0","0","","1610612765"
"4","8","11:30","[MIA] Richardson Rebound (Off:0 Def:1)","22","43","0","0","0","4","","1610612748","1626196","0","0","","1610612765"
"5","9","11:16","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","0","","1610612748"
"6","10","11:11","[MIA] G Dragic Turnover : Lost Ball (1 TO)","-198","177","0","0","2","5","","1610612748","201609","0","0","","1610612748"
"7","11","10:56","[DET] Harris 3pt Shot: Missed","51","278","3","0","1","2","","1610612765","202699","0","0","","1610612765"
"8","12","10:53","[MIA] Waiters Rebound (Off:0 Def:1)","51","278","0","0","0","4","","1610612748","203079","0","0","","1610612765"
"9","13","10:45","[MIA 3-0] Richardson 3pt Shot: Made (3 PTS) Assist: Waiters (1 AST)","239","56","3","0","1","1","","1610612748","1626196","0","3","203079","1610612748"
"10","15","10:31","[DET] Bradley Pullup Jump shot: Missed","113","164","2","0","79","2","","1610612765","202340","0","3","","1610612765"
"11","16","10:28","[MIA] Winslow Rebound (Off:0 Def:1)","113","164","0","0","0","4","","1610612748","1626159","0","3","","1610612765"
"12","17","10:23","[MIA] Richardson 3pt Shot: Missed","210","141","3","0","1","2","","1610612748","1626196","0","3","","1610612748"
"13","18","10:18","[DET] Drummond Rebound (Off:0 Def:1)","210","141","0","0","0","4","","1610612765","203083","0","3","","1610612748"
"14","19","10:06","[DET] Bradley Turnover : Bad Pass (1 TO) Steal:Whiteside (1 ST)","-38","59","1","0","1","5","202355","1610612765","202340","0","3","","1610612765"
"15","21","09:58","[MIA] Waiters Turnover : Bad Pass (1 TO) Steal:Bradley (1 ST)","9","197","1","0","1","5","202340","1610612748","203079","0","3","","1610612748"
"16","23","09:53","[DET] Bradley Layup Shot: Missed","-8","-6","2","1","5","2","","1610612765","202340","0","3","","1610612765"
"17","24","09:51","[MIA] Waiters Rebound (Off:0 Def:2)","-8","-6","0","0","0","4","","1610612748","203079","0","3","","1610612765"
"18","25","09:47","[MIA] Richardson 3pt Shot: Missed","224","131","3","0","1","2","","1610612748","1626196","0","3","","1610612748"
"19","26","09:43","[DET] Harris Rebound (Off:0 Def:1)","224","131","0","0","0","4","","1610612765","202699","0","3","","1610612748"
"20","27","09:33","[MIA] Waiters Foul: Loose Ball (1 PF) (S Wright)","111","79","0","0","3","6","202699","1610612748","203079","0","3","","1610612765"
"21","29","09:23","[DET] Jackson Jump Shot: Missed","-87","161","2","0","1","2","","1610612765","202704","0","3","","1610612765"
"22","30","09:19","[MIA] Whiteside Rebound (Off:0 Def:1)","-87","161","0","0","0","4","","1610612748","202355","0","3","","1610612765"
"23","31","09:05","[MIA] Waiters 3pt Shot: Missed","127","234","3","0","1","2","","1610612748","203079","0","3","","1610612748"
"24","32","09:02","[DET] Bullock Rebound (Off:0 Def:1)","127","234","0","0","0","4","","1610612765","203493","0","3","","1610612748"
"25","33","08:50","[DET 2-3] Jackson Driving Floating Jump Shot: Made (2 PTS)","-3","140","2","0","101","1","","1610612765","202704","2","3","","1610612765"
"26","34","08:35","[MIA 6-2] Waiters 3pt Shot: Made (3 PTS) Assist: Winslow (1 AST)","245","42","3","0","1","1","","1610612748","203079","2","6","1626159","1610612748"
"27","36","08:21","[MIA] Waiters Foul: Personal (2 PF) (J Orr)","-35","151","0","0","1","6","203083","1610612748","203079","2","6","","1610612765"
