"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Valanciunas vs Horford (Ibaka gains possession)","0","-80","0","0","0","10","201143","1610612761","202685","0","0","201586","1610612761"
"3","7","11:49","[BOS] Smart Foul: Shooting (1 PF) (3 FTA)","0","-80","0","0","2","6","200768","1610612738","203935","0","0","","1610612761"
"4","9","11:49","[TOR 1-0] Lowry Free Throw 1 of 3 (1 PTS)","0","-80","1","0","13","3","","1610612761","200768","0","1","","1610612761"
"5","10","11:49","[TOR 2-0] Lowry Free Throw 2 of 3 (2 PTS)","0","-80","1","0","14","3","","1610612761","200768","0","2","","1610612761"
"6","11","11:49","[TOR 3-0] Lowry Free Throw 3 of 3 (3 PTS)","0","-80","1","0","15","3","","1610612761","200768","0","3","","1610612761"
"7","12","11:43","[TOR] Ibaka Foul: Personal (1 PF)","-32","85","0","0","1","6","203935","1610612761","201586","0","3","","1610612738"
"8","14","11:28","[BOS] Tatum Pullup Jump shot: Missed","-82","152","2","0","79","2","","1610612738","1628369","0","3","","1610612738"
"9","15","11:23","[TOR] Valanciunas Rebound (Off:0 Def:1)","-82","152","0","0","0","4","","1610612761","202685","0","3","","1610612738"
"10","16","11:11","[TOR] Powell Driving Reverse Layup Shot: Missed","11","14","2","0","73","2","","1610612761","1626181","0","3","","1610612761"
"11","17","11:11","[BOS] Baynes Rebound (Off:0 Def:1)","11","14","0","0","0","4","","1610612738","203382","0","3","","1610612761"
"12","18","11:03","[BOS 2-3] Brown Pullup Jump shot: Made (2 PTS) Assist: Horford (1 AST)","-14","132","2","0","79","1","","1610612738","1627759","2","3","201143","1610612738"
"13","20","10:47","[TOR] Valanciunas Turnover : Traveling (1 TO)","79","166","0","0","4","5","","1610612761","202685","2","3","","1610612761"
"14","21","10:36","[BOS 4-3] Brown Pullup Jump shot: Made (4 PTS) Assist: Baynes (1 AST)","76","141","2","0","79","1","","1610612738","1627759","4","3","203382","1610612738"
"15","23","10:12","[TOR] Lowry Turnover : Bad Pass (1 TO) Steal:Horford (1 ST)","110","180","1","0","1","5","201143","1610612761","200768","4","3","","1610612761"
"16","25","10:08","[BOS 6-3] Tatum Running Dunk Shot: Made (2 PTS) Assist: Brown (1 AST)","-16","1","2","1","50","1","","1610612738","1628369","6","3","1627759","1610612738"
"17","27","09:55","[BOS] Tatum Foul: Shooting (1 PF) (2 FTA)","-13","822","0","0","2","6","200768","1610612738","1628369","6","3","","1610612761"
"18","29","09:55","[TOR 4-6] Lowry Free Throw 1 of 2 (4 PTS)","0","-80","1","0","11","3","","1610612761","200768","6","4","","1610612761"
"19","30","09:55","[TOR 5-6] Lowry Free Throw 2 of 2 (5 PTS)","0","-80","1","0","12","3","","1610612761","200768","6","5","","1610612761"
"20","31","09:44","[TOR] Ibaka Foul: Defense 3 Second (2 PF) (1 FTA)","0","-80","0","0","17","6","","1610612761","201586","6","5","","1610612738"
"21","32","09:44","[BOS] Horford Free Throw Technical Missed","0","-80","2","0","16","3","","1610612738","201143","6","5","","1610612738"
"22","33","09:44","[BOS] Team Rebound","0","-80","1","0","1","4","","1610612738","0","6","5","","1610612738"
"23","34","09:38","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","6","5","","1610612738"
"24","35","09:36","[BOS] Brown Turnover : Bad Pass (1 TO) Steal:Powell (1 ST)","-46","-21","1","0","1","5","1626181","1610612738","1627759","6","5","","1610612738"
"25","37","09:25","[BOS] Horford Violation:Defensive Goaltending","0","-80","0","0","2","7","","1610612738","201143","6","5","","1610612761"
"26","38","09:25","[TOR 7-6] DeRozan Driving Finger Roll Layup Shot: Made (2 PTS)","5","17","2","0","75","1","","1610612761","201942","6","7","","1610612761"
"27","39","09:07","[BOS] Brown Layup Shot: Missed","-9","-9","2","0","5","2","201586","1610612738","1627759","6","7","","1610612738"
"28","41","08:58","[BOS] Brown Rebound (Off:1 Def:0)","-9","-9","1","0","0","4","","1610612738","1627759","6","7","","1610612738"
"29","42","08:58","[BOS 8-7] Brown Layup Shot: Made (6 PTS)","-9","0","2","0","5","1","","1610612738","1627759","8","7","","1610612738"
"30","43","08:52","[TOR] DeRozan Turnover : Bad Pass (1 TO) Steal:Brown (1 ST)","-157","222","1","0","1","5","1627759","1610612761","201942","8","7","","1610612761"
"31","45","08:51","[BOS] Tatum Foul: Offensive Charge (2 PF)","10","8","0","0","26","6","200768","1610612738","1628369","8","7","","1610612738"
"32","47","08:51","[BOS] Tatum Turnover : Offensive Foul Turnover (1 TO)","10","8","0","0","37","5","","1610612738","1628369","8","7","","1610612738"
"33","48","08:36","[TOR] Powell Step Back Jump shot: Missed","98","207","2","0","80","2","","1610612761","1626181","8","7","","1610612761"
"34","49","08:32","[BOS] Baynes Rebound (Off:0 Def:2)","98","207","0","0","0","4","","1610612738","203382","8","7","","1610612761"
"35","50","08:22","[BOS] Tatum 3pt Shot: Missed","149","192","3","0","1","2","","1610612738","1628369","8","7","","1610612738"
"36","51","08:19","[BOS] Horford Rebound (Off:1 Def:0)","149","192","1","0","0","4","","1610612738","201143","8","7","","1610612738"
"37","52","08:13","[TOR] Lowry Foul: Shooting (1 PF) (2 FTA)","48","19","0","0","2","6","203935","1610612761","200768","8","7","","1610612738"
