"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","9","11:45","[ATL] Dedmon Foul: Shooting (1 PF) (2 FTA) (L Wood)","0","-80","0","0","2","6","202326","1610612737","203473","0","0","","1610612740"
"3","11","11:45","[NOP] Cousins Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612740","202326","0","0","","1610612740"
"4","12","11:45","[NOP] Team Rebound","0","-80","1","0","1","4","","1610612740","0","0","0","","1610612740"
"5","13","11:45","[NOP 1-0] Cousins Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612740","202326","1","0","","1610612740"
"6","14","11:32","[ATL] Bazemore Jump Shot: Missed","0","192","2","0","1","2","","1610612737","203145","1","0","","1610612737"
"7","15","11:27","[NOP] Cousins Rebound (Off:0 Def:1)","0","192","0","0","0","4","","1610612740","202326","1","0","","1610612737"
"8","16","11:22","[NOP] Davis Turnover : Lost Ball (1 TO) Steal:Prince (1 ST)","114","117","1","0","2","5","1627752","1610612740","203076","1","0","","1610612740"
"9","18","11:16","[ATL 2-1] Prince Layup Shot: Made (2 PTS) Assist: Dedmon (1 AST)","-5","11","2","1","5","1","","1610612737","1627752","1","2","203473","1610612737"
"10","20","11:04","[NOP] Moore 3pt Shot: Missed","230","59","3","0","1","2","","1610612740","202734","1","2","","1610612740"
"11","21","11:00","[ATL] Dedmon Rebound (Off:0 Def:1)","230","59","0","0","0","4","","1610612737","203473","1","2","","1610612740"
"12","22","10:44","[ATL 4-1] Schroder Driving Layup Shot: Made (2 PTS)","-16","8","2","0","6","1","","1610612737","203471","1","4","","1610612737"
"13","23","10:35","[NOP] Cousins 3pt Shot: Missed","142","231","3","0","1","2","","1610612740","202326","1","4","","1610612740"
"14","24","10:30","[ATL] Schroder Rebound (Off:0 Def:1)","142","231","0","0","0","4","","1610612737","203471","1","4","","1610612740"
"15","25","10:12","[ATL 6-1] Dedmon Layup Shot: Made (2 PTS)","14","30","2","0","5","1","","1610612737","203473","1","6","","1610612737"
"16","26","09:52","[NOP 3-6] Moore Jump Shot: Made (2 PTS)","-8","51","2","0","1","1","","1610612740","202734","3","6","","1610612740"
"17","27","09:40","[ATL] Schroder 3pt Shot: Missed","-221","116","3","0","1","2","","1610612737","203471","3","6","","1610612737"
"18","28","09:37","[NOP] Moore Rebound (Off:0 Def:1)","-221","116","0","0","0","4","","1610612740","202734","3","6","","1610612737"
"19","29","09:34","[NOP] Moore Turnover : Bad Pass (1 TO) Steal:Prince (2 ST)","95","693","1","0","1","5","1627752","1610612740","202734","3","6","","1610612740"
"20","31","09:25","[NOP] Moore Foul: Personal (1 PF) (L Wood)","204","121","0","0","1","6","203145","1610612740","202734","3","6","","1610612737"
"21","68","09:11","[ATL] Prince Turnover : Bad Pass (1 TO) Steal:Davis (1 ST)","45","103","1","0","1","5","203076","1610612737","1627752","3","6","","1610612737"
"22","36","09:02","[NOP] Moore 3pt Shot: Missed","-225","0","3","1","1","2","","1610612740","202734","3","6","","1610612740"
"23","37","08:55","[ATL] Babbitt Rebound (Off:0 Def:1)","-225","0","0","0","0","4","","1610612737","202337","3","6","","1610612740"
"24","38","08:46","[ATL 9-3] Babbitt 3pt Shot: Made (3 PTS) Assist: Schroder (1 AST)","223","32","3","0","1","1","","1610612737","202337","3","9","203471","1610612737"
"25","40","08:31","[NOP] Moore Turnover : Bad Pass (2 TO) Steal:Bazemore (1 ST)","-122","184","1","0","1","5","203145","1610612740","202734","3","9","","1610612740"
"26","42","08:27","[ATL 11-3] Bazemore Layup Shot: Made (2 PTS)","11","11","2","1","5","1","","1610612737","203145","3","11","","1610612737"
"27","43","08:15","[NOP] Moore Jump Shot: Missed","12","133","2","0","1","2","","1610612740","202734","3","11","","1610612740"
"28","44","08:09","[NOP] Davis Rebound (Off:1 Def:0)","12","133","1","0","0","4","","1610612740","203076","3","11","","1610612740"
"29","45","08:07","[NOP 5-11] Davis Putback Layup Shot: Made (2 PTS)","10","118","2","0","72","1","","1610612740","203076","5","11","","1610612740"
"30","46","07:55","[ATL] Schroder Layup Shot: Missed","11","4","2","0","5","2","203076","1610612737","203471","5","11","","1610612737"
"31","48","07:55","[ATL] Team Rebound","11","4","1","0","0","4","","1610612737","0","5","11","","1610612737"
"32","49","07:53","[ATL 13-5] Schroder Jump Shot: Made (4 PTS) Assist: Bazemore (1 AST)","-123","15","2","0","1","1","","1610612737","203471","5","13","203145","1610612737"
"33","51","07:45","[ATL] Babbitt Foul: Personal (1 PF) (L Wood)","39","82","0","0","1","6","203076","1610612737","202337","5","13","","1610612740"
"34","54","07:45","[ATL] Babbitt Substitution replaced by Collins","0","-80","0","0","0","8","","1610612737","202337","5","13","1628381","1610612740"
"35","55","07:37","[NOP 7-13] Holiday Jump Shot: Made (2 PTS) Assist: Moore (1 AST)","-166","59","2","0","1","1","","1610612740","201950","7","13","202734","1610612740"
"36","56","07:26","[ATL] Bazemore 3pt Shot: Missed","26","250","3","0","1","2","","1610612737","203145","7","13","","1610612737"
"37","57","07:21","[NOP] Cunningham Rebound (Off:0 Def:1)","26","250","0","0","0","4","","1610612740","201967","7","13","","1610612737"
"38","58","07:11","[ATL] Collins Foul: Shooting (1 PF) (2 FTA) (T Washington)","-13","813","0","0","2","6","202326","1610612737","1628381","7","13","","1610612740"
"39","60","07:11","[NOP 8-13] Cousins Free Throw 1 of 2 (2 PTS)","0","-80","1","0","11","3","","1610612740","202326","8","13","","1610612740"
"40","62","07:11","[ATL] Dedmon Substitution replaced by Babbitt","0","-80","0","0","0","8","","1610612737","203473","8","13","202337","1610612740"
"41","63","07:11","[NOP 9-13] Cousins Free Throw 2 of 2 (3 PTS)","0","-80","1","0","12","3","","1610612740","202326","9","13","","1610612740"
"42","65","06:58","[NOP] Cousins Foul: Shooting (1 PF) (2 FTA) (T Washington)","-18","73","0","0","2","6","1627752","1610612740","202326","9","13","","1610612737"
"43","67","06:58","[NOP] Team Timeout : Regular","0","-80","0","0","1","9","","1610612740","1610612740","9","13","","1610612737"
"44","70","06:58","[ATL 14-9] Prince Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612737","1627752","9","14","","1610612737"
"45","71","06:58","[ATL 15-9] Prince Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612737","1627752","9","15","","1610612737"
"46","72","06:49","[ATL] Babbitt Foul: Defense 3 Second (2 PF) (1 FTA) (R Mott)","0","-80","0","0","17","6","","1610612737","202337","9","15","","1610612740"
"47","73","06:49","[NOP] Davis Free Throw Technical Missed","0","-80","2","0","16","3","","1610612740","203076","9","15","","1610612740"
"48","74","06:49","[NOP] Team Rebound","0","-80","1","0","1","4","","1610612740","0","9","15","","1610612740"
"49","75","06:38","[NOP] Holiday Jump Shot: Missed","-69","172","2","0","1","2","","1610612740","201950","9","15","","1610612740"
"50","76","06:33","[ATL] Prince Rebound (Off:0 Def:1)","-69","172","0","0","0","4","","1610612737","1627752","9","15","","1610612740"
"51","77","06:27","[ATL] Prince 3pt Shot: Missed","-132","231","3","0","1","2","","1610612737","1627752","9","15","","1610612737"
"52","78","06:22","[ATL] Collins Rebound (Off:1 Def:0)","-132","231","1","0","0","4","","1610612737","1628381","9","15","","1610612737"
"53","79","06:20","[ATL] Bazemore Layup Shot: Missed","11","12","2","0","5","2","203076","1610612737","203145","9","15","","1610612737"
"54","81","06:18","[NOP] Team Rebound","11","12","0","0","0","4","","1610612740","0","9","15","","1610612737"
"55","82","06:02","[NOP] Davis Foul: Offensive Charge (1 PF)","117","157","0","0","26","6","203471","1610612740","203076","9","15","","1610612740"
"56","84","06:02","[NOP] Davis Turnover : Offensive Foul Turnover (2 TO)","117","157","0","0","37","5","","1610612740","203076","9","15","","1610612740"
"57","86","06:02","[ATL] Bazemore Substitution replaced by Belinelli","0","-80","0","0","0","8","","1610612737","203145","9","15","201158","1610612737"
"58","87","05:48","[ATL] Babbitt Turnover : Bad Pass (1 TO) Steal:Moore (1 ST)","-148","155","1","0","1","5","202734","1610612737","202337","9","15","","1610612737"
"59","89","05:43","[NOP] Moore Layup Shot: Missed","0","8","2","1","5","2","1627752","1610612740","202734","9","15","","1610612740"
"60","90","05:38","[NOP] Cunningham Rebound (Off:1 Def:1)","0","8","1","0","0","4","","1610612740","201967","9","15","","1610612740"
"61","133","05:43","[NOP] Cunningham Putback Layup Shot: Missed","17","10","2","0","72","2","","1610612740","201967","9","15","","1610612740"
"62","134","05:43","[ATL] Babbitt Rebound (Off:0 Def:2)","17","10","0","0","0","4","","1610612737","202337","9","15","","1610612740"
"63","91","05:29","[ATL] Schroder Turnover : Lost Ball (1 TO) Steal:Holiday (1 ST)","-18","108","1","0","2","5","201950","1610612737","203471","9","15","","1610612737"
"64","93","05:19","[NOP] Holiday Layup Shot: Missed","35","13","2","0","5","2","","1610612740","201950","9","15","","1610612740"
"65","94","05:15","[ATL] Collins Rebound (Off:1 Def:1)","35","13","0","0","0","4","","1610612737","1628381","9","15","","1610612740"
"66","95","05:08","[ATL 18-9] Belinelli 3pt Shot: Made (3 PTS) Assist: Schroder (2 AST)","6","253","3","0","1","1","","1610612737","201158","9","18","203471","1610612737"
"67","97","04:56","[ATL] Collins Foul: Personal (2 PF) (R Mott)","11","114","0","0","1","6","203076","1610612737","1628381","9","18","","1610612740"
"68","101","04:56","[NOP] Moore Substitution replaced by Rondo","0","-80","0","0","0","8","","1610612740","202734","9","18","200765","1610612740"
"69","102","04:56","[ATL] Collins Substitution replaced by Dedmon","0","-80","0","0","0","8","","1610612737","1628381","9","18","203473","1610612740"
"70","103","04:48","[NOP 11-18] Rondo Layup Shot: Made (2 PTS) Assist: Cousins (1 AST)","-5","3","2","0","5","1","","1610612740","200765","11","18","202326","1610612740"
"71","105","04:35","[NOP] Cousins Violation:Kicked Ball (T Washington)","0","-80","0","0","5","7","","1610612740","202326","11","18","","1610612737"
"72","106","04:32","[ATL] Belinelli Turnover : Bad Pass (1 TO) Steal:Cunningham (1 ST)","80","158","1","0","1","5","201967","1610612737","201158","11","18","","1610612737"
