"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Nurkic vs Millsap (Swanigan gains possession)","0","-80","0","0","0","10","200794","1610612757","203994","0","0","1628403","1610612757"
"3","7","11:46","[POR] Nurkic Driving Layup Shot: Missed","19","8","2","0","6","2","","1610612757","203994","0","0","","1610612757"
"4","8","11:43","[POR] Nurkic Rebound (Off:1 Def:0)","19","8","1","0","0","4","","1610612757","203994","0","0","","1610612757"
"5","9","11:42","[POR] Nurkic Turnover : Bad Pass (1 TO) Steal:Barton (1 ST)","-171","-20","1","0","1","5","203115","1610612757","203994","0","0","","1610612757"
"6","11","11:25","[DEN] Jokic Turnaround Hook Shot: Missed","50","3","2","0","58","2","","1610612743","203999","0","0","","1610612743"
"7","12","11:23","[POR] Lillard Rebound (Off:0 Def:1)","50","3","0","0","0","4","","1610612757","203081","0","0","","1610612743"
"8","13","11:13","[POR] Nurkic Turnover : Bad Pass (2 TO) Steal:Chandler (1 ST)","-40","4","1","0","1","5","201163","1610612757","203994","0","0","","1610612757"
"9","15","11:07","[DEN 3-0] Barton 3pt Shot: Made (3 PTS) Assist: Chandler (1 AST)","-225","-11","3","1","1","1","","1610612743","203115","0","3","201163","1610612743"
"10","17","10:46","[POR 3-3] McCollum 3pt Shot: Made (3 PTS) Assist: Swanigan (1 AST)","-145","205","3","0","80","1","","1610612757","203468","3","3","1628403","1610612757"
"11","19","10:26","[DEN 5-3] Murray Driving Finger Roll Layup Shot: Made (2 PTS) Assist: Jokic (1 AST)","5","14","2","0","75","1","","1610612743","1627750","3","5","203999","1610612743"
"12","21","10:11","[POR] Lillard 3pt Shot: Missed","194","145","3","0","1","2","","1610612757","203081","3","5","","1610612757"
"13","22","10:07","[DEN] Jokic Rebound (Off:0 Def:1)","194","145","0","0","0","4","","1610612743","203999","3","5","","1610612757"
"14","23","10:02","[DEN] Barton Driving Layup Shot: Missed","6","4","2","0","6","2","1628403","1610612743","203115","3","5","","1610612743"
"15","25","10:02","[DEN] Team Rebound","6","4","1","0","0","4","","1610612743","0","3","5","","1610612743"
"16","26","09:53","[DEN 7-3] Chandler Step Back Jump shot: Made (2 PTS)","78","189","2","0","80","1","","1610612743","201163","3","7","","1610612743"
"17","27","09:33","[POR 5-7] Swanigan Driving Layup Shot: Made (2 PTS) Assist: Nurkic (1 AST)","-2","8","2","0","6","1","","1610612757","1628403","5","7","203994","1610612757"
"18","29","09:14","[DEN 10-5] Millsap 3pt Shot: Made (3 PTS) Assist: Chandler (2 AST)","226","56","3","0","1","1","","1610612743","200794","5","10","201163","1610612743"
"19","31","09:02","[POR] Lillard Turnover : Bad Pass (1 TO) Steal:Jokic (1 ST)","65","231","1","0","1","5","203999","1610612757","203081","5","10","","1610612757"
"20","33","08:59","[DEN 12-5] Barton Running Layup Shot: Made (5 PTS) Assist: Jokic (2 AST)","-3","-1","2","1","41","1","","1610612743","203115","5","12","203999","1610612743"
"21","34","08:36","[POR 7-12] Nurkic Jump Shot: Made (2 PTS) Assist: Lillard (1 AST)","-105","180","2","0","1","1","","1610612757","203994","7","12","203081","1610612757"
"22","36","08:15","[DEN] Millsap Floating Jump shot: Missed","35","3","2","0","78","2","","1610612743","200794","7","12","","1610612743"
"23","37","08:13","[POR] Harkless Rebound (Off:0 Def:1)","35","3","0","0","0","4","","1610612757","203090","7","12","","1610612743"
"24","38","08:07","[DEN] Jokic Foul: Shooting (1 PF) (2 FTA) (T Brown)","34","777","0","0","2","6","203994","1610612743","203999","7","12","","1610612757"
"25","41","08:07","[POR 8-12] Nurkic Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612757","203994","8","12","","1610612757"
