"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","12:00","Jump Ball Vucevic vs Pachulia (Ross gains possession)","0","-80","0","0","0","10","2585","1610612753","202696","0","0","203082","1610612753"
"3","7","11:43","[ORL] Gordon 3pt Shot: Missed","-123","215","3","0","1","2","","1610612753","203932","0","0","","1610612753"
"4","8","11:37","[GSW] Pachulia Rebound (Off:0 Def:1)","-123","215","0","0","0","4","","1610612744","2585","0","0","","1610612753"
"5","9","11:22","[GSW] Durant Turnaround Jump Shot: Missed","-127","71","2","0","47","2","","1610612744","201142","0","0","","1610612744"
"6","10","11:17","[ORL] Vucevic Rebound (Off:0 Def:1)","-127","71","0","0","0","4","","1610612753","202696","0","0","","1610612744"
"7","11","11:15","[ORL] Payton Layup Shot: Missed","5","19","2","1","5","2","","1610612753","203901","0","0","","1610612753"
"8","12","11:11","[GSW] Pachulia Rebound (Off:0 Def:2)","5","19","0","0","0","4","","1610612744","2585","0","0","","1610612753"
"9","13","11:11","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","0","","1610612744"
"10","14","11:01","[GSW 3-0] Green 3pt Shot: Made (3 PTS) Assist: Durant (1 AST)","180","182","3","0","79","1","","1610612744","203110","3","0","201142","1610612744"
"11","16","10:47","[ORL] Fournier 3pt Shot: Missed","-206","140","3","0","1","2","","1610612753","203095","3","0","","1610612753"
"12","17","10:43","[GSW] Green Rebound (Off:0 Def:1)","-206","140","0","0","0","4","","1610612744","203110","3","0","","1610612753"
"13","18","10:37","[GSW] Durant Turnover : Bad Pass (1 TO) Steal:Ross (1 ST)","149","74","1","0","1","5","203082","1610612744","201142","3","0","","1610612744"
"14","20","10:29","[ORL 3-3] Gordon 3pt Shot: Made (3 PTS) Assist: Vucevic (1 AST)","-151","194","3","0","1","1","","1610612753","203932","3","3","202696","1610612753"
"15","22","10:12","[GSW 6-3] Thompson 3pt Shot: Made (3 PTS) Assist: Livingston (1 AST)","130","219","3","0","79","1","","1610612744","202691","6","3","2733","1610612744"
"16","24","10:05","[ORL 5-6] Fournier Running Layup Shot: Made (2 PTS) Assist: Payton (1 AST)","-8","5","2","1","41","1","","1610612753","203095","6","5","203901","1610612753"
"17","26","09:49","[GSW] Green 3pt Shot: Missed","-136","224","3","0","79","2","","1610612744","203110","6","5","","1610612744"
