"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Embiid vs Jordan (Saric gains possession)","0","-80","0","0","0","10","201599","1610612755","203954","0","0","203967","1610612755"
"3","7","11:44","[PHI] Redick 3pt Shot: Missed","169","191","3","0","1","2","","1610612755","200755","0","0","","1610612755"
"4","8","11:41","[LAC] Jordan Rebound (Off:0 Def:1)","169","191","0","0","0","4","","1610612746","201599","0","0","","1610612755"
"5","9","11:33","[LAC 3-0] Rivers 3pt Shot: Made (3 PTS) Assist: Griffin (1 AST)","-142","232","3","0","1","1","","1610612746","203085","3","0","201933","1610612746"
"6","11","11:14","[PHI] Embiid Jump Shot: Missed","142","45","2","0","1","2","","1610612755","203954","3","0","","1610612755"
"7","12","11:12","[LAC] Griffin Rebound (Off:0 Def:1)","133","107","0","0","0","4","","1610612746","201933","3","0","","1610612755"
"8","13","11:03","[LAC] Rivers 3pt Shot: Missed","-226","85","3","0","1","2","","1610612746","203085","3","0","","1610612746"
"9","14","11:00","[PHI] Embiid Rebound (Off:0 Def:1)","-226","85","0","0","0","4","","1610612755","203954","3","0","","1610612746"
"10","15","10:57","[LAC] Thornwell Foul: Personal (1 PF) (M Boland)","6","17","0","0","1","6","1627732","1610612746","1628414","3","0","","1610612755"
"11","17","10:54","[PHI 2-3] Covington Cutting Layup Shot: Made (2 PTS) Assist: Redick (1 AST)","2","10","2","0","98","1","","1610612755","203496","3","2","200755","1610612755"
"12","19","10:40","[LAC 5-2] Jordan Turnaround Hook Shot: Made (2 PTS) Assist: Griffin (2 AST)","-16","47","2","0","58","1","","1610612746","201599","5","2","201933","1610612746"
"13","21","10:20","[LAC] Jordan Foul: Shooting (1 PF) (2 FTA) (Z Zarba)","-182","744","0","0","2","6","203954","1610612746","201599","5","2","","1610612755"
"14","23","10:20","[PHI] Embiid Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612755","203954","5","2","","1610612755"
"15","24","10:20","[PHI] Team Rebound","0","-80","1","0","1","4","","1610612755","0","5","2","","1610612755"
"16","25","10:20","[PHI] Embiid Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612755","203954","5","2","","1610612755"
"17","26","10:17","[PHI] Simmons Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612755","1627732","5","2","","1610612755"
"18","27","10:13","[PHI 5-5] Covington 3pt Shot: Made (5 PTS) Assist: Simmons (1 AST)","-141","218","3","0","1","1","","1610612755","203496","5","5","1627732","1610612755"
"19","29","09:55","[LAC] Griffin 3pt Shot: Missed","-176","201","3","0","1","2","","1610612746","201933","5","5","","1610612746"
"20","30","09:52","[PHI] Covington Rebound (Off:0 Def:1)","-176","201","0","0","0","4","","1610612755","203496","5","5","","1610612746"
"21","31","09:38","[PHI 7-5] Embiid Layup Shot: Made (2 PTS) Assist: Simmons (2 AST)","7","5","2","0","5","1","","1610612755","203954","5","7","1627732","1610612755"
"22","33","09:11","[LAC] Griffin Hook Shot: Missed","5","21","2","0","3","2","","1610612746","201933","5","7","","1610612746"
"23","34","09:10","[LAC] Griffin Rebound (Off:1 Def:1)","5","21","1","0","0","4","","1610612746","201933","5","7","","1610612746"
"24","35","09:07","[LAC] Griffin Turnover : Lost Ball (1 TO) Steal:Covington (1 ST)","2","-5","1","0","2","5","203496","1610612746","201933","5","7","","1610612746"
"25","37","09:00","[PHI] Embiid 3pt Shot: Missed","17","270","3","0","1","2","","1610612755","203954","5","7","","1610612755"
"26","38","08:56","[PHI] Saric Rebound (Off:1 Def:0)","17","270","1","0","0","4","","1610612755","203967","5","7","","1610612755"
"27","39","08:55","[PHI 9-5] Saric Jump Shot: Made (2 PTS)","133","84","2","0","1","1","","1610612755","203967","5","9","","1610612755"
"28","40","08:33","[LAC] Rivers 3pt Shot: Missed","122","220","3","0","80","2","","1610612746","203085","5","9","","1610612746"
"29","41","08:31","[PHI] Simmons Rebound (Off:1 Def:1)","122","220","0","0","0","4","","1610612755","1627732","5","9","","1610612746"
"30","42","08:25","[PHI 11-5] Simmons Cutting Dunk Shot: Made (2 PTS) Assist: Redick (2 AST)","18","13","2","0","108","1","","1610612755","1627732","5","11","200755","1610612755"
"31","44","08:25","[LAC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612746","1610612746","5","11","","1610612746"
"32","45","08:11","[LAC] Rivers Turnover : Bad Pass (1 TO) Steal:Covington (2 ST)","130","191","1","0","1","5","203496","1610612746","203085","5","11","","1610612746"
"33","47","08:06","[PHI 13-5] Simmons Running Dunk Shot: Made (4 PTS) Assist: Covington (1 AST)","3","5","2","1","50","1","","1610612755","1627732","5","13","203496","1610612755"
"34","49","08:06","[PHI] Team Violation : Delay Of Game (Z Zarba)","0","-80","0","0","1","7","","1610612755","0","5","13","","1610612746"
"35","50","07:51","[LAC 7-13] Johnson Pullup Jump shot: Made (2 PTS)","-68","162","2","0","79","1","","1610612746","202325","7","13","","1610612746"
"36","51","07:34","[LAC] Johnson Foul: Personal (1 PF) (Z Zarba)","18","21","0","0","1","6","1627732","1610612746","202325","7","13","","1610612755"
"37","56","07:34","[LAC] Thornwell Substitution replaced by Williams","0","-80","0","0","0","8","","1610612746","1628414","7","13","101150","1610612755"
"38","57","07:34","[PHI] Saric Substitution replaced by McConnell","0","-80","0","0","0","8","","1610612755","203967","7","13","204456","1610612755"
"39","58","07:34","[PHI] Embiid Substitution replaced by Johnson","0","-80","0","0","0","8","","1610612755","203954","7","13","101161","1610612755"
"40","59","07:30","[PHI 15-7] Covington Alley Oop Layup shot: Made (7 PTS) Assist: Redick (3 AST)","16","17","2","0","43","1","","1610612755","203496","7","15","200755","1610612755"
"41","61","07:05","[LAC] Johnson 3pt Shot: Missed","-230","21","3","0","1","2","","1610612746","202325","7","15","","1610612746"
"42","64","07:05","[LAC] Team Rebound","-230","21","1","0","0","4","","1610612746","0","7","15","","1610612746"
"43","62","07:06","[PHI] Covington Foul: Loose Ball (1 PF) (M Boland)","-17","10","0","0","3","6","201933","1610612755","203496","7","15","","1610612746"
"44","65","07:01","[PHI] Simmons Foul: Personal (1 PF) (V Voyard-Tadal)","64","22","0","0","1","6","201933","1610612755","1627732","7","15","","1610612746"
"45","68","07:01","[PHI] Redick Substitution replaced by Luwawu-Cabarrot","0","-80","0","0","0","8","","1610612755","200755","7","15","1627789","1610612746"
"46","70","07:01","[LAC] Johnson Substitution replaced by Evans","0","-80","0","0","0","8","","1610612746","202325","7","15","1628393","1610612746"
"47","71","06:53","[LAC 9-15] Griffin Hook Bank Shot: Made (2 PTS)","9","5","2","0","67","1","","1610612746","201933","9","15","","1610612746"
"48","72","06:28","[PHI] Luwawu-Cabarrot 3pt Shot: Missed","-52","267","3","0","1","2","","1610612755","1627789","9","15","","1610612755"
"49","73","06:28","[PHI] Johnson Rebound (Off:1 Def:0)","-52","267","1","0","0","4","","1610612755","101161","9","15","","1610612755"
"50","74","06:28","[PHI 17-9] Johnson Putback Layup Shot: Made (2 PTS)","0","-5","2","0","72","1","","1610612755","101161","9","17","","1610612755"
"51","75","06:18","[LAC 12-17] Williams 3pt Shot: Made (3 PTS)","-134","220","3","0","79","1","","1610612746","101150","12","17","","1610612746"
"52","76","06:09","[PHI] Simmons Layup Shot: Missed","3","23","2","0","5","2","","1610612755","1627732","12","17","","1610612755"
"53","77","06:09","[PHI] Simmons Rebound (Off:2 Def:1)","3","23","1","0","0","4","","1610612755","1627732","12","17","","1610612755"
"54","78","06:09","[LAC] Williams Foul: Shooting (1 PF) (2 FTA) (V Voyard-Tadal)","3","18","0","0","2","6","1627732","1610612746","101150","12","17","","1610612755"
"55","80","06:09","[PHI 18-12] Simmons Free Throw 1 of 2 (5 PTS)","0","-80","1","0","11","3","","1610612755","1627732","12","18","","1610612755"
"56","81","06:09","[PHI] Simmons Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612755","1627732","12","18","","1610612755"
"57","82","06:07","[LAC] Rivers Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","203085","12","18","","1610612755"
"58","83","05:45","[LAC] Rivers Driving Layup Shot: Missed","-13","15","2","0","6","2","","1610612746","203085","12","18","","1610612746"
"59","84","05:43","[PHI] Covington Rebound (Off:0 Def:2)","-13","15","0","0","0","4","","1610612755","203496","12","18","","1610612746"
"60","85","05:29","[PHI 20-12] Simmons Driving Dunk Shot: Made (7 PTS)","7","23","2","0","9","1","","1610612755","1627732","12","20","","1610612755"
"61","86","05:17","[LAC 14-20] Griffin Hook Shot: Made (4 PTS)","-2","21","2","0","3","1","","1610612746","201933","14","20","","1610612746"
"62","87","04:57","[PHI] Simmons Turnover : Bad Pass (1 TO) Steal:Williams (1 ST)","123","65","1","0","1","5","101150","1610612755","1627732","14","20","","1610612755"
"63","89","04:51","[LAC 16-20] Evans Running Layup Shot: Made (2 PTS) Assist: Williams (1 AST)","-11","14","2","1","41","1","","1610612746","1628393","16","20","101150","1610612746"
"64","91","04:44","[PHI 23-16] Covington 3pt Shot: Made (10 PTS) Assist: McConnell (1 AST)","-100","256","3","0","1","1","","1610612755","203496","16","23","204456","1610612755"
"65","93","04:28","[LAC] Griffin Driving Layup Shot: Missed","-28","14","2","0","6","2","","1610612746","201933","16","23","","1610612746"
"66","94","04:28","[PHI] McConnell Rebound (Off:0 Def:1)","-28","14","0","0","0","4","","1610612755","204456","16","23","","1610612746"
"67","95","04:21","[PHI 25-16] McConnell Pullup Jump shot: Made (2 PTS) Assist: Covington (2 AST)","121","83","2","1","79","1","","1610612755","204456","16","25","203496","1610612755"
"68","97","04:20","[LAC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612746","1610612746","16","25","","1610612746"
"69","101","04:20","[LAC] Rivers Substitution replaced by Thornwell","0","-80","0","0","0","8","","1610612746","203085","16","25","1628414","1610612746"
"70","102","04:20","[PHI] Simmons Substitution replaced by Redick","0","-80","0","0","0","8","","1610612755","1627732","16","25","200755","1610612746"
"71","103","04:20","[PHI] Covington Substitution replaced by Saric","0","-80","0","0","0","8","","1610612755","203496","16","25","203967","1610612746"
"72","104","04:01","[LAC] Griffin Driving Reverse Layup Shot: Missed","-11","14","2","0","73","2","","1610612746","201933","16","25","","1610612746"
"73","105","04:01","[LAC] Griffin Rebound (Off:2 Def:1)","-11","14","1","0","0","4","","1610612746","201933","16","25","","1610612746"
"74","106","04:01","[PHI] Johnson Foul: Shooting (1 PF) (2 FTA) (Z Zarba)","3","9","0","0","2","6","201933","1610612755","101161","16","25","","1610612746"
"75","108","04:01","[LAC 17-25] Griffin Free Throw 1 of 2 (5 PTS)","0","-80","1","0","11","3","","1610612746","201933","17","25","","1610612746"
"76","109","04:01","[LAC] Griffin Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612746","201933","17","25","","1610612746"
"77","110","03:59","[PHI] McConnell Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612755","204456","17","25","","1610612746"
"78","111","03:46","[PHI] Saric Cutting Layup Shot: Missed","1","25","2","0","98","2","201933","1610612755","203967","17","25","","1610612755"
"79","113","03:46","[PHI] Team Rebound","1","25","1","0","0","4","","1610612755","0","17","25","","1610612755"
"80","115","03:46","[PHI] Johnson Substitution replaced by Embiid","0","-80","0","0","0","8","","1610612755","101161","17","25","203954","1610612755"
"81","116","03:44","[PHI 27-17] Redick Cutting Layup Shot: Made (2 PTS) Assist: McConnell (2 AST)","18","19","2","0","98","1","","1610612755","200755","17","27","204456","1610612755"
"82","118","03:31","[PHI] Embiid Foul: Shooting (1 PF) (2 FTA) (Z Zarba)","-27","785","0","0","2","6","101150","1610612755","203954","17","27","","1610612746"
"83","120","03:31","[LAC 18-27] Williams Free Throw 1 of 2 (4 PTS)","0","-80","1","0","11","3","","1610612746","101150","18","27","","1610612746"
"84","122","03:31","[LAC] Jordan Substitution replaced by Reed","0","-80","0","0","0","8","","1610612746","201599","18","27","203186","1610612746"
"85","123","03:31","[LAC] Williams Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612746","101150","18","27","","1610612746"
"86","124","03:28","[PHI] Embiid Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612755","203954","18","27","","1610612746"
"87","125","03:05","[PHI] Saric 3pt Shot: Missed","168","188","3","0","1","2","","1610612755","203967","18","27","","1610612755"
"88","126","03:03","[PHI] Embiid Rebound (Off:1 Def:2)","168","188","1","0","0","4","","1610612755","203954","18","27","","1610612755"
"89","127","03:02","[PHI 29-18] Embiid Turnaround Hook Shot: Made (4 PTS)","7","45","2","0","58","1","","1610612755","203954","18","29","","1610612755"
"90","128","02:54","[LAC 20-29] Williams Pullup Jump shot: Made (6 PTS)","-150","22","2","0","79","1","","1610612746","101150","20","29","","1610612746"
"91","129","02:36","[PHI] Embiid Jump Shot: Missed","-63","49","2","0","1","2","1628414","1610612755","203954","20","29","","1610612755"
"92","131","02:36","[PHI] Team Rebound","-63","49","1","0","0","4","","1610612755","0","20","29","","1610612755"
"93","132","02:36","[PHI] Redick Foul: Offensive Charge (1 PF)","-90","115","0","0","26","6","1628414","1610612755","200755","20","29","","1610612755"
"94","134","02:36","[PHI] Redick Turnover : Offensive Foul Turnover (1 TO)","-90","115","0","0","37","5","","1610612755","200755","20","29","","1610612755"
"95","136","02:36","[PHI] Luwawu-Cabarrot Substitution replaced by Anderson","0","-80","0","0","0","8","","1610612755","1627789","20","29","1626147","1610612746"
"96","137","02:19","[LAC 23-29] Thornwell 3pt Shot: Made (3 PTS) Assist: Evans (1 AST)","237","95","3","0","1","1","","1610612746","1628414","23","29","1628393","1610612746"
"97","139","02:01","[PHI 31-23] Embiid Cutting Layup Shot: Made (6 PTS) Assist: McConnell (3 AST)","0","24","2","0","98","1","","1610612755","203954","23","31","204456","1610612755"
"98","141","01:56","[LAC] Williams Turnover : Bad Pass (1 TO) Steal:McConnell (1 ST)","-110","114","1","0","1","5","204456","1610612746","101150","23","31","","1610612746"
"99","143","01:53","[PHI] Redick 3pt Shot: Missed","112","238","3","0","1","2","","1610612755","200755","23","31","","1610612755"
"100","144","01:53","[PHI] Team Rebound","112","238","1","0","0","4","","1610612755","0","23","31","","1610612755"
"101","145","01:53","[LAC] Reed Foul: Loose Ball (1 PF) (2 FTA) (V Voyard-Tadal)","14","29","0","0","3","6","203954","1610612746","203186","23","31","","1610612755"
"102","147","01:53","[PHI 32-23] Embiid Free Throw 1 of 2 (7 PTS)","0","-80","1","0","11","3","","1610612755","203954","23","32","","1610612755"
"103","148","01:53","[PHI 33-23] Embiid Free Throw 2 of 2 (8 PTS)","0","-80","1","0","12","3","","1610612755","203954","23","33","","1610612755"
"104","149","01:41","[LAC] Reed Jump Shot: Missed","9","114","2","0","1","2","","1610612746","203186","23","33","","1610612746"
"105","150","01:37","[PHI] Embiid Rebound (Off:1 Def:3)","9","114","0","0","0","4","","1610612755","203954","23","33","","1610612746"
"106","151","01:19","[PHI] Redick Turnover : Out of Bounds - Bad Pass Turnover (2 TO)","103","0","0","0","45","5","","1610612755","200755","23","33","","1610612755"
