"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","2000","4","11:57","Jump Ball Lopez vs Johnson (Markkanen gains possession)","0","-80","0","0","0","10","1626177","1610612741","201577","0","0","1628374"
"3","1610612741","6000","7","11:42","[CHI] Pondexter 3pt Shot: Missed","-229","8","3","0","1","2","","1610612741","202347","0","0"
"4","","1610612741","7000","8","11:38","[OKC] Westbrook Rebound (Off:0 Def:1)","-229","8","0","0","0","4","","1610612760","201566","0"
"5","0","","1610612741","8000","9","11:26","[OKC] George Pullup Jump shot: Missed","-135","12","2","0","79","2","","1610612760","202331"
"6","0","0","","1610612760","9000","10","11:24","[CHI] Dunn Rebound (Off:0 Def:1)","-135","12","0","0","0","4","","1610612741"
"7","1627739","0","0","","1610612760","10000","11","11:07","[CHI] Dunn Pullup Jump shot: Missed","-60","179","2","0","79","2",""
"8","1610612741","1627739","0","0","","1610612741","11000","12","11:04","[OKC] Anthony Rebound (Off:0 Def:1)","-60","179","0","0","0","4"
"9","","1610612760","2546","0","0","","1610612741","12000","13","10:49","[OKC 2-0] Johnson Cutting Layup Shot: Made (2 PTS) Assist: Westbrook (1 AST)","2","-1","2","0","98"
"10","1","","1610612760","1626177","2","0","201566","1610612760","13000","15","10:32","[CHI] Lopez Driving Floating Jump Shot: Missed","4","64","2","0"
"11","101","2","","1610612741","201577","2","0","","1610612741","15000","16","10:30","[OKC] Westbrook Rebound (Off:0 Def:2)","4","64","0"
"12","0","0","4","","1610612760","201566","2","0","","1610612741","16000","17","10:23","[OKC] Westbrook Turnover : Out of Bounds Lost Ball Turnover (1 TO)","-216","362"
"13","0","0","40","5","","1610612760","201566","2","0","","1610612760","17000","18","10:11","[CHI] Grant Turnover : Bad Pass (1 TO) Steal:Westbrook (1 ST)","174"
"14","54","1","0","1","5","201566","1610612741","1626170","2","0","","1610612741","18000","20","10:08","[OKC 4-0] Roberson Running Layup Shot: Made (2 PTS) Assist: Westbrook (2 AST)"
"15","7","8","2","1","41","1","","1610612760","203460","4","0","201566","1610612760","20000","22","09:50"
"16","[CHI 3-4] Markkanen 3pt Shot: Made (3 PTS) Assist: Grant (1 AST)","-215","126","3","0","1","1","","1610612741","1628374","4","3","1626170","1610612741","22000","24"
"17","09:32","[OKC] Anthony Pullup Jump shot: Missed","161","10","2","0","79","2","","1610612760","2546","4","3","","1610612760","24000"
"18","25","09:30","[CHI] Dunn Rebound (Off:0 Def:2)","161","10","0","0","0","4","","1610612741","1627739","4","3","","1610612760"
"19","25000","26","09:20","[CHI] Dunn Turnover : Bad Pass (1 TO) Steal:Roberson (1 ST)","-128","-6","1","0","1","5","203460","1610612741","1627739","4","3",""
"20","1610612741","26000","28","09:04","[OKC] Westbrook Pullup Jump shot: Missed","-128","98","2","0","79","2","","1610612760","201566","4","3"
