"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","2000","4","11:57","Jump Ball Towns vs Gasol (Gibson gains possession)","0","-80","0","0","0","10","2200","1610612750","1626157","0","0","201959"
"3","1610612750","6000","7","11:42","[SAS] Green Foul: Personal (1 PF) (T Brown)","-8","16","0","0","1","6","1626157","1610612759","201980","0","0"
"4","","1610612750","7000","9","11:33","[MIN 3-0] Gibson 3pt Shot: Made (3 PTS) Assist: Towns (1 AST)","228","9","3","0","1","1","","1610612750","201959","3"
"5","0","1626157","1610612750","9000","11","11:14","[SAS] Mills Pullup Jump shot: Missed","33","201","2","0","79","2","","1610612759","201988"
"6","3","0","","1610612759","11000","12","11:11","[MIN] Wiggins Rebound (Off:0 Def:1)","33","201","0","0","0","4","","1610612750"
"7","203952","3","0","","1610612759","12000","13","11:06","[MIN] Teague Pullup Jump shot: Missed","-160","53","2","0","79","2",""
"8","1610612750","201952","3","0","","1610612750","13000","14","11:03","[SAS] Anderson Rebound (Off:0 Def:1)","-160","53","0","0","0","4"
"9","","1610612759","203937","3","0","","1610612750","14000","15","10:49","[SAS] Aldridge Jump Shot: Missed","-128","92","2","0","1"
"10","2","","1610612759","200746","3","0","","1610612759","15000","16","10:49","[MIN] Towns Rebound (Off:0 Def:1)","-128","92","0","0"
"11","0","4","","1610612750","1626157","3","0","","1610612759","16000","17","10:38","[MIN] Butler Turnaround Jump Shot: Missed","-105","57","2"
"12","0","47","2","","1610612750","202710","3","0","","1610612750","17000","18","10:36","[SAS] Gasol Rebound (Off:0 Def:1)","-105","57"
"13","0","0","0","4","","1610612759","2200","3","0","","1610612750","18000","19","10:17","[SAS] Green Driving Layup Shot: Missed","6"
"14","18","2","0","6","2","1626157","1610612759","201980","3","0","","1610612759","19000","20","10:14","[MIN] Gibson Rebound (Off:0 Def:1)"
"15","6","18","0","0","0","4","","1610612750","201959","3","0","","1610612759","20000","21","10:11"
"16","[MIN 5-0] Wiggins Running Dunk Shot: Made (2 PTS) Assist: Teague (1 AST)","-6","0","2","0","50","1","","1610612750","203952","5","0","201952","1610612750","21000","23"
"17","10:10","[SAS] Team Timeout : Regular","0","-80","0","0","1","9","","1610612759","1610612759","5","0","","1610612759","23000"
"18","25","09:46","[SAS 2-5] Green Running Jump Shot: Made (2 PTS) Assist: Mills (1 AST)","20","66","2","0","2","1","","1610612759","201980","5","2","201988","1610612759"
"19","24000","27","09:28","[MIN] Towns Driving Layup Shot: Missed","-3","-1","2","0","6","2","","1610612750","1626157","5","2",""
"20","1610612750","26000","28","09:28","[MIN] Towns Rebound (Off:1 Def:1)","-3","-1","1","0","0","4","","1610612750","1626157","5","2"
"21","","1610612750","27000","29","09:28","[SAS] Aldridge Foul: Shooting (1 PF) (2 FTA) (J Orr)","4","41","0","0","2","6","1626157","1610612759","200746","5"
"22","2","","1610612750","28000","31","09:28","[MIN] Towns Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612750","1626157"
"23","5","2","","1610612750","30000","32","09:28","[MIN] Team Rebound","0","-80","1","0","1","4","","1610612750"
"24","0","5","2","","1610612750","31000","33","09:28","[MIN] Towns Free Throw 2 of 2 Missed","0","-80","2","0","12","3",""
"25","1610612750","1626157","5","2","","1610612750","32000","34","09:25","[SAS] Gasol Rebound (Off:0 Def:2)","0","-80","0","0","0","4"
"26","","1610612759","2200","5","2","","1610612750","33000","35","09:13","[SAS 4-5] Gasol Jump Shot: Made (2 PTS) Assist: Green (1 AST)","12","162","2","0","1"
"27","1","","1610612759","2200","5","4","201980","1610612759","34000","37","08:56","[MIN] Wiggins Jump Shot: Missed","-158","63","2","0"
"28","1","2","","1610612750","203952","5","4","","1610612750","36000","38","08:53","[SAS] Aldridge Rebound (Off:0 Def:1)","-158","63","0"
"29","0","0","4","","1610612759","200746","5","4","","1610612750","37000","39","08:37","[SAS 6-5] Gasol Turnaround Jump Shot: Made (4 PTS)","2","122"
"30","2","0","47","1","","1610612759","2200","5","6","","1610612759","38000","40","08:24","[MIN] Wiggins Pullup Jump shot: Missed","-76"
"31","187","2","0","79","2","","1610612750","203952","5","6","","1610612750","39000","41","08:21","[SAS] Anderson Rebound (Off:0 Def:2)"
"32","-76","187","0","0","0","4","","1610612759","203937","5","6","","1610612750","40000","42","08:13"
"33","[SAS] Anderson Driving Floating Jump Shot: Missed","-29","63","2","0","101","2","202710","1610612759","203937","5","6","","1610612759","41000","44"
"34","08:09","[MIN] Towns Rebound (Off:1 Def:2)","-29","63","0","0","0","4","","1610612750","1626157","5","6","","1610612759","43000"
"35","45","08:01","[MIN] Gibson Jump Shot: Missed","5","162","2","0","1","2","","1610612750","201959","5","6","","1610612750"
"36","44000","46","08:01","[SAS] Anderson Rebound (Off:0 Def:3)","5","162","0","0","0","4","","1610612759","203937","5","6",""
"37","1610612750","45000","47","07:38","[SAS] Mills 3pt Shot: Missed","-136","208","3","0","1","2","","1610612759","201988","5","6"
"38","","1610612759","46000","48","07:35","[MIN] Wiggins Rebound (Off:0 Def:2)","-136","208","0","0","0","4","","1610612750","203952","5"
"39","6","","1610612759","47000","49","07:27","[MIN 7-6] Gibson Driving Reverse Dunk Shot: Made (5 PTS) Assist: Teague (2 AST)","3","15","2","0","109","1","","1610612750","201959"
"40","7","6","201952","1610612750","48000","51","07:18","[SAS] Aldridge Foul: Offensive Charge (2 PF)","39","256","0","0","26","6","201952","1610612759"
"41","200746","7","6","","1610612759","50000","53","07:18","[SAS] Aldridge Turnover : Offensive Foul Turnover (1 TO)","39","256","0","0","37","5",""
"42","1610612759","200746","7","6","","1610612759","52000","54","07:18","[SAS] Aldridge Substitution replaced by Lauvergne","0","-80","0","0","0","8"
"43","","1610612759","200746","7","6","203530","1610612750","53000","57","07:04","[MIN 9-6] Towns Step Back Jump shot: Made (2 PTS) Assist: Butler (1 AST)","21","171","2","0","80"
"44","1","","1610612750","1626157","9","6","202710","1610612750","55000","59","06:48","[MIN] Gibson Foul: Shooting (1 PF) (2 FTA) (J Orr)","2","815","0","0"
"45","2","6","203530","1610612750","201959","9","6","","1610612759","57000","61","06:48","[SAS] Lauvergne Free Throw 1 of 2 Missed","0","-80","2"
"46","0","11","3","","1610612759","203530","9","6","","1610612759","59000","62","06:48","[SAS] Team Rebound","0","-80"
"47","1","0","0","4","","1610612759","0","9","6","","1610612759","60000","63","06:48","[SAS] Green Substitution replaced by Ginobili","0"
"48","-80","0","0","0","8","","1610612759","201980","9","6","1938","1610612759","61000","65","06:48","[SAS] Anderson Substitution replaced by Gay"
"49","0","-80","0","0","0","8","","1610612759","203937","9","6","200752","1610612759","63000","67","06:48"
"50","[SAS 7-9] Lauvergne Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612759","203530","9","7","","1610612759","65000","68"
