"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","2000","4","12:00","Jump Ball Davis vs Valanciunas (Cousins gains possession)","0","-80","0","0","0","10","202685","1610612740","203076","0","0","202326"
"3","1610612740","6000","7","11:39","[NOP] Cousins 3pt Shot: Missed","-166","198","3","0","1","2","","1610612740","202326","0","0"
"4","","1610612740","7000","8","11:39","[TOR] Ibaka Rebound (Off:0 Def:1)","-166","198","0","0","0","4","","1610612761","201586","0"
"5","0","","1610612740","8000","10","11:31","[NOP] Rondo Foul: Shooting (1 PF) (3 FTA) (B Forte)","-13","561","0","0","2","6","200768","1610612740","200765"
"6","0","0","","1610612761","9000","12","11:31","[TOR 1-0] Lowry Free Throw 1 of 3 (1 PTS)","0","-80","1","0","13","3","","1610612761"
"7","200768","0","1","","1610612761","11000","13","11:31","[TOR 2-0] Lowry Free Throw 2 of 3 (2 PTS)","0","-80","1","0","14","3",""
"8","1610612761","200768","0","2","","1610612761","12000","14","11:31","[TOR 3-0] Lowry Free Throw 3 of 3 (3 PTS)","0","-80","1","0","15","3"
"9","","1610612761","200768","0","3","","1610612761","13000","15","11:11","[NOP] Cousins Jump Shot: Missed","8","82","2","0","1"
"10","2","202685","1610612740","202326","0","3","","1610612740","14000","16","11:07","[TOR] Lowry Rebound (Off:0 Def:1)","8","82","0","0"
"11","0","4","","1610612761","200768","0","3","","1610612740","15000","17","11:01","[TOR] Lowry Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","174","225","0"
"12","0","45","5","","1610612761","200768","0","3","","1610612761","16000","18","10:43","[NOP] Holiday Jump Shot: Missed","-169","146"
"13","2","0","1","2","","1610612740","201950","0","3","","1610612740","17000","19","10:39","[TOR] Ibaka Rebound (Off:0 Def:2)","-169"
"14","146","0","0","0","4","","1610612761","201586","0","3","","1610612740","18000","20","10:33","[TOR] Lowry Turnover : Bad Pass (2 TO) Steal:Davis (1 ST)"
"15","98","173","1","0","1","5","203076","1610612761","200768","0","3","","1610612761","19000","22","10:23"
"16","[NOP] Cousins Layup Shot: Missed","18","17","2","0","5","2","","1610612740","202326","0","3","","1610612740","21000","23"
"17","10:22","[NOP] Cousins Rebound (Off:1 Def:0)","18","17","1","0","0","4","","1610612740","202326","0","3","","1610612740","22000"
"18","24","10:22","[NOP 2-3] Cousins Putback Layup Shot: Made (2 PTS)","0","-5","2","0","72","1","","1610612740","202326","2","3","","1610612740"
"19","23000","25","10:22","[TOR] Ibaka Foul: Shooting (1 PF) (1 FTA) (K Scott)","0","-5","0","0","2","6","202326","1610612761","201586","2","3",""
"20","1610612761","24000","27","10:22","[NOP 3-3] Cousins Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612740","202326","3","3"
"21","","1610612740","26000","29","10:05","[TOR] Valanciunas Turnover : Lost Ball (1 TO) Steal:Cousins (1 ST)","-112","96","1","0","2","5","202326","1610612761","202685","3"
"22","3","","1610612761","27000","31","09:59","[NOP 5-3] Cunningham Layup Shot: Made (2 PTS) Assist: Davis (1 AST)","-24","4","2","1","5","1","","1610612740","201967"
"23","5","3","203076","1610612740","29000","33","09:42","[TOR] DeRozan Turnover : Bad Pass (1 TO) Steal:Cunningham (1 ST)","-57","183","1","0","1","5","201967","1610612761"
"24","201942","5","3","","1610612761","31000","35","09:30","[NOP 7-3] Rondo Cutting Layup Shot: Made (2 PTS) Assist: Cunningham (1 AST)","18","8","2","0","98","1",""
"25","1610612740","200765","7","3","201967","1610612740","33000","37","09:09","[TOR 5-7] Valanciunas Layup Shot: Made (2 PTS)","-5","20","2","0","5","1"
"26","","1610612761","202685","7","5","","1610612761","35000","38","09:09","[NOP] Cousins Foul: Shooting (1 PF) (1 FTA) (K Scott)","-5","20","0","0","2"
"27","6","202685","1610612740","202326","7","5","","1610612740","36000","40","09:09","[TOR 6-7] Valanciunas Free Throw 1 of 1 (3 PTS)","0","-80","1","0"
"28","10","3","","1610612761","202685","7","6","","1610612761","38000","41","08:59","[NOP] Holiday Layup Shot: Missed","8","0","2"
"29","0","5","2","","1610612740","201950","7","6","","1610612740","39000","42","08:53","[NOP] Davis Rebound (Off:1 Def:0)","8","0"
"30","1","0","0","4","","1610612740","203076","7","6","","1610612740","40000","43","08:53","[NOP 9-6] Davis Tip Dunk Shot: Made (2 PTS)","0"
"31","-5","2","0","107","1","","1610612740","203076","9","6","","1610612740","41000","44","08:47","[TOR] Lowry 3pt Shot: Missed"
"32","-4","257","3","0","1","2","","1610612761","200768","9","6","","1610612761","42000","45","08:43"
"33","[NOP] Rondo Rebound (Off:0 Def:1)","-4","257","0","0","0","4","","1610612740","200765","9","6","","1610612761","43000","46"
"34","08:43","[NOP 11-6] Rondo Layup Shot: Made (4 PTS)","15","3","2","1","5","1","","1610612740","200765","11","6","","1610612740","44000"
"35","47","08:37","[TOR] Ibaka Violation:Defensive Goaltending (K Scott)","0","-80","0","0","2","7","","1610612761","201586","11","6","","1610612761"
"36","45000","48","08:32","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","11","6",""
"37","1610612761","46000","50","08:21","[TOR] DeRozan Turnover : Lost Ball (2 TO) Steal:Holiday (1 ST)","-8","170","1","0","2","5","201950","1610612761","201942","11","6"
"38","","1610612761","47000","52","08:21","[NOP 13-6] Cunningham Layup Shot: Made (4 PTS) Assist: Rondo (1 AST)","9","0","2","1","5","1","","1610612740","201967","13"
"39","6","200765","1610612740","49000","55","08:21","[TOR] Anunoby Foul: Shooting (1 PF) (1 FTA) (H Workman)","9","0","0","0","2","6","201967","1610612761","1628384"
"40","13","6","","1610612761","51000","57","08:21","[TOR] Team Timeout : Regular","0","-80","0","0","1","9","","1610612761"
"41","1610612761","13","6","","1610612761","53000","58","08:21","[NOP 14-6] Cunningham Free Throw 1 of 1 (5 PTS)","0","-80","1","1","10","3",""
"42","1610612740","201967","14","6","","1610612740","54000","59","08:07","[TOR] Anunoby 3pt Shot: Missed","-147","203","3","0","1","2"
"43","","1610612761","1628384","14","6","","1610612761","55000","60","08:03","[NOP] Cousins Rebound (Off:1 Def:1)","-147","203","0","0","0"
"44","4","","1610612740","202326","14","6","","1610612761","56000","61","07:52","[NOP] Cousins Layup Shot: Missed","-17","6","2","0"
"45","5","2","","1610612740","202326","14","6","","1610612740","57000","62","07:48","[NOP] Cousins Rebound (Off:2 Def:1)","-17","6","1"
"46","0","0","4","","1610612740","202326","14","6","","1610612740","58000","63","07:35","[NOP] Cousins Hook Shot: Missed","-2","26"
"47","2","0","3","2","","1610612740","202326","14","6","","1610612740","59000","64","07:34","[TOR] Lowry Rebound (Off:0 Def:2)","-2"
"48","26","0","0","0","4","","1610612761","200768","14","6","","1610612740","60000","65","07:34","[NOP] Cousins Foul: Loose Ball (2 PF) (H Workman)"
"49","2","810","0","0","3","6","200768","1610612740","202326","14","6","","1610612761","61000","67","07:22"
"50","[TOR] Valanciunas Jump Shot: Missed","18","101","2","0","1","2","203076","1610612761","202685","14","6","","1610612761","63000","69"
"51","07:16","[NOP] Cunningham Rebound (Off:0 Def:1)","18","101","0","0","0","4","","1610612740","201967","14","6","","1610612761","65000"
"52","70","07:14","[NOP] Rondo Layup Shot: Missed","16","0","2","1","5","2","","1610612740","200765","14","6","","1610612740"
"53","66000","71","07:06","[NOP] Holiday Rebound (Off:1 Def:0)","16","0","1","0","0","4","","1610612740","201950","14","6",""
"54","1610612740","67000","72","07:06","[NOP 16-6] Holiday Tip Dunk Shot: Made (2 PTS)","0","-5","2","0","107","1","","1610612740","201950","16","6"
"55","","1610612740","68000","73","06:52","[TOR 9-16] DeRozan 3pt Shot: Made (3 PTS) Assist: Lowry (1 AST)","230","68","3","0","1","1","","1610612761","201942","16"
"56","9","200768","1610612761","69000","75","06:34","[NOP] Rondo Turnover : Bad Pass (1 TO) Steal:Anunoby (1 ST)","-89","105","1","0","1","5","1628384","1610612740","200765"
"57","16","9","","1610612740","71000","77","06:26","[TOR 11-16] Anunoby Dunk Shot: Made (2 PTS) Assist: Lowry (2 AST)","5","-3","2","1","7","1","","1610612761"
"58","1628384","16","11","200768","1610612761","73000","78","06:11","[NOP 18-11] Cousins Layup Shot: Made (5 PTS) Assist: Rondo (2 AST)","-22","9","2","0","5","1",""
"59","1610612740","202326","18","11","200765","1610612740","74000","80","06:04","[TOR 14-18] Ibaka 3pt Shot: Made (3 PTS) Assist: DeRozan (1 AST)","-161","187","3","0","1","1"
"60","","1610612761","201586","18","14","201942","1610612761","76000","82","05:42","[TOR] Ibaka Foul: Personal (2 PF) (H Workman)","-111","162","0","0","1"
"61","6","203076","1610612761","201586","18","14","","1610612740","78000","84","05:42","[NOP] Cousins Substitution replaced by Miller","0","-80","0","0"
"62","0","8","","1610612740","202326","18","14","203121","1610612740","80000","85","05:42","[TOR] Anunoby Substitution replaced by Poeltl","0","-80","0"
"63","0","0","8","","1610612761","1628384","18","14","1627751","1610612740","82000","86","05:42","[TOR] Ibaka Substitution replaced by Miles","0","-80"
"64","0","0","0","8","","1610612761","201586","18","14","101139","1610612740","84000","87","05:42","[TOR] Valanciunas Substitution replaced by Siakam","0"
"65","-80","0","0","0","8","","1610612761","202685","18","14","1627783","1610612740","86000","93","05:27","[NOP 21-14] Cunningham 3pt Shot: Made (8 PTS) Assist: Rondo (3 AST)"
"66","226","69","3","0","1","1","","1610612740","201967","21","14","200765","1610612740","88000","95","05:21"
"67","[TOR] Lowry Turnover : Lost Ball (3 TO) Steal:Holiday (2 ST)","-81","139","1","0","2","5","201950","1610612761","200768","21","14","","1610612761","90000","97"
"68","05:17","[TOR] Lowry Foul: Shooting (1 PF) (2 FTA) (K Scott)","8","3","0","0","2","6","203121","1610612761","200768","21","14","","1610612740","92000"
